u,v,metres
0,175,243.80
0,2174,29.35
1,3763,49.45
1,8372,44.25
2,19751,101.16
2,19752,55.97
3,67823,15.56
3,187571,17.07
4,6933,82.95
4,15248,121.60
4,191901,34.59
5,31112,268.87
5,105369,7.31
6,181440,57.49
6,181490,164.74
6,222199,16.75
7,46699,21.81
7,80600,10.01
8,26109,136.58
8,221610,7.31
9,192200,28.33
10,226,155.03
10,6243,107.83
11,50335,101.97
12,241,28.52
12,192028,99.20
13,108,49.85
13,170,85.48
14,53951,41.32
14,174232,3.94
15,87,156.00
15,44614,76.98
16,88228,63.54
17,30,168.45
17,10185,315.81
18,17857,18.90
18,25262,65.96
18,118569,31.43
19,20,62.41
19,118569,38.36
20,19,62.41
20,21,33.80
20,154593,32.54
21,20,33.80
21,22,32.98
21,15960,92.83
21,64912,34.05
22,21,32.98
22,5769,74.35
22,26819,50.93
22,82785,62.55
23,80930,8.74
23,217101,7.86
24,26834,8.56
24,80922,47.38
25,80925,7.76
25,175485,261.11
26,8407,56.90
26,8408,176.89
27,80941,6.87
27,226756,47.34
28,10159,176.50
28,154794,98.02
28,204902,29.61
29,21972,99.04
29,183785,166.27
29,201476,90.80
30,167,91.53
30,169,88.73
31,32,56.41
31,66664,97.73
32,31,56.41
32,32153,189.84
32,52489,42.83
33,34,184.25
33,66664,75.17
33,195399,35.42
34,33,184.25
34,49,45.27
34,52488,47.12
35,50,59.57
35,32131,23.58
35,32153,7.31
36,32094,76.21
36,32104,39.08
36,32160,50.57
37,31,153.06
37,161449,11.23
37,173673,40.04
38,44,6.60
38,42239,38.26
39,42327,48.80
39,42346,33.43
40,42374,14.50
40,101393,8.67
41,52535,61.39
41,103865,72.15
42,38399,115.89
42,52564,41.07
43,32148,10.31
43,38389,58.17
43,52589,258.33
44,32027,144.30
44,90053,9.90
45,216162,7.01
46,49,251.74
46,173328,32.97
47,22149,295.47
47,32144,50.28
48,172968,283.52
49,34,45.27
49,46,251.74
49,32161,52.78
50,35,59.57
50,32129,21.24
50,48817,165.80
51,22150,211.20
51,32157,50.20
51,199954,26.66
51,201461,29.50
52,22207,97.11
52,52475,113.67
52,173869,18.60
53,22240,173.96
53,32068,58.70
53,90061,7.86
54,10119,49.75
54,47656,51.24
55,22206,61.51
55,43014,120.98
56,43368,46.05
56,43451,45.31
57,90117,10.10
57,111912,97.01
58,136633,152.30
58,175348,18.21
59,20922,23.75
59,78308,8.90
60,20901,22.48
61,175400,14.03
61,217581,31.67
62,20915,153.01
63,98965,263.73
64,78317,142.39
65,66044,64.87
65,192628,49.42
65,216619,4.95
66,1682,1127.53
66,199109,125.01
67,99053,186.18
68,143681,5.97
69,68,264.99
69,66504,45.15
69,143685,7.88
70,50773,49.08
70,227142,13.20
70,227144,3.94
71,17751,14.13
71,27547,152.10
71,46206,36.38
72,17774,54.75
72,27538,69.28
72,37408,46.65
72,50621,38.08
73,42751,67.91
73,170787,27.32
74,554,55.77
74,229875,14.09
75,78998,26.68
75,216755,31.14
76,211503,47.90
76,211504,3.51
77,695,56.10
77,204654,17.32
78,53968,28.27
78,164946,42.11
78,164950,62.37
79,86637,10.10
79,86638,8.55
80,78042,29.26
80,152360,9.16
81,257,81.01
81,74935,14.02
82,72269,17.89
82,74936,67.92
83,74942,41.28
83,74960,81.38
84,108170,32.33
85,158,194.20
85,156082,13.39
86,167,84.50
86,169,92.39
86,170,109.38
86,171,89.70
87,15,156.00
87,107,62.43
87,171,91.09
88,14,91.32
88,107,234.36
89,93,85.08
89,217272,167.35
90,91,49.50
90,84408,102.69
90,100182,39.33
91,90,49.50
91,186767,7.42
91,235020,57.88
92,105,141.05
92,141595,40.60
92,186765,31.25
92,235020,35.82
93,89,85.08
93,100182,198.56
93,191640,179.29
94,191639,6.76
94,217731,135.65
95,94,54.30
95,196747,74.73
96,191637,8.74
96,236320,475.08
97,100,95.14
97,17923,10.52
98,84317,124.18
98,141600,41.77
98,236320,8.95
99,71175,20.74
99,71637,108.86
99,154699,64.10
100,97,95.14
100,17792,42.30
100,84251,39.09
101,102,96.91
101,84251,96.68
101,84253,60.20
