id,lon,lat
0,77.624072,12.934965
1,77.629168,12.938493
2,77.579325,12.985951
3,77.620559,12.978554
4,77.622517,12.987188
5,77.615623,12.981468
6,77.618878,12.978019
7,77.619186,12.972631
8,77.604807,12.970902
9,77.598404,12.966377
10,77.604932,12.965914
11,77.604603,12.958613
12,77.601917,12.959934
13,77.602182,12.958366
14,77.601337,12.955887
15,77.605437,12.954890
16,77.627673,12.940957
17,77.627775,12.940341
18,77.628340,12.940424
19,77.628390,12.940119
20,77.628693,12.940168
21,77.618666,12.946016
22,77.624153,12.941256
23,77.620952,12.944154
24,77.609307,12.939889
25,77.620216,12.952415
26,77.595967,12.962271
27,77.609483,12.973176
28,77.605721,12.956377
29,77.588833,12.961552
30,77.641460,12.959404
31,77.588255,12.967776
32,77.594944,12.967325
33,77.582793,12.958924
34,77.582133,12.957746
35,77.594011,12.972206
36,77.599334,12.976700
37,77.605107,12.957360
38,77.603540,12.957906
39,77.601694,12.959141
40,77.603727,12.958435
41,77.604471,12.958177
42,77.653330,12.955725
43,77.652342,12.951880
44,77.602640,12.948194
45,77.605188,12.952664
46,77.605866,12.957189
47,77.604720,12.955713
48,77.604922,12.956553
49,77.605328,12.958315
50,77.604333,12.957628
51,77.603998,12.959164
52,77.598951,12.937941
53,77.595534,12.945911
54,77.598489,12.961762
55,77.601063,12.963694
56,77.602999,12.959596
57,77.601492,12.961878
58,77.601038,12.965393
59,77.605861,12.963976
60,77.605820,12.962834
61,77.605190,12.960786
62,77.598934,12.961637
63,77.598802,12.961932
64,77.593544,12.959569
65,77.594468,12.962157
66,77.596728,12.964675
67,77.599491,12.965192
68,77.593716,12.962257
69,77.596755,12.965145
70,77.597933,12.965966
71,77.601414,12.965442
72,77.601453,12.965642
73,77.602402,12.969419
74,77.603879,12.965764
75,77.601288,12.963145
76,77.602159,12.962974
77,77.603035,12.962849
78,77.604237,12.962315
79,77.604866,12.962192
80,77.605534,12.962043
81,77.602521,12.964471
82,77.602591,12.964789
83,77.602623,12.965609
84,77.607044,12.971927
85,77.606607,12.970025
86,77.607733,12.974327
87,77.607359,12.972072
88,77.601668,12.975799
89,77.601620,12.975478
90,77.601535,12.972973
91,77.603259,12.972852
92,77.604150,12.975187
93,77.602557,12.975579
94,77.601274,12.972799
95,77.600745,12.970337
96,77.599878,12.975578
97,77.601066,12.973094
98,77.597754,12.971204
99,77.593543,12.971801
100,77.594004,12.971751
101,77.606108,12.971477
102,77.610288,12.970415
103,77.600997,12.964562
104,77.601593,12.964383
105,77.597715,12.963698
106,77.597562,12.963347
107,77.598493,12.962711
108,77.599043,12.962250
109,77.597965,12.961871
110,77.606706,12.963794
111,77.603689,12.964739
112,77.604659,12.964776
113,77.603629,12.964004
114,77.604498,12.963606
115,77.605124,12.963099
116,77.604672,12.965868
117,77.585717,12.955521
118,77.585435,12.954279
119,77.591335,12.953856
120,77.583786,12.956242
121,77.604361,12.960058
122,77.602467,12.959753
123,77.602961,12.961249
124,77.602781,12.960751
125,77.603100,12.960664
126,77.602845,12.959646
127,77.604163,12.961947
128,77.604528,12.960941
129,77.602625,12.965130
130,77.603701,12.965144
131,77.602704,12.961722
132,77.573620,12.929420
133,77.576773,12.951809
134,77.580014,12.936798
135,77.583966,12.936698
136,77.573818,12.936904
137,77.566683,12.938539
138,77.566698,12.937707
139,77.566884,12.934897
140,77.559822,12.936259
141,77.562798,12.937603
142,77.563019,12.938033
143,77.563317,12.938562
144,77.563549,12.938818
145,77.565083,12.941807
146,77.573680,12.943704
147,77.567853,12.943632
148,77.571093,12.943671
149,77.576868,12.943641
150,77.577318,12.943667
151,77.585037,12.943707
152,77.566685,12.929981
153,77.573645,12.930980
154,77.575874,12.931605
155,77.575229,12.934666
156,77.575333,12.939039
157,77.575318,12.940606
158,77.571686,12.934969
159,77.571822,12.937657
160,77.571800,12.938701
161,77.571568,12.939057
162,77.567469,12.939423
163,77.567486,12.938554
164,77.567495,12.937777
165,77.567530,12.936915
166,77.567535,12.936517
167,77.567559,12.936117
168,77.567584,12.933155
169,77.565914,12.939760
170,77.565914,12.939344
171,77.565921,12.938949
172,77.565974,12.937686
173,77.566101,12.934444
174,77.565807,12.933514
175,77.565486,12.932373
176,77.566821,12.933311
177,77.567951,12.933075
178,77.567067,12.931470
179,77.563591,12.929888
180,77.585170,12.943558
181,77.585096,12.939335
182,77.584836,12.932947
183,77.584052,12.939359
184,77.581915,12.942122
185,77.581886,12.940324
186,77.581879,12.939854
187,77.581864,12.938924
188,77.581858,12.938559
189,77.581829,12.936747
190,77.582824,12.940307
191,77.582817,12.939372
192,77.582700,12.936734
193,77.576897,12.939727
194,77.576917,12.936848
195,77.564290,12.941784
196,77.571568,12.946210
197,77.571168,12.942166
198,77.571276,12.939523
199,77.569704,12.939539
200,77.568275,12.939465
201,77.566683,12.939383
202,77.563997,12.939280
203,77.562894,12.939235
204,77.561539,12.939170
205,77.560046,12.939278
206,77.558244,12.943469
207,77.559979,12.938266
208,77.559980,12.938668
209,77.560112,12.940053
210,77.564316,12.939867
211,77.564296,12.941334
212,77.564266,12.943555
213,77.567412,12.931857
214,77.568115,12.933732
215,77.568418,12.935051
216,77.568415,12.936556
217,77.568393,12.936945
218,77.568359,12.937895
219,77.564492,12.939300
220,77.563487,12.932783
221,77.566061,12.931794
222,77.560341,12.934573
223,77.563205,12.934816
224,77.581939,12.943640
225,77.583050,12.939368
226,77.584925,12.936205
227,77.589859,12.934438
228,77.590489,12.934423
229,77.591149,12.934448
230,77.592705,12.934426
231,77.593403,12.941538
232,77.592724,12.935295
233,77.592611,12.931997
234,77.592604,12.931530
235,77.592548,12.930075
236,77.583909,12.932907
237,77.586608,12.930763
238,77.590945,12.931930
239,77.590572,12.932075
240,77.587374,12.932763
241,77.586624,12.932826
242,77.580587,12.933039
243,77.576174,12.930908
244,77.588416,12.929088
245,77.583824,12.928688
246,77.581742,12.928718
247,77.580232,12.928740
248,77.567261,12.960462
249,77.567372,12.957134
250,77.567429,12.955181
251,77.569509,12.958861
252,77.569660,12.955931
253,77.576829,12.964078
254,77.577488,12.962922
255,77.563682,12.930380
256,77.572153,12.957325
257,77.572278,12.948360
258,77.562021,12.960305
259,77.564455,12.960378
260,77.592507,12.965587
261,77.589867,12.967711
262,77.588417,12.967334
263,77.581700,12.973005
264,77.594460,12.992112
265,77.597724,12.983948
266,77.605352,12.985532
267,77.614386,12.984467
268,77.601404,12.990016
269,77.598432,12.992901
270,77.600041,12.992289
271,77.605813,12.994252
272,77.607157,12.996347
273,77.607829,12.994447
274,77.610882,13.000011
275,77.611435,12.991587
276,77.596424,13.003269
277,77.598770,13.002033
278,77.570154,12.964211
279,77.579805,12.963529
280,77.577535,12.964462
281,77.581126,12.964095
282,77.564547,12.957049
283,77.565840,12.960419
284,77.565959,12.957075
285,77.562123,12.956976
286,77.560838,12.956938
287,77.559266,12.961374
288,77.568550,12.960501
289,77.572145,12.964498
290,77.563367,12.957013
291,77.562614,12.956991
292,77.562621,12.953744
293,77.561541,12.956959
294,77.577077,12.951910
295,77.578739,12.950567
296,77.576568,12.951916
297,77.576613,12.952782
298,77.578157,12.953731
299,77.577061,12.952715
300,77.576786,12.952820
301,77.577716,12.961558
302,77.578399,12.958728
303,77.577649,12.958854
304,77.576982,12.961763
305,77.584067,12.964760
306,77.584228,12.965267
307,77.586782,12.965977
308,77.588814,12.968228
309,77.591236,12.977070
310,77.593363,12.974771
311,77.598308,12.976888
312,77.598400,12.976849
313,77.593039,12.948622
314,77.585268,12.943872
315,77.585375,12.943714
316,77.592254,12.953540
317,77.596089,12.952177
318,77.596953,12.951427
319,77.598260,12.950272
320,77.595228,12.951270
321,77.596251,12.949363
322,77.597223,12.948183
323,77.598162,12.947553
324,77.598624,12.947227
325,77.600457,12.946550
326,77.594566,12.950917
327,77.595843,12.948485
328,77.593751,12.950484
329,77.595007,12.948057
330,77.596965,12.949728
331,77.596559,12.948843
332,77.596069,12.950508
333,77.595662,12.950915
334,77.595817,12.946302
335,77.597735,12.947842
336,77.602560,12.946069
337,77.600555,12.946801
338,77.600851,12.947734
339,77.601146,12.942473
340,77.600769,12.943498
341,77.599901,12.943490
342,77.597411,12.951023
343,77.594189,12.953840
344,77.581557,12.954841
345,77.580758,12.952536
346,77.580348,12.951034
347,77.580327,12.950558
348,77.595249,12.945426
349,77.593175,12.941293
350,77.591209,12.942155
351,77.591221,12.942449
352,77.594009,12.942182
353,77.591045,12.943536
354,77.594571,12.944023
355,77.594711,12.943669
356,77.592116,12.947142
357,77.592128,12.941299
358,77.594140,12.947401
359,77.590895,12.945007
360,77.592787,12.940902
361,77.593451,12.947419
362,77.587977,12.946179
363,77.588145,12.945761
364,77.588708,12.944330
365,77.588240,12.945477
366,77.587056,12.943743
367,77.592162,12.956020
368,77.589844,12.958082
369,77.585879,12.959261
370,77.584598,12.958191
371,77.585242,12.958028
372,77.584444,12.955968
373,77.581698,12.957972
374,77.586380,12.960305
375,77.586570,12.961192
376,77.587509,12.960061
377,77.581267,12.961497
378,77.578581,12.962694
379,77.582003,12.963377
380,77.578554,12.962357
381,77.578527,12.962201
382,77.579672,12.961904
383,77.583119,12.960616
384,77.579655,12.961787
385,77.581041,12.961101
386,77.582874,12.960168
387,77.579633,12.961165
388,77.580793,12.960612
389,77.582591,12.959650
390,77.579855,12.960405
391,77.582333,12.959150
392,77.580188,12.959608
393,77.582076,12.958675
394,77.579622,12.961571
395,77.580486,12.961734
396,77.579760,12.962989
397,77.581938,12.962803
398,77.582364,12.962794
399,77.583932,12.963586
400,77.582361,12.963374
401,77.584046,12.962698
402,77.582384,12.962355
403,77.580135,12.958883
404,77.579625,12.955309
405,77.580451,12.957056
406,77.579859,12.955269
407,77.581471,12.956752
408,77.581166,12.958303
409,77.581540,12.958061
410,77.578008,12.957500
411,77.578563,12.959779
412,77.579230,12.959553
413,77.593317,12.949080
414,77.578157,12.955020
415,77.577554,12.954137
416,77.577385,12.953897
417,77.577218,12.953662
418,77.577709,12.953326
419,77.577884,12.954640
420,77.579155,12.954658
421,77.578310,12.955230
422,77.577592,12.956229
423,77.577704,12.954391
424,77.577057,12.953433
425,77.578721,12.952332
426,77.579292,12.952338
427,77.577931,12.953540
428,77.577952,12.952324
429,77.577974,12.950781
430,77.579978,12.952345
