u,v,metres
0,1955,191.83
0,39372,11.93
1,1902,305.70
1,1986,132.09
1,12423,13.38
2,12422,12.42
2,136560,69.08
2,136598,237.25
3,1893,278.75
3,12420,13.52
3,39410,109.96
4,67871,276.16
4,139731,129.58
5,12706,13.34
5,19673,23.83
6,139694,53.09
7,138852,30.41
8,839,20.29
8,101922,11.33
9,12708,11.33
9,138780,37.27
9,138946,11.46
10,141218,6.59
10,141219,71.46
11,8511,164.57
11,8607,40.96
12,135195,7.66
13,138631,7.66
14,13912,17.92
14,139095,29.43
15,35442,97.91
15,35450,64.59
16,16321,636.36
17,25445,21.41
17,97885,45.44
18,70150,93.75
18,111971,111.55
19,21254,213.57
19,71333,9.48
19,138917,159.22
20,99690,67.62
20,133683,70.68
21,12024,52.00
21,12027,14.39
22,23,464.51
23,11406,82.33
23,67109,19.50
24,2439,89.11
24,44522,30.51
25,26,238.29
26,2410,88.81
27,5367,107.88
27,128135,42.69
28,66908,10.72
29,107009,52.95
29,139637,159.26
30,763,56.43
30,766,63.10
31,32,159.10
32,33,163.20
32,114794,14.75
33,110996,312.51
33,119472,375.13
34,456,58.32
35,36,16.87
35,242,76.93
36,12669,38.81
36,43314,21.51
37,30326,107.07
38,37,176.91
38,12658,271.19
39,67836,66.06
40,39,630.18
41,14424,17.95
41,109513,83.05
42,71470,75.78
42,82351,41.13
43,11930,13.24
43,78837,14.39
43,139162,96.62
44,140192,374.02
45,44,124.76
45,6770,58.12
46,26405,40.56
47,25407,161.61
47,135050,53.97
48,18248,754.92
49,70051,30.00
49,101476,38.98
50,25519,19.60
50,25524,72.93
51,16101,57.86
51,25432,135.15
52,13656,33.87
52,141835,21.15
53,9124,180.68
53,135444,37.82
54,12610,118.35
55,12606,20.85
55,40691,27.24
56,110035,371.16
57,18017,82.21
57,18020,99.32
58,118127,72.00
58,137983,161.26
59,18040,62.37
59,18119,40.96
60,121376,96.17
60,130644,7.96
61,2493,61.40
61,2496,55.53
62,13277,20.28
62,91957,183.09
63,5891,67.56
63,67912,35.74
64,15724,45.72
64,95570,99.36
65,6662,58.18
65,17868,162.65
66,21814,52.06
67,73,103.19
67,438,17.47
67,138971,125.58
68,12007,32.90
69,70045,57.06
69,137923,10.41
70,1063,96.73
70,67334,9.48
71,1184,150.42
71,28705,85.39
72,74,109.08
72,78,224.91
72,83,89.38
73,102537,9.48
73,133780,19.99
74,72,109.08
74,2944,50.44
74,13705,155.71
74,138648,71.29
75,76,154.95
75,84,38.92
75,141750,13.39
76,75,154.95
76,86,77.34
76,88,81.24
77,88,76.87
77,350,105.29
77,2914,52.01
77,2915,43.38
78,72,224.91
78,135,95.72
78,141,54.57
79,145,73.25
79,352,38.50
80,86,79.30
80,89,21.78
80,138648,16.40
81,135,111.28
81,19636,39.39
81,28414,249.63
82,144,199.43
82,28408,95.48
83,72,89.38
84,75,38.92
84,87,35.60
84,150,104.04
85,68,114.60
85,141761,193.57
86,76,77.34
86,80,79.30
86,145,143.84
87,84,35.60
87,88,169.14
87,5151,52.27
