id,lon,lat
0,80.26517,13.08078
1,80.26278,13.08030
2,80.25877,13.07943
3,80.25468,13.07900
4,80.25320,13.07885
5,80.25169,13.07889
6,80.25010,13.07886
7,80.24441,13.07794
8,80.24061,13.07733
9,80.23801,13.07668
10,80.23389,13.07586
11,80.22907,13.07411
12,80.22477,13.07395
13,80.21779,13.07503
14,80.21176,13.07695
15,80.20693,13.07700
16,80.20155,13.07636
17,80.19117,13.07410
18,80.18619,13.07148
19,80.17165,13.06443
20,80.15816,13.06175
21,80.28163,13.08227
22,80.21706,13.01092
23,80.22108,13.01236
24,80.22537,13.01550
25,80.22523,13.01673
26,80.22444,13.01873
27,80.23539,13.02802
28,80.23966,13.03116
29,80.24451,13.03403
30,80.24973,13.04880
31,80.25556,13.05577
32,80.25667,13.05670
33,80.25769,13.05778
34,80.27127,13.06813
35,80.27431,13.07165
36,80.27437,13.07179
37,80.10177,12.91373
38,80.10303,12.91472
39,80.10770,12.91726
40,80.11214,12.92091
41,80.12126,12.92997
42,80.13362,12.94292
43,80.18948,12.99613
44,80.19941,13.00176
45,80.20046,13.00216
46,80.25641,13.17993
47,80.19929,13.11991
48,80.19721,13.11154
49,80.19851,13.08063
50,80.19903,13.07644
51,80.19907,13.07541
52,80.21188,13.04995
53,80.21257,13.03477
54,80.21077,13.03503
55,80.20957,13.03236
56,80.20707,13.02566
57,80.20633,13.02224
58,80.20627,13.01979
59,80.20609,13.01900
60,80.12011,13.04767
61,80.20160,13.00742
62,80.14647,13.03630
63,80.15343,13.03615
64,80.15717,13.03443
65,80.19294,13.01480
66,80.19629,13.00862
67,80.25664,13.03807
68,80.24705,13.03947
69,80.24977,13.02878
70,80.25252,13.03248
71,80.25984,13.04484
72,80.25252,13.03962
73,80.25717,13.03884
74,80.25237,13.03865
75,80.25044,13.04007
76,80.25186,13.04015
77,80.25197,13.04149
78,80.25457,13.03930
79,80.25028,13.03896
80,80.25157,13.03877
81,80.25486,13.04114
82,80.25796,13.04009
83,80.25260,13.04042
84,80.25044,13.04042
85,80.24726,13.04048
86,80.25171,13.03947
87,80.25043,13.04074
88,80.25199,13.04080
89,80.25137,13.03879
90,80.25706,13.03486
91,80.25442,13.03506
92,80.24599,13.03560
93,80.25366,13.03672
94,80.25562,13.03668
95,80.25990,13.01865
96,80.25926,13.02224
97,80.25637,13.02803
98,80.25671,13.03152
99,80.27191,13.04395
100,80.27647,13.04328
101,80.24866,12.90127
102,80.25006,12.90999
103,80.25040,12.91458
104,80.25115,12.91973
105,80.25621,12.96167
106,80.25702,12.96673
107,80.25122,12.92451
108,80.25140,12.92072
109,80.24986,12.90823
110,80.24924,12.90552
111,80.24916,12.90494
112,80.28899,13.08263
113,80.27813,13.03678
114,80.27738,13.03346
115,80.27755,13.03205
116,80.27687,13.03021
117,80.27670,13.02967
118,80.27639,13.02864
119,80.27559,13.02669
120,80.27520,13.02586
121,80.27397,13.02403
122,80.26716,13.01871
123,80.21166,13.03190
124,80.20579,13.06919
125,80.20203,13.07225
126,80.20067,13.06976
127,80.22320,13.01143
128,80.22861,13.00919
129,80.24762,13.00677
130,80.25134,12.98779
131,80.24353,13.06477
132,80.24313,13.06126
133,80.24251,13.05955
134,80.24275,13.05784
135,80.25471,13.04015
136,80.25346,13.04029
137,80.25593,13.03910
138,80.25640,13.04219
139,80.25646,13.04326
140,80.25538,13.04108
141,80.25507,13.03924
142,80.25604,13.03975
143,80.25763,13.03948
144,80.25614,13.04036
145,80.25039,13.03961
146,80.25078,13.03530
147,80.24940,13.03908
148,80.24946,13.03947
149,80.24947,13.03972
150,80.24948,13.04040
151,80.24751,13.03938
152,80.25312,13.04960
153,80.25744,13.04571
154,80.26159,13.04498
155,80.26357,13.04469
156,80.25645,13.04609
157,80.24758,13.06039
158,80.24545,13.06201
159,80.24775,13.06792
160,80.24457,13.06620
161,80.25208,13.06741
162,80.25443,13.06304
163,80.25454,13.06159
164,80.24740,13.00677
165,80.25163,13.00677
166,80.25442,13.00660
167,80.25727,13.00668
168,80.25897,13.00825
169,80.25917,13.01472
170,80.26129,13.01871
171,80.25868,13.03866
172,80.26028,13.03894
173,80.26335,13.03973
174,80.26460,13.03980
175,80.26437,13.03758
176,80.25991,13.03809
177,80.26053,13.03779
178,80.26412,13.03763
179,80.26810,13.03666
180,80.27008,13.03556
181,80.27150,13.03475
182,80.26158,13.01905
183,80.26267,13.02027
184,80.26444,13.02415
185,80.26596,13.02628
186,80.26648,13.02926
187,80.26796,13.03528
188,80.26775,13.03956
189,80.26770,13.03679
190,80.26827,13.04134
191,80.26826,13.04189
192,80.26413,13.05084
193,80.26386,13.05280
194,80.26535,13.06061
195,80.26520,13.06105
196,80.26712,13.06274
197,80.26541,13.05830
198,80.26844,13.05856
199,80.27015,13.05878
200,80.27116,13.05912
201,80.27145,13.05927
202,80.27571,13.05869
203,80.27635,13.05853
204,80.26487,13.05808
205,80.25430,13.05483
206,80.26891,13.05345
207,80.27127,13.05325
208,80.27223,13.05309
209,80.27375,13.05277
210,80.27540,13.05223
211,80.27984,13.05054
212,80.28068,13.05005
213,80.28065,13.05069
214,80.25986,13.04532
215,80.26125,13.04757
216,80.26162,13.04822
217,80.26227,13.05017
218,80.26248,13.05078
219,80.26265,13.05099
220,80.26379,13.05229
221,80.28013,13.04624
222,80.25659,13.05012
223,80.25869,13.04911
224,80.27458,13.04694
225,80.27811,13.02251
226,80.24392,13.02960
227,80.24826,13.02917
