u,v,metres
0,1643,31.57
0,130939,297.39
1,6,174.43
2,3750,53.43
2,133845,156.67
2,138815,17.45
3,2801,88.46
4,3707,73.29
4,134500,274.84
5,52322,10.06
5,245296,67.60
6,11948,45.50
7,179300,1.11
8,159,496.02
9,130703,47.21
9,130709,285.97
10,13,66.41
10,1787,30.36
11,133808,10.20
12,133522,440.84
13,1786,64.86
14,20028,69.40
14,72429,148.35
14,73352,64.72
14,212959,5.92
15,54688,26.27
15,153929,257.76
16,130020,80.59
17,54598,259.09
17,149009,81.87
17,184196,11.29
18,54601,258.69
18,168200,127.30
18,184310,77.73
19,11145,11.71
19,235390,27.80
19,235391,37.73
20,11156,7.88
20,148869,10.20
21,1179,24.46
21,61180,31.99
22,142186,39.42
22,153991,11.79
23,742,251.34
23,34044,82.18
24,19470,104.67
24,220065,121.77
25,144765,56.16
26,25,247.15
26,31,74.20
27,742,87.36
27,34050,91.89
28,131651,114.91
29,24,89.09
29,741,132.81
30,22169,27.81
30,191869,70.84
31,1998,16.91
31,34052,645.23
32,33,99.74
33,743,90.17
33,131643,160.38
33,138889,153.66
34,131654,11.77
34,132364,631.55
35,34190,94.11
36,19797,10.32
37,19796,29.51
38,37,19.25
38,146124,183.94
39,40,25.09
39,805,194.93
40,131457,5.91
41,769,13.00
42,134267,5.01
43,19791,119.44
44,48,99.81
44,146158,179.34
45,1812,102.38
45,144163,108.88
46,20780,13.38
46,129332,128.07
47,662,613.01
47,146221,99.14
47,247277,8.79
48,59152,87.33
49,151501,120.87
50,51,173.98
50,92,326.04
51,93,249.46
51,131318,26.97
52,1809,439.56
53,22277,59.33
53,177359,22.88
54,59154,37.11
55,132349,140.33
55,148153,8.81
56,57,72.72
57,58,48.51
57,498,408.05
58,490,9.40
59,10967,160.49
59,130989,99.48
59,233329,75.50
60,10982,182.99
61,10966,68.95
62,249293,100.49
63,62,399.01
64,191866,17.82
65,23541,51.10
65,249139,40.38
66,34371,83.32
66,34377,15.21
67,20688,347.56
68,2849,101.17
69,39816,1398.98
70,245643,212.87
71,2841,268.04
72,73,83.56
72,2835,63.60
73,74,420.67
74,2870,10.36
74,2874,12.49
75,2752,13.45
75,250767,10.43
76,2749,12.64
76,218775,324.79
77,2863,8.27
77,164112,146.34
78,79,14.76
79,2865,8.27
79,202013,125.80
80,2866,10.65
80,3417,133.75
80,243584,14.07
81,2868,33.65
82,2873,11.22
82,231182,15.41
83,2870,13.94
83,2874,10.65
83,231172,83.84
84,85,118.71
84,2876,5.64
85,2877,8.15
85,201224,87.41
86,87,9.19
86,228088,203.05
87,2879,11.03
87,36511,14.17
88,5254,211.89
88,5271,286.50
89,5249,199.84
90,130152,8.90
91,3710,457.62
92,1767,364.33
93,3727,163.34
94,61184,5.33
94,233006,56.92
95,96,153.35
96,95,153.35
96,97,46.02
96,229283,6.67
97,96,46.02
97,107,374.63
97,134317,7.81
98,114,107.86
98,132532,14.69
98,132534,27.80
98,138574,90.29
99,196956,99.77
99,220840,39.88
99,220841,25.57
100,101,139.47
100,23025,51.43
100,220841,186.85
101,100,139.47
101,22510,53.20
101,76676,58.94
102,138679,161.12
102,152103,60.08
102,196955,106.66
103,127560,142.80
103,150393,50.89
103,152103,61.16
104,22524,63.36
104,138709,59.01
104,150394,112.37
105,22497,22.35
105,127541,94.40
105,127549,153.34
105,144390,57.55
106,76474,40.27
106,127541,60.86
106,127552,154.22
106,144389,55.86
107,97,374.63
107,136028,28.77
107,136496,19.22
107,233153,4.06
108,117,117.88
108,136341,33.20
108,196954,26.69
109,127078,48.00
109,127089,39.08
109,127108,120.34
109,196790,21.60
110,22626,10.80
110,136541,21.48
111,132524,3.91
111,196562,30.06
112,196566,28.32
113,114,139.05
113,22620,182.69
113,196954,25.59
114,98,107.86
114,113,139.05
114,115,242.21
115,114,242.21
116,127124,27.36
117,108,117.88
117,136503,6.74
117,197358,6.27
118,127122,23.14
118,136511,17.42
119,127091,55.69
119,136505,69.44
119,230565,118.59
120,129578,139.36
120,219408,144.55
121,11005,193.97
121,54361,179.55
121,252155,82.82
122,148789,118.95
