id,lon,lat
0,77.17100,28.55939
1,77.16553,28.59406
2,77.17495,28.58062
3,77.18718,28.56972
4,77.19317,28.56923
5,77.03337,28.44677
6,77.16708,28.59484
7,77.18739,28.60612
8,77.09264,28.49584
9,77.09018,28.49046
10,77.09540,28.48344
11,77.09511,28.46308
12,77.05832,28.46811
13,77.09486,28.48368
14,77.08490,28.49138
15,77.09470,28.48164
16,77.09600,28.48464
17,77.21685,28.67440
18,77.21798,28.67914
19,77.22473,28.67701
20,77.22552,28.67442
21,77.07749,28.45957
22,77.08702,28.46170
23,77.22171,28.63163
24,77.21953,28.63069
25,77.21758,28.63183
26,77.21768,28.63394
27,77.22254,28.63420
28,77.22092,28.63008
29,77.21949,28.62989
30,77.21674,28.63143
31,77.21704,28.63430
32,77.21887,28.63559
33,77.21988,28.63572
34,77.21886,28.62042
35,77.22745,28.61499
36,77.22700,28.62001
37,77.22681,28.61972
38,77.22688,28.61956
39,77.23148,28.62585
40,77.23163,28.62603
41,77.23212,28.62610
42,77.23191,28.62524
43,77.23405,28.61070
44,77.23138,28.60954
45,77.22817,28.61092
46,77.24019,28.61284
47,77.21220,28.61376
48,77.23039,28.60958
49,77.22956,28.58875
50,77.20799,28.56803
51,77.20853,28.56952
52,77.21234,28.58222
53,77.21252,28.58334
54,77.22918,28.61030
55,77.20947,28.61902
56,77.24370,28.59350
57,77.24399,28.59300
58,77.24356,28.59283
59,77.24107,28.59289
60,77.24084,28.59706
61,77.23993,28.58997
62,77.23437,28.56734
63,77.23321,28.56393
64,77.24022,28.60728
65,77.17565,28.55592
66,77.12791,28.56711
67,77.12727,28.56757
68,77.12119,28.57320
69,77.09330,28.58258
70,77.07129,28.59499
71,77.06190,28.59939
72,77.05639,28.60306
73,77.05555,28.60305
74,77.05297,28.60002
75,77.07186,28.59477
76,77.06934,28.59072
77,77.06711,28.59217
78,77.06502,28.59358
79,77.06488,28.59363
80,77.06188,28.59397
81,77.05837,28.59704
82,77.05717,28.59796
83,77.05301,28.59987
84,77.04877,28.60271
85,77.04783,28.60218
86,77.04621,28.59918
87,77.04616,28.59911
88,77.23391,28.66708
89,77.24021,28.66154
90,77.22696,28.70969
91,77.20169,28.56971
92,77.20605,28.56942
93,77.20904,28.57171
94,77.16968,28.55157
95,77.23624,28.57797
96,77.23781,28.57800
97,77.23828,28.57803
98,77.23893,28.57806
99,77.23570,28.57705
100,77.23544,28.57517
101,77.23487,28.57402
102,77.23617,28.57695
103,77.23615,28.57586
104,77.23780,28.57539
105,77.23603,28.57188
106,77.23460,28.57249
107,77.23818,28.57467
108,77.23897,28.57537
109,77.23911,28.57274
110,77.24327,28.57283
111,77.23892,28.57863
112,77.24143,28.57587
113,77.23898,28.57584
114,77.23894,28.57709
115,77.24142,28.57709
116,77.24147,28.57434
117,77.23899,28.57431
118,77.23845,28.57426
119,77.24122,28.57280
120,77.23998,28.57056
121,77.22601,28.58837
122,77.22656,28.58485
123,77.22323,28.59727
124,77.22562,28.56759
125,77.06500,28.47682
126,77.06181,28.47584
127,77.05823,28.47461
128,77.05947,28.47395
129,77.09122,28.48064
130,77.09078,28.48075
131,77.06395,28.44978
132,77.06096,28.44671
133,77.06081,28.44678
134,77.03365,28.46346
135,77.06765,28.50272
136,77.07538,28.51308
137,77.07811,28.51567
138,77.07642,28.51400
139,77.07467,28.51186
140,77.06775,28.50267
141,77.04990,28.48215
142,77.05561,28.47339
143,77.05612,28.47284
144,77.05667,28.47172
145,77.05627,28.47214
146,77.08069,28.51865
147,77.09219,28.53786
148,77.09122,28.53569
149,77.08289,28.52309
150,77.07817,28.51563
151,77.08732,28.52980
152,77.10322,28.48219
153,77.10753,28.48271
154,77.10885,28.48252
155,77.10902,28.48245
156,77.12016,28.47938
157,77.12505,28.48009
158,77.13877,28.48948
159,77.09086,28.49176
160,77.09500,28.48967
161,77.09312,28.49063
162,77.09585,28.49478
163,77.09481,28.49531
164,77.09292,28.49222
165,77.09386,28.49174
166,77.09404,28.49201
167,77.09307,28.49254
168,77.09419,28.49225
169,77.09329,28.49274
170,77.09439,28.49255
171,77.09340,28.49305
172,77.09455,28.49279
173,77.09357,28.49332
174,77.09473,28.49308
175,77.09490,28.49334
176,77.09374,28.49358
177,77.09508,28.49361
178,77.09389,28.49384
179,77.09526,28.49388
180,77.09423,28.49440
181,77.09543,28.49415
182,77.09439,28.49465
183,77.09560,28.49440
184,77.09456,28.49492
185,77.09534,28.49400
186,77.09654,28.49339
187,77.09589,28.49372
188,77.09642,28.49450
189,77.09886,28.49338
190,77.09658,28.49443
191,77.09920,28.49460
192,77.09682,28.49479
193,77.09868,28.49390
194,77.09841,28.49353
195,77.09779,28.49434
196,77.09826,28.49509
197,77.09972,28.44965
198,77.09738,28.47687
199,77.12226,28.44896
200,77.12268,28.43637
201,77.03604,28.44583
202,77.04761,28.44634
203,77.05392,28.45242
204,77.05776,28.44911
205,77.06863,28.41760
206,77.05717,28.42661
207,77.06723,28.43698
208,77.05833,28.42776
209,77.06383,28.44989
210,77.06073,28.45221
211,77.05658,28.45524
212,77.05263,28.45735
213,77.05558,28.45601
214,77.04927,28.43454
215,77.02650,28.45938
216,77.03833,28.44825
217,77.03192,28.44597
218,77.04395,28.46836
219,77.04854,28.46581
220,77.04607,28.47661
221,77.04716,28.47540
222,77.04889,28.47313
223,77.05052,28.47415
224,77.05149,28.47293
225,77.04920,28.47587
226,77.04754,28.47484
227,77.04455,28.47275
228,77.04659,28.47178
229,77.04000,28.47118
230,77.04468,28.46883
231,77.04536,28.47585
232,77.04407,28.47447
233,77.04638,28.47480
234,77.04806,28.47266
235,77.15543,28.52473
236,77.15060,28.52746
237,77.17185,28.52123
238,77.17147,28.51970
239,77.16980,28.51959
240,77.16688,28.50794
241,77.16726,28.50924
242,77.16788,28.51036
243,77.16595,28.51030
244,77.16995,28.51749
245,77.16824,28.51633
246,77.16488,28.51376
247,77.05243,28.45086
248,77.05225,28.45102
249,77.05049,28.45230
250,77.04737,28.44953
251,77.05053,28.45169
252,77.05087,28.45203
253,77.04984,28.44986
254,77.05081,28.44912
255,77.05504,28.45365
256,77.05521,28.45354
257,77.05404,28.45233
258,77.05663,28.45251
259,77.05593,28.45353
260,77.05564,28.45324
261,77.05679,28.45286
262,77.05449,28.45200
263,77.05530,28.45285
264,77.05599,28.45236
265,77.05557,28.45189
266,77.05671,28.45102
267,77.05634,28.45064
268,77.05486,28.45319
269,77.06322,28.45375
270,77.06311,28.45899
271,77.06596,28.46208
272,77.06901,28.45966
273,77.06530,28.45549
274,77.06474,28.45578
275,77.06319,28.45582
276,77.06320,28.45544
277,77.06516,28.45546
278,77.06756,28.45377
279,77.07093,28.47788
280,77.07299,28.46787
281,77.07552,28.46793
282,77.07317,28.46787
283,77.08267,28.46777
284,77.08122,28.46776
285,77.08612,28.46303
286,77.08665,28.46334
287,77.08816,28.46394
288,77.08379,28.46419
289,77.08696,28.46188
290,77.08686,28.46186
291,77.05039,28.46038
292,77.03877,28.45499
293,77.03730,28.45620
294,77.03536,28.45835
295,77.03365,28.45988
296,77.03303,28.45725
297,77.03531,28.45841
298,77.03299,28.45732
299,77.03178,28.45968
300,77.03279,28.46082
301,77.04396,28.45590
302,77.04560,28.45767
303,77.04310,28.45955
304,77.04429,28.45869
305,77.04866,28.46359
306,77.17311,28.50444
307,77.18275,28.51130
308,77.17681,28.50771
309,77.08607,28.49571
310,77.08821,28.50325
311,77.08662,28.50157
312,77.08458,28.49910
313,77.08412,28.49861
314,77.08338,28.49771
315,77.08230,28.50086
316,77.07923,28.50091
317,77.05869,28.49238
318,77.07778,28.49082
319,77.05600,28.48917
320,77.06558,28.47636
321,77.06172,28.47310
322,77.06552,28.47680
323,77.06141,28.47341
324,77.06110,28.47370
325,77.06032,28.47309
326,77.06073,28.47406
327,77.05996,28.47346
328,77.06211,28.47341
329,77.06180,28.47371
330,77.06056,28.47488
331,77.06021,28.47459
332,77.06216,28.47401
333,77.06304,28.47470
334,77.06151,28.47463
335,77.04059,28.46745
336,77.03807,28.46887
337,77.03333,28.46373
338,77.03230,28.46251
339,77.03168,28.45973
340,77.02762,28.45790
341,77.02768,28.45782
342,77.05705,28.47424
343,77.05869,28.47489
344,77.07407,28.45891
345,77.04935,28.43462
346,77.04921,28.43473
347,77.04912,28.43466
348,77.07134,28.45796
349,77.07174,28.45814
350,77.05823,28.46797
351,77.05954,28.46708
352,77.06615,28.46222
353,77.07131,28.45815
354,77.04334,28.41930
355,77.04294,28.41949
356,77.04263,28.41964
357,77.04304,28.42017
358,77.04363,28.41917
359,77.04452,28.41863
360,77.04460,28.41727
361,77.04411,28.41729
362,77.04408,28.41630
363,77.04407,28.41604
364,77.04324,28.41603
365,77.04459,28.41607
366,77.04458,28.41630
367,77.04561,28.41649
368,77.04443,28.41774
369,77.04506,28.41772
370,77.04486,28.41819
371,77.04523,28.41728
372,77.04545,28.41812
373,77.04467,28.41820
374,77.04423,28.41729
375,77.04326,28.42002
376,77.04362,28.41973
