id,lon,lat
0,77.17100,28.55939
1,77.16553,28.59406
2,77.17495,28.58062
3,77.18718,28.56972
4,77.19317,28.56923
5,77.03337,28.44677
6,77.42593,28.66949
7,77.42244,28.66598
8,77.16708,28.59484
9,77.18739,28.60612
10,77.09264,28.49584
11,77.09018,28.49046
12,77.09540,28.48344
13,77.09511,28.46308
14,77.05832,28.46811
15,77.09486,28.48368
16,77.08490,28.49138
17,77.09470,28.48164
18,77.09600,28.48464
19,77.21685,28.67440
20,77.21798,28.67914
21,77.22473,28.67701
22,77.22552,28.67442
23,77.07749,28.45957
24,77.08702,28.46170
25,77.22171,28.63163
26,77.21953,28.63069
27,77.21758,28.63183
28,77.21768,28.63394
29,77.22254,28.63420
30,77.22092,28.63008
31,77.21949,28.62989
32,77.21674,28.63143
33,77.21704,28.63430
34,77.21887,28.63559
35,77.21988,28.63572
36,77.21886,28.62042
37,77.22745,28.61499
38,77.22700,28.62001
39,77.22681,28.61972
40,77.22688,28.61956
41,77.23148,28.62585
42,77.23163,28.62603
43,77.23212,28.62610
44,77.23191,28.62524
45,77.23405,28.61070
46,77.23138,28.60954
47,77.22817,28.61092
48,77.24019,28.61284
49,77.21220,28.61376
50,77.23039,28.60958
51,77.22956,28.58875
52,77.21280,28.55432
53,77.21110,28.55166
54,77.20799,28.56803
55,77.20853,28.56952
56,77.21234,28.58222
57,77.21252,28.58334
58,77.22918,28.61030
59,77.20947,28.61902
60,77.24370,28.59350
61,77.24399,28.59300
62,77.24356,28.59283
63,77.24107,28.59289
64,77.24084,28.59706
65,77.23993,28.58997
66,77.23437,28.56734
67,77.23321,28.56393
68,77.23239,28.55998
69,77.23654,28.55901
70,77.24022,28.60728
71,77.17565,28.55592
72,77.12793,28.56712
73,77.12727,28.56757
74,77.12119,28.57320
75,77.09330,28.58258
76,77.07129,28.59499
77,77.06190,28.59939
78,77.05639,28.60306
79,77.05555,28.60305
80,77.05297,28.60002
81,77.07186,28.59477
82,77.06934,28.59072
83,77.06711,28.59217
84,77.06502,28.59358
85,77.06488,28.59363
86,77.06188,28.59397
87,77.05837,28.59704
88,77.05717,28.59796
89,77.05301,28.59987
90,77.04877,28.60271
91,77.04783,28.60218
92,77.04621,28.59918
93,77.04616,28.59911
94,77.23391,28.66708
95,77.24021,28.66154
96,77.22696,28.70969
97,77.20169,28.56971
98,77.20605,28.56942
99,77.20904,28.57171
100,77.16968,28.55157
101,77.19737,28.53627
102,77.19532,28.53258
103,77.23624,28.57797
104,77.23781,28.57800
105,77.23828,28.57803
106,77.23893,28.57806
107,77.23570,28.57705
108,77.23544,28.57517
109,77.23487,28.57402
110,77.23617,28.57695
111,77.23615,28.57586
112,77.23780,28.57539
113,77.23603,28.57188
114,77.23460,28.57249
115,77.23818,28.57467
116,77.23897,28.57537
117,77.23911,28.57274
118,77.24327,28.57283
119,77.23892,28.57863
120,77.24143,28.57587
121,77.23898,28.57584
122,77.23894,28.57709
123,77.24142,28.57709
124,77.24147,28.57434
125,77.23899,28.57431
126,77.23845,28.57426
127,77.24122,28.57280
128,77.23998,28.57056
129,77.22601,28.58837
130,77.22656,28.58485
131,77.22323,28.59727
132,77.22562,28.56759
133,77.06500,28.47682
134,77.06181,28.47584
135,77.05823,28.47461
136,77.05947,28.47395
137,77.09122,28.48064
138,77.09078,28.48075
139,77.06395,28.44978
140,77.06096,28.44671
141,77.06081,28.44678
142,77.03365,28.46346
143,77.06765,28.50272
144,77.07538,28.51308
145,77.07811,28.51567
146,77.07642,28.51400
147,77.07467,28.51186
148,77.06775,28.50267
149,77.04990,28.48215
150,77.05561,28.47339
151,77.05612,28.47284
152,77.05667,28.47172
153,77.05627,28.47214
154,77.08069,28.51865
155,77.09219,28.53786
156,77.09122,28.53569
157,77.08289,28.52309
158,77.07817,28.51563
159,77.08732,28.52980
160,77.10322,28.48219
161,77.10753,28.48271
162,77.10885,28.48252
163,77.10902,28.48245
164,77.12016,28.47938
165,77.12505,28.48009
166,77.13877,28.48948
167,77.09086,28.49176
168,77.09500,28.48967
169,77.09312,28.49063
170,77.09585,28.49478
171,77.09481,28.49531
172,77.09292,28.49222
173,77.09386,28.49174
174,77.09404,28.49201
175,77.09307,28.49254
176,77.09419,28.49225
177,77.09329,28.49274
178,77.09439,28.49255
179,77.09340,28.49305
180,77.09455,28.49279
181,77.09357,28.49332
182,77.09473,28.49308
183,77.09490,28.49334
184,77.09374,28.49358
185,77.09508,28.49361
186,77.09389,28.49384
187,77.09526,28.49388
188,77.09423,28.49440
189,77.09543,28.49415
190,77.09439,28.49465
191,77.09560,28.49440
192,77.09456,28.49492
193,77.09534,28.49400
194,77.09654,28.49339
195,77.09589,28.49372
196,77.09642,28.49450
197,77.09886,28.49338
198,77.09658,28.49443
199,77.09920,28.49460
200,77.09682,28.49479
201,77.09868,28.49390
202,77.09841,28.49353
203,77.09779,28.49434
204,77.09826,28.49509
205,77.09972,28.44965
206,77.09738,28.47687
207,77.12226,28.44896
208,77.19466,28.40808
209,77.12268,28.43637
210,77.03604,28.44583
211,77.04761,28.44634
212,77.05392,28.45242
213,77.05776,28.44911
214,77.06863,28.41760
215,77.05717,28.42661
216,77.06723,28.43698
217,77.05833,28.42776
218,77.06383,28.44989
219,77.06073,28.45221
220,77.05658,28.45524
221,77.05263,28.45735
222,77.05558,28.45601
223,77.04927,28.43454
224,77.02650,28.45938
225,77.03833,28.44825
226,77.03192,28.44597
227,77.04395,28.46836
228,77.04854,28.46581
229,77.04607,28.47661
230,77.04716,28.47540
231,77.04889,28.47313
232,77.05052,28.47415
233,77.05149,28.47293
234,77.04920,28.47587
235,77.04754,28.47484
236,77.04455,28.47275
237,77.04659,28.47178
238,77.04000,28.47118
239,77.04468,28.46883
240,77.04536,28.47585
241,77.04407,28.47447
242,77.04638,28.47480
243,77.04806,28.47266
244,77.15543,28.52473
245,77.15060,28.52746
246,77.17185,28.52123
247,77.17147,28.51970
248,77.16980,28.51959
249,77.16688,28.50794
250,77.16726,28.50924
251,77.16788,28.51036
252,77.16595,28.51030
253,77.16995,28.51749
254,77.16824,28.51633
255,77.16488,28.51376
256,77.05243,28.45086
257,77.05225,28.45102
258,77.05049,28.45230
259,77.04737,28.44953
260,77.05053,28.45169
261,77.05087,28.45203
262,77.04984,28.44986
263,77.05081,28.44912
264,77.05504,28.45365
265,77.05521,28.45354
266,77.05404,28.45233
267,77.05663,28.45251
268,77.05593,28.45353
269,77.05564,28.45324
270,77.05679,28.45286
271,77.05449,28.45200
272,77.05530,28.45285
273,77.05599,28.45236
274,77.05557,28.45189
275,77.05671,28.45102
276,77.05634,28.45064
277,77.05486,28.45319
278,77.06322,28.45375
279,77.06311,28.45899
280,77.06596,28.46208
281,77.06901,28.45966
282,77.06530,28.45549
283,77.06474,28.45578
284,77.06319,28.45582
285,77.06320,28.45544
286,77.06516,28.45546
287,77.06756,28.45377
288,77.07093,28.47788
289,77.07299,28.46787
290,77.07552,28.46793
291,77.07317,28.46787
292,77.08267,28.46777
293,77.08122,28.46776
294,77.08612,28.46303
295,77.08665,28.46334
296,77.08816,28.46394
297,77.08379,28.46419
298,77.08696,28.46188
299,77.08686,28.46186
300,77.05039,28.46038
301,77.03877,28.45499
302,77.03730,28.45620
303,77.03536,28.45835
304,77.03365,28.45988
305,77.03303,28.45725
306,77.03531,28.45841
307,77.03299,28.45732
308,77.03178,28.45968
309,77.03279,28.46082
310,77.04396,28.45590
311,77.04560,28.45767
312,77.04310,28.45955
313,77.04429,28.45869
314,77.04866,28.46359
315,77.17311,28.50444
316,77.19002,28.52404
317,77.19002,28.52647
318,77.18981,28.52694
319,77.18908,28.52764
320,77.18955,28.52741
321,77.19007,28.52689
322,77.19015,28.52413
323,77.19000,28.52286
324,77.18275,28.51130
325,77.17681,28.50771
326,77.08607,28.49571
327,77.08821,28.50325
328,77.08662,28.50157
329,77.08458,28.49910
330,77.08412,28.49861
331,77.08338,28.49771
332,77.08230,28.50086
333,77.07923,28.50091
334,77.05869,28.49238
335,77.07778,28.49082
336,77.05600,28.48917
337,77.06558,28.47636
338,77.06172,28.47310
339,77.06552,28.47680
340,77.06141,28.47341
341,77.06110,28.47370
342,77.06032,28.47309
343,77.06073,28.47406
344,77.05996,28.47346
345,77.06211,28.47341
346,77.06180,28.47371
347,77.06056,28.47488
348,77.06021,28.47459
349,77.06216,28.47401
350,77.06304,28.47470
351,77.06151,28.47463
352,77.04059,28.46745
353,77.03807,28.46887
354,77.03333,28.46373
355,77.03230,28.46251
356,77.03168,28.45973
357,77.02762,28.45790
358,77.02768,28.45782
359,77.05705,28.47424
360,77.05869,28.47489
361,77.07407,28.45891
362,77.04935,28.43462
363,77.04921,28.43473
364,77.04912,28.43466
365,77.07134,28.45796
366,77.07174,28.45814
367,77.05823,28.46797
368,77.05954,28.46708
369,77.06615,28.46222
370,77.07131,28.45815
371,77.04334,28.41930
372,77.04294,28.41949
373,77.04263,28.41964
374,77.04304,28.42017
375,77.04363,28.41917
376,77.04452,28.41863
