u,v,metres
0,9464,28.64
0,9485,12.80
1,18575,574.30
2,28,589.50
2,26208,5.56
3,714,81.40
3,3241,76.29
4,3769,37.34
4,31520,13.67
4,31521,10.92
5,391,48.59
5,14930,75.79
5,31701,10.17
6,28185,366.27
7,30883,7.76
7,30889,15.70
8,353,52.88
8,30896,30.48
9,27,401.82
10,560,206.64
10,16702,9.11
10,30583,619.79
11,2978,33.37
11,18418,10.06
11,18448,67.86
12,3414,68.52
12,30887,77.10
13,31642,11.85
13,31646,449.30
14,550,304.09
14,30583,11.51
15,2869,8.15
15,18265,38.63
15,18447,59.00
16,10363,55.39
16,10405,146.06
16,31518,9.21
17,751,73.32
17,6843,121.20
17,22886,95.47
18,3621,49.28
18,30881,47.42
19,128,8.74
19,10279,320.10
20,3193,72.47
20,25173,29.23
21,26587,77.58
22,24582,1091.96
22,31687,686.70
23,50,850.51
23,70,14.49
24,32,58.69
24,31328,7.85
25,7097,78.26
26,129,18.92
27,18221,4.97
28,30575,17.20
29,3036,124.07
29,18245,87.65
29,18473,10.01
30,30873,2.28
31,11097,10.98
32,25816,106.12
32,31416,46.87
33,28003,202.14
33,29911,8.02
33,29913,11.97
34,78,161.15
34,30617,11.85
35,3313,176.95
35,30750,191.43
35,31764,234.54
36,31514,346.81
37,73,120.59
37,30751,6.75
38,37,310.62
38,30752,8.33
39,58,17.87
39,70,184.05
40,64,64.71
40,30616,316.81
40,30895,8.03
41,48,72.74
41,75,50.35
41,292,113.55
42,39,99.04
42,86,16.74
43,79,21.15
43,31780,53.08
44,4127,372.87
44,30621,6.06
45,4404,145.08
45,30865,15.39
46,59,22.65
46,29686,42.23
46,29846,67.42
46,29894,25.22
47,7019,136.71
47,30734,123.29
47,30735,37.78
48,41,72.74
48,75,47.10
48,29440,37.64
49,1045,198.03
49,31764,3.48
49,31767,6.94
50,23,850.51
50,2192,12.61
51,684,49.67
51,29687,40.82
51,29896,73.33
51,29957,64.06
52,661,75.43
52,29551,17.91
52,29723,83.70
52,29955,33.74
53,6897,34.53
53,6899,58.96
53,30472,59.76
54,292,30.48
54,361,6.31
54,6890,73.65
54,29913,44.63
55,6891,124.73
55,30623,44.77
55,30626,80.68
55,30827,140.40
55,30842,40.23
56,77,179.78
56,83,312.89
56,85,263.86
57,3475,35.88
57,30853,68.63
57,30893,53.95
58,39,17.87
58,86,107.86
58,7016,44.05
59,46,22.65
59,29871,123.49
59,29893,12.39
60,58,113.53
60,1222,116.42
61,29853,27.18
61,29854,59.76
61,29865,15.06
62,76,20.95
62,30497,47.44
62,30498,17.35
63,7,54.57
64,30585,9.11
64,30817,104.21
65,68,108.08
65,973,6.36
65,3129,40.57
66,884,97.51
66,30534,231.50
66,31770,15.93
67,877,35.49
67,30808,57.23
68,65,108.08
68,71,138.36
68,3138,38.93
68,29695,85.78
69,30898,36.02
69,31786,107.52
70,23,14.49
70,60,69.29
70,30847,80.21
71,68,138.36
71,955,30.82
71,30757,73.71
72,34,9.70
72,30611,153.78
73,37,120.59
73,79,191.46
73,30746,93.47
74,974,56.23
74,3128,11.15
74,3135,4.12
75,41,50.35
75,48,47.10
75,1184,7.31
76,62,20.95
