id,lon,lat
0,83.41538,26.74583
1,83.31466,26.86319
2,83.35751,26.76733
3,83.35801,26.77027
4,83.35964,26.77387
5,83.35590,26.79049
6,83.35112,26.82597
7,83.36904,26.74744
8,83.37297,26.75603
9,83.34659,26.73299
10,83.38719,26.75144
11,83.35904,26.73421
12,83.36897,26.74409
13,83.33416,26.70515
14,83.38881,26.75693
15,83.35934,26.73570
16,83.33638,26.72976
17,83.36509,26.74062
18,83.36824,26.74329
19,83.33786,26.73229
20,83.35878,26.77189
21,83.32672,26.85399
22,83.33026,26.84945
23,83.37315,26.75810
24,83.36689,26.73461
25,83.38581,26.74475
26,83.38521,26.74386
27,83.35061,26.73340
28,83.36023,26.76420
29,83.36131,26.73440
30,83.38099,26.75268
31,83.41388,26.74787
32,83.36748,26.73464
33,83.36645,26.76134
34,83.37449,26.75714
35,83.37242,26.74489
36,83.38392,26.75813
37,83.37305,26.74896
38,83.37004,26.74966
39,83.37333,26.75960
40,83.37543,26.75383
41,83.36837,26.76080
42,83.37329,26.76049
43,83.37285,26.75195
44,83.38108,26.75522
45,83.36769,26.75614
46,83.36222,26.74856
47,83.36999,26.75524
48,83.36906,26.76099
49,83.37206,26.74280
50,83.37590,26.76469
51,83.35854,26.74906
52,83.35775,26.74698
53,83.36902,26.75997
54,83.36701,26.76125
55,83.37155,26.76089
56,83.37892,26.74867
57,83.37123,26.75485
58,83.37315,26.75960
59,83.36222,26.74876
60,83.37310,26.75858
61,83.36337,26.74840
62,83.36509,26.74818
63,83.36856,26.74722
64,83.37607,26.75372
65,83.36209,26.74649
66,83.36769,26.74717
67,83.36828,26.74972
68,83.36216,26.74746
69,83.37151,26.75300
70,83.37314,26.75797
71,83.36352,26.74719
72,83.37441,26.75719
73,83.37294,26.75004
74,83.35934,26.74718
75,83.36884,26.76063
76,83.36489,26.74812
77,83.38061,26.74809
78,83.37604,26.75671
79,83.37286,26.75176
80,83.37326,26.75613
81,83.36438,26.74785
82,83.37317,26.74718
83,83.37596,26.74961
84,83.38316,26.75831
85,83.38095,26.74937
86,83.37315,26.76057
87,83.36668,26.75288
88,83.37198,26.74242
89,83.36995,26.74968
90,83.36920,26.74744
91,83.37345,26.75427
