u,v,metres
0,65262,1983.55
1,108989,46.15
2,60746,36.32
2,88543,155.34
3,1749,277.20
4,2715,7.93
4,89551,10.06
5,46217,6.83
5,60727,179.39
6,72598,116.32
6,119657,19.06
7,57639,124.56
7,65119,625.09
8,760,120.51
8,100435,89.65
8,122004,52.59
9,61767,82.99
9,119781,14.86
10,14342,80.59
10,80739,49.79
10,100460,17.75
11,129,10.46
12,949,204.10
12,97407,33.98
13,115965,25.37
14,38473,63.17
14,110760,50.18
15,100466,72.27
15,110743,96.82
15,123152,5.65
16,997,136.92
16,122801,17.22
17,976,161.99
17,63218,63.17
18,3066,76.84
18,56369,273.34
19,65238,9.97
19,68273,264.13
20,2303,8.24
20,68211,8.33
21,61395,36.85
21,95036,14.18
22,1645,47.96
22,96260,89.79
23,37741,145.15
23,37742,145.42
24,1667,183.88
24,3125,100.60
24,68352,392.91
25,26,79.92
25,1688,24.53
25,56267,130.80
26,25,79.92
26,1689,59.45
26,1691,61.49
26,50918,75.52
27,1694,61.62
27,50936,85.36
27,121790,33.69
28,3128,106.45
28,51069,67.77
28,51072,47.65
29,62842,27.76
29,68204,10.01
30,12507,9.80
30,65184,30.88
31,955,93.65
31,12316,194.38
31,75465,14.28
32,12363,46.57
32,77781,85.08
33,232,8.90
33,77778,62.98
34,47325,43.67
34,52573,5.65
35,76104,1165.64
36,38422,43.69
36,76115,55.21
37,1710,556.44
37,78777,242.10
38,18,144.34
38,65236,13.39
39,7768,135.78
39,9150,118.84
40,39,68.79
40,44280,40.81
41,40,32.07
42,3820,179.97
42,53686,11.84
43,42,81.32
43,66,92.67
44,43,52.75
45,109563,38.41
46,45,22.00
46,4086,95.62
47,46,56.34
47,2983,396.04
48,47,54.19
48,56,182.56
49,50,224.42
49,52,66.26
49,4086,54.90
50,49,224.42
50,52,65.75
50,2982,155.60
51,2981,301.03
51,2982,8.33
52,49,66.26
52,50,65.75
52,75,90.20
53,44282,65.58
53,94191,92.65
53,96590,58.53
53,96595,147.63
54,55,277.26
54,53688,24.66
55,54,277.26
55,56,363.50
55,60,314.75
56,48,182.56
56,55,363.50
56,59,81.08
56,1742,86.44
57,67,152.63
57,99328,139.34
58,53687,10.20
59,56,81.08
59,61,91.49
59,121835,59.31
60,55,314.75
60,61,11.11
60,53689,133.29
61,59,91.49
61,60,11.11
61,3798,181.56
62,2941,231.28
62,3873,85.96
62,96551,30.48
63,67,88.78
63,3816,42.99
63,3873,159.89
63,3875,105.93
64,3795,69.67
64,3862,58.84
64,96546,71.09
64,96556,45.81
65,2944,10.46
65,9403,38.83
65,119436,134.64
66,43,92.67
66,3799,193.56
66,96556,49.85
67,57,152.63
67,63,88.78
67,2945,465.58
67,3799,177.07
68,2941,10.16
68,64510,76.78
69,62887,282.45
70,73,15.62
71,77,38.52
71,97622,34.97
72,71,31.27
72,81,127.61
73,72,27.12
73,97674,63.99
