id,lon,lat
0,75.838423,26.908780
1,75.842166,26.906352
2,75.817189,26.916677
3,75.835926,26.911286
4,75.801433,26.917788
5,75.805011,26.916913
6,75.807306,26.916561
7,75.809991,26.916222
8,75.812011,26.916627
9,75.824893,26.915980
10,75.831669,26.929125
11,75.833020,26.933803
12,75.824588,26.915117
13,75.846267,26.906619
14,75.847134,26.909748
15,75.848264,26.914820
16,75.849006,26.918303
17,75.844952,26.929584
18,75.793487,26.926512
19,75.792930,26.926841
20,75.792608,26.926814
21,75.792212,26.926561
22,75.792182,26.925864
23,75.792583,26.925559
24,75.793860,26.930421
25,75.793940,26.930599
26,75.793599,26.930942
27,75.793227,26.930653
28,75.795314,26.931179
29,75.796487,26.931732
30,75.797287,26.933008
31,75.795901,26.931455
32,75.793313,26.928641
33,75.785054,26.931918
34,75.787785,26.931419
35,75.791412,26.930898
36,75.789383,26.928613
37,75.784804,26.931840
38,75.790898,26.930331
39,75.790238,26.929622
40,75.790317,26.929693
41,75.787261,26.924750
42,75.787905,26.926881
43,75.790497,26.925075
44,75.784688,26.928968
45,75.791364,26.925458
46,75.788428,26.927534
47,75.784883,26.925207
48,75.794009,26.920682
49,75.797571,26.928253
50,75.797883,26.928523
51,75.797599,26.928576
52,75.797491,26.928373
53,75.795596,26.927463
54,75.796341,26.930746
55,75.801753,26.930443
56,75.797798,26.928229
57,75.801702,26.927792
58,75.794115,26.928208
59,75.800552,26.931329
60,75.797009,26.929597
61,75.797570,26.931426
62,75.799487,26.930769
63,75.797166,26.931105
64,75.798817,26.930450
65,75.797408,26.925745
66,75.798025,26.925159
67,75.800305,26.925670
68,75.800288,26.927124
69,75.803948,26.924098
70,75.801065,26.927502
71,75.801099,26.925231
72,75.801353,26.923169
73,75.794228,26.920178
74,75.785031,26.923433
75,75.792549,26.920504
76,75.781127,26.939599
77,75.785953,26.939412
78,75.784727,26.931383
79,75.783659,26.910638
80,75.768818,26.899906
81,75.756799,26.898490
82,75.756431,26.898417
83,75.794166,26.914524
84,75.788933,26.887195
85,75.797248,26.871050
86,75.801501,26.884986
87,75.808640,26.894878
88,75.816142,26.912336
89,75.815093,26.906475
90,75.814376,26.903895
91,75.817285,26.916655
92,75.749530,26.879356
93,75.751237,26.879374
94,75.758403,26.880181
95,75.759688,26.879887
96,75.761099,26.879366
97,75.766896,26.880798
98,75.786405,26.865464
99,75.790193,26.863788
100,75.792765,26.862977
101,75.795835,26.862490
102,75.812329,26.884287
103,75.812243,26.884402
104,75.812365,26.884924
105,75.812499,26.884972
106,75.812659,26.884941
107,75.812790,26.884574
108,75.812455,26.884256
109,75.806679,26.862244
110,75.807441,26.865248
111,75.809016,26.871373
112,75.810035,26.875278
113,75.803157,26.867182
114,75.804073,26.867621
115,75.805721,26.867978
116,75.808086,26.867764
117,75.806970,26.860040
118,75.806442,26.861361
119,75.806223,26.860387
120,75.802395,26.886761
121,75.807462,26.885668
122,75.819000,26.909763
123,75.820146,26.911321
124,75.819656,26.912391
125,75.819956,26.913705
126,75.820019,26.913954
127,75.820407,26.915576
128,75.814478,26.891961
129,75.800619,26.898195
130,75.801086,26.898192
131,75.801195,26.898398
132,75.800908,26.898716
133,75.800663,26.898667
134,75.808543,26.894760
135,75.800525,26.898496
136,75.805309,26.907035
137,75.801079,26.898645
138,75.806042,26.907292
139,75.808639,26.913849
140,75.805805,26.907968
141,75.809831,26.916132
142,75.799107,26.862982
143,75.798443,26.876716
144,75.799626,26.873379
145,75.788084,26.879696
146,75.775323,26.875031
147,75.777856,26.882044
148,75.774371,26.879795
149,75.751236,26.888472
150,75.751670,26.885924
151,75.808106,26.926963
152,75.822689,26.923773
153,75.834932,26.920993
154,75.834693,26.921207
155,75.834918,26.921421
156,75.835114,26.921066
157,75.818756,26.924599
158,75.818660,26.924448
159,75.818302,26.924406
160,75.818445,26.924934
161,75.818419,26.924376
162,75.816454,26.916811
163,75.833497,26.915958
164,75.833057,26.914223
165,75.832809,26.913405
166,75.816722,26.917749
167,75.820784,26.916862
168,75.818170,26.924787
169,75.808467,26.926909
170,75.806461,26.927437
171,75.787815,26.938662
172,75.836641,26.928108
173,75.834211,26.928580
174,75.849007,26.918218
175,75.826940,26.896614
176,75.841093,26.906987
177,75.825293,26.915124
178,75.823924,26.910740
179,75.821509,26.903650
180,75.818562,26.907912
181,75.815382,26.908487
182,75.808837,26.923009
183,75.813974,26.921928
184,75.817597,26.921186
185,75.809906,26.923483
186,75.817749,26.921844
187,75.809120,26.924333
188,75.817931,26.922499
189,75.809840,26.924873
190,75.818092,26.923145
191,75.809319,26.921519
192,75.817241,26.919875
193,75.811524,26.921044
194,75.811874,26.922372
195,75.812048,26.923037
196,75.812232,26.923688
197,75.812394,26.924336
198,75.812800,26.925908
199,75.810489,26.921273
200,75.810835,26.922588
201,75.810997,26.923240
202,75.811191,26.923906
203,75.811283,26.924573
204,75.811757,26.926118
205,75.809735,26.922801
206,75.810074,26.924121
207,75.810259,26.924781
208,75.812090,26.918806
209,75.812600,26.920811
210,75.812917,26.922134
211,75.813092,26.922816
212,75.813260,26.923454
213,75.813425,26.924113
214,75.813876,26.925679
215,75.814663,26.920389
216,75.815025,26.921701
217,75.815168,26.922359
218,75.815351,26.923010
