u,v,metres
0,294,895.406
1,3863,155.685
1,7919,39.204
1,9447,10.445
2,4,115.556
2,7916,78.213
2,17581,48.819
3,7915,79.481
3,7916,43.100
4,2,115.556
4,12,38.190
4,9196,21.375
5,6,39.365
5,10,192.877
5,12,38.097
5,8002,49.487
6,5,39.365
6,7,44.176
6,9,192.621
7,6,44.176
7,9197,114.186
7,9198,19.859
8,7917,41.189
8,7934,56.577
8,11642,44.453
9,6,192.621
9,10,37.093
9,7917,44.267
9,11642,41.922
10,5,192.877
10,9,37.093
10,11,40.447
10,7915,42.434
11,10,40.447
11,12,192.915
11,7916,38.577
12,4,38.190
12,5,38.097
12,11,192.915
13,5781,117.062
13,5802,27.926
13,16097,85.023
14,5782,27.382
14,5953,77.250
14,6035,221.646
15,4052,78.406
16,6558,64.662
16,17364,42.183
17,6500,42.993
17,6589,150.719
18,6460,98.792
18,6465,5.427
18,6603,88.448
19,6487,33.200
19,12176,119.141
19,13216,159.112
20,6498,215.342
20,15028,94.623
20,17351,90.436
21,6565,111.971
22,17766,59.931
23,12584,12.751
23,17680,20.381
23,17681,16.061
24,7604,51.947
24,12183,32.525
24,13423,9.686
25,7732,19.546
26,14,178.945
26,5783,23.988
27,11693,16.135
27,11694,10.607
27,11904,418.077
27,17816,83.468
28,86,105.211
28,8044,192.447
28,11610,163.628
29,80,379.752
29,8043,259.334
29,11745,133.042
29,12559,96.419
30,3031,179.082
30,3231,26.202
31,3334,157.846
31,3336,89.968
31,14855,10.732
32,3251,162.565
32,3253,59.267
32,3344,113.045
33,10076,4.613
34,14686,27.083
34,15021,45.104
34,17694,43.683
35,648,82.232
35,12932,41.455
36,9894,71.390
36,12042,47.117
37,10277,48.026
37,10468,25.515
38,6506,256.933
38,11722,9.931
38,16526,227.853
39,5366,88.698
39,5368,23.183
40,10486,620.597
41,3313,73.530
41,9388,194.558
42,41,85.834
42,3306,100.838
43,772,64.172
43,3347,3.823
43,3492,55.923
44,616,65.762
44,667,70.504
44,11964,37.178
45,3377,44.256
46,15322,34.959
47,14499,14.957
47,17683,16.377
48,12451,19.990
48,14504,7.935
49,2813,99.404
49,3409,93.262
49,14517,8.876
50,51,45.221
50,17241,4.314
51,3310,50.584
51,17694,35.895
52,53,22.325
52,14685,16.774
53,9329,9.064
53,11612,122.937
54,11718,12.743
54,17133,54.623
55,747,29.062
55,12522,76.499
55,12662,38.419
56,719,74.202
56,4060,130.238
57,4053,206.973
57,14768,105.966
58,11721,8.767
58,16525,6.026
58,17158,235.017
59,67,40.910
59,113,21.732
59,11701,10.853
60,21,26.561
60,13434,8.989
60,13911,65.854
61,15,39.229
61,6533,120.241
62,11750,15.920
62,17715,26.468
63,17627,72.513
64,302,288.160
64,2987,199.506
65,9468,6.823
65,9469,25.692
65,12558,19.390
66,6739,113.542
66,6842,121.933
67,68,92.503
68,3090,251.133
68,11703,13.785
69,5976,103.016
69,7734,12.311
70,11710,20.930
71,6845,129.735
72,179,77.091
72,13945,36.311
73,7563,18.394
73,7586,22.676
73,13951,74.027
74,7508,35.951
74,7510,60.660
74,17680,23.258
75,6411,54.644
75,6426,89.459
75,6655,61.080
76,6390,85.827
76,6426,40.575
76,17844,19.021
77,6317,74.651
77,6357,87.357
77,15399,96.083
77,16835,22.934
78,6317,18.035
78,9302,378.515
79,81,194.318
79,3033,123.209
79,10554,215.778
80,29,379.752
80,3031,8.379
80,9378,165.209
81,79,194.318
81,12239,103.114
81,15746,114.471
82,84,97.665
82,3051,144.542
82,8042,98.526
82,8049,321.900
83,3056,95.371
83,3095,94.616
83,17376,42.896
84,82,97.665
84,86,100.110
84,3058,163.011
84,12105,136.184
85,9378,186.708
85,12187,90.104
86,28,105.211
86,84,100.110
86,12106,140.783
86,16740,89.891
87,8044,68.108
87,9683,22.405
87,17765,25.283
88,89,438.178
88,90,214.545
88,12564,22.162
89,88,438.178
89,8041,182.405
89,11598,87.234
90,88,214.545
90,9467,102.168
90,12235,217.000
91,8036,70.128
91,11687,126.254
91,12849,141.841
92,2999,133.016
92,3012,246.656
92,9654,43.939
93,498,87.231
93,503,155.205
93,2979,136.846
94,3004,44.752
94,13140,105.923
94,15638,31.814
95,495,130.772
95,2992,116.284
95,2993,185.991
96,101,88.992
96,12564,14.553
97,3006,90.932
97,3010,181.266
97,17826,13.737
98,2855,68.609
98,2872,54.756
98,2966,43.998
98,15107,183.278
99,3015,59.645
99,3039,193.537
99,12237,38.286
100,2855,117.624
100,3039,29.603
100,11744,75.700
101,96,88.992
101,2999,69.222
101,3013,197.013
102,14824,15.335
102,15035,6.847
103,17602,8.229
103,17603,10.569
104,1147,57.621
104,17144,28.552
105,2854,169.455
105,17029,33.886
106,47,9.308
107,6571,114.407
107,6699,72.698
107,6715,141.831
107,13232,148.705
108,109,284.590
108,110,128.236
108,3097,263.853
109,108,284.590
109,6567,64.899
109,6571,33.166
110,108,128.236
110,6693,23.517
110,6701,8.858
111,6703,39.388
111,12573,11.134
111,17370,37.654
112,6897,14.430
112,14581,31.363
113,59,21.732
113,6877,111.343
114,6917,50.779
115,114,108.515
116,6926,139.859
116,7394,419.911
116,14584,37.906
117,6866,177.429
117,6877,105.123
117,6884,39.528
117,16038,24.161
118,6851,52.079
118,6856,86.245
118,16803,65.927
118,17155,40.452
119,6846,66.634
119,6871,174.608
119,7436,22.796
120,121,69.623
120,7529,87.713
120,8063,38.247
121,120,69.623
121,7536,66.282
121,8060,47.048
121,10403,83.878
122,172,90.190
122,5971,85.249
122,5975,60.333
122,7733,149.407
123,299,202.670
123,313,168.793
123,1550,141.706
124,13333,11.745
125,5370,26.448
126,124,23.320
127,134,67.059
127,5773,242.465
128,125,18.610
128,5625,47.706
129,130,21.498
129,5804,25.882
130,5362,15.763
130,5855,70.869
131,132,51.717
131,5791,95.410
131,16097,27.556
132,131,51.717
132,133,211.770
132,13333,67.336
133,132,211.770
133,134,81.231
133,135,62.038
134,124,183.396
134,133,81.231
135,133,62.038
135,5793,28.692
135,14650,45.927
136,5377,28.252
136,7717,9.821
136,14649,10.715
137,138,593.007
138,9417,15.060
139,16345,11.611
140,5902,53.875
140,7726,61.988
140,17299,65.745
141,5834,69.665
141,5868,77.869
141,5902,31.932
142,5850,39.260
142,5852,30.704
142,16065,118.641
143,5846,121.350
143,5850,52.564
143,14107,26.315
144,5839,8.715
144,5876,63.357
144,9492,13.233
145,72,80.523
145,6007,90.941
145,7727,15.247
146,147,74.207
146,5882,25.344
146,5890,52.437
146,17301,32.779
147,146,74.207
147,159,83.497
147,5905,68.945
147,5923,81.489
148,5917,27.431
148,5923,3.361
148,5929,33.187
149,150,83.624
149,5916,101.060
149,5917,55.153
150,149,83.624
150,5906,68.619
150,5914,61.884
150,7729,82.757
151,5774,118.000
151,5777,22.755
152,159,72.344
152,5901,49.043
152,5909,30.550
152,5930,58.394
153,158,78.459
153,159,163.945
153,161,56.311
153,5941,169.906
154,5788,27.064
154,11769,150.347
155,157,65.138
155,5951,116.837
155,13412,9.515
156,158,63.713
156,5900,151.342
156,5919,41.347
156,13412,294.035
157,160,74.726
157,175,108.939
158,153,78.459
158,156,63.713
158,159,175.659
158,14106,236.186
159,147,83.497
159,152,72.344
159,153,163.945
159,158,175.659
160,166,53.165
160,5966,103.965
160,13414,8.776
161,153,56.311
161,5926,74.628
161,5934,165.506
161,5940,37.045
162,5997,53.010
162,6000,31.897
162,7737,15.002
163,5944,100.288
163,13238,38.127
163,13416,8.566
164,167,67.372
164,5944,81.317
165,5925,81.465
165,5937,69.636
165,5940,81.519
165,7737,82.631
166,5932,12.914
166,5965,99.370
167,164,67.372
167,168,97.951
167,5959,65.633
167,5974,31.133
168,167,97.951
