id,lon,lat
0,88.33182,22.55389
1,88.39337,22.59145
2,88.39803,22.59109
3,88.39703,22.59050
4,88.39897,22.59166
5,88.39857,22.59223
6,88.39836,22.59253
7,88.39813,22.59287
8,88.39622,22.59173
9,88.39679,22.59159
10,88.39698,22.59131
11,88.39719,22.59100
12,88.39877,22.59194
13,88.36516,22.51443
14,88.35137,22.51270
15,88.35870,22.53815
16,88.35686,22.53511
17,88.35618,22.53032
18,88.35579,22.52902
19,88.36023,22.52800
20,88.36350,22.52772
21,88.35429,22.53775
22,88.35296,22.53149
23,88.35236,22.52451
24,88.35163,22.52141
25,88.35237,22.51712
26,88.35309,22.51291
27,88.34787,22.54590
28,88.35161,22.54538
29,88.35501,22.55014
30,88.35965,22.54756
31,88.36149,22.54670
32,88.36376,22.54499
33,88.36703,22.54254
34,88.36612,22.54332
35,88.37589,22.53917
36,88.38444,22.54164
37,88.39790,22.54292
38,88.36489,22.53195
39,88.36513,22.51967
40,88.36606,22.51722
41,88.36861,22.54429
42,88.36783,22.54400
43,88.37051,22.54070
44,88.37092,22.54300
45,88.37246,22.55623
46,88.37046,22.54537
47,88.36708,22.56137
48,88.37274,22.55898
49,88.37263,22.55788
50,88.36584,22.54352
51,88.36623,22.54367
52,88.36602,22.54296
53,88.36585,22.54308
54,88.36499,22.53831
55,88.36414,22.53896
56,88.36239,22.53954
57,88.36000,22.54067
58,88.36461,22.53402
59,88.34660,22.53815
60,88.35427,22.53751
61,88.35850,22.53785
62,88.35064,22.56073
63,88.35052,22.55960
64,88.35055,22.55856
65,88.35020,22.55515
66,88.34583,22.53224
67,88.34665,22.53851
68,88.34681,22.53933
69,88.34592,22.51706
70,88.34656,22.52399
71,88.34554,22.53010
72,88.36099,22.51894
73,88.35048,22.52456
74,88.35194,22.52454
75,88.35516,22.52471
76,88.35642,22.52474
77,88.36229,22.52560
78,88.36318,22.52572
79,88.35836,22.54436
80,88.35835,22.54872
81,88.35650,22.54464
82,88.35453,22.54496
83,88.35380,22.54222
84,88.35359,22.54509
85,88.35925,22.54664
86,88.35263,22.54524
87,88.34911,22.54572
88,88.35281,22.55269
89,88.35391,22.54995
90,88.35139,22.55411
91,88.34998,22.54930
92,88.35408,22.55507
93,88.35526,22.56223
94,88.35515,22.56097
95,88.35473,22.55789
96,88.35300,22.55265
97,88.35840,22.56143
98,88.35678,22.55404
99,88.35802,22.55163
100,88.35607,22.55250
101,88.35336,22.55338
102,88.35095,22.56350
103,88.36684,22.56073
104,88.35167,22.56529
105,88.36253,22.56185
106,88.36712,22.56145
107,88.34887,22.53805
108,88.35211,22.53892
109,88.34937,22.53929
110,88.35194,22.53777
111,88.35371,22.53551
112,88.33988,22.53754
113,88.34639,22.53817
114,88.33795,22.53374
115,88.33704,22.53324
116,88.33634,22.53289
117,88.34429,22.53802
118,88.34398,22.53501
119,88.34347,22.53108
120,88.34373,22.52648
121,88.34383,22.52586
122,88.34692,22.51565
123,88.37533,22.62249
124,88.29536,22.58101
125,88.35519,22.47742
126,88.35364,22.47835
127,88.34526,22.49288
128,88.37539,22.46663
129,88.35570,22.47861
130,88.34521,22.50135
131,88.34476,22.49145
132,88.34507,22.48851
133,88.35369,22.47859
134,88.45886,22.58098
135,88.34189,22.56867
136,88.35318,22.48312
137,88.36157,22.48662
138,88.36066,22.49076
139,88.35964,22.49352
140,88.35711,22.49774
141,88.36773,22.50296
142,88.37095,22.49550
143,88.37238,22.49121
144,88.37550,22.48387
145,88.37354,22.48451
146,88.36436,22.48576
147,88.36109,22.48539
148,88.36066,22.48529
149,88.37288,22.49135
150,88.37391,22.49162
151,88.37622,22.49431
152,88.37436,22.49755
153,88.37326,22.49628
154,88.36229,22.49405
155,88.36188,22.49324
156,88.36228,22.49286
157,88.36323,22.49346
158,88.36210,22.49526
159,88.36172,22.49180
160,88.36153,22.49314
161,88.36100,22.49274
162,88.36047,22.49236
163,88.36068,22.49162
164,88.36137,22.49225
165,88.35349,22.49830
166,88.35216,22.49848
167,88.35874,22.50422
168,88.35706,22.50519
169,88.35684,22.50425
170,88.35776,22.50198
171,88.35679,22.50589
172,88.35629,22.50496
173,88.35625,22.50456
174,88.35636,22.50418
175,88.35691,22.50369
176,88.35516,22.50302
177,88.35513,22.50223
178,88.35555,22.50411
179,88.35821,22.50422
180,88.35834,22.50445
181,88.35789,22.50348
182,88.35701,22.50345
183,88.35895,22.50466
184,88.35994,22.50600
185,88.35809,22.50710
186,88.35794,22.50526
187,88.35658,22.50548
188,88.35403,22.50736
189,88.35413,22.50766
190,88.35305,22.50725
191,88.35335,22.50396
192,88.36322,22.50427
193,88.36651,22.50438
194,88.36675,22.50332
195,88.36698,22.50279
196,88.36486,22.50242
197,88.36482,22.50305
198,88.36464,22.50413
199,88.36662,22.50384
200,88.36475,22.50358
201,88.36215,22.50454
202,88.36227,22.50503
203,88.36242,22.50555
204,88.36253,22.50605
205,88.36264,22.50656
206,88.36277,22.50711
207,88.36449,22.50676
208,88.36435,22.50622
209,88.36424,22.50572
210,88.36413,22.50520
211,88.36401,22.50469
212,88.36387,22.50414
213,88.36594,22.50431
214,88.36000,22.50462
215,88.36069,22.50589
216,88.36172,22.50675
217,88.36649,22.50582
218,88.36649,22.50641
219,88.36710,22.50642
220,88.36715,22.50429
221,88.36209,22.50724
222,88.36518,22.50662
223,88.36549,22.50799
224,88.36722,22.50830
225,88.36717,22.51335
226,88.36648,22.51614
227,88.36720,22.51315
228,88.36728,22.51112
229,88.36651,22.51630
230,88.36596,22.51629
231,88.36605,22.51646
232,88.36609,22.51389
233,88.36653,22.51367
234,88.36645,22.51177
235,88.36724,22.51172
236,88.36585,22.51182
237,88.36898,22.52120
238,88.36958,22.52122
239,88.37515,22.51998
240,88.37524,22.51985
241,88.36477,22.49182
242,88.36518,22.49286
243,88.36526,22.49333
244,88.36566,22.49414
245,88.36384,22.49490
246,88.36367,22.49346
247,88.36657,22.49186
248,88.36729,22.49146
249,88.36700,22.49045
250,88.36692,22.48551
251,88.36658,22.48981
252,88.36516,22.49120
253,88.36810,22.48684
254,88.36849,22.48533
255,88.36908,22.48524
256,88.36893,22.48679
257,88.36119,22.48668
258,88.36124,22.48579
259,88.35967,22.48566
260,88.35958,22.48509
261,88.35506,22.49823
262,88.35507,22.49871
263,88.35376,22.49942
264,88.35343,22.49934
265,88.35346,22.49878
266,88.35649,22.49878
267,88.35673,22.49913
268,88.35695,22.49914
269,88.35388,22.50206
270,88.36188,22.51843
271,88.36163,22.51769
272,88.36422,22.51761
273,88.36442,22.51841
274,88.36386,22.51658
275,88.36022,22.51883
276,88.35825,22.51626
277,88.35754,22.51616
278,88.35764,22.51692
279,88.35769,22.51766
280,88.35851,22.51763
281,88.36070,22.51371
282,88.35795,22.51521
283,88.35571,22.51552
284,88.35605,22.51319
285,88.35293,22.51394
286,88.35586,22.51425
287,88.35284,22.51452
288,88.35579,22.51482
289,88.35730,22.51544
290,88.35273,22.51519
291,88.35567,22.51603
292,88.35553,22.51797
293,88.35248,22.51657
294,88.35074,22.51629
295,88.35556,22.51709
296,88.35264,22.51566
297,88.35026,22.51590
298,88.34973,22.51518
299,88.34910,22.51397
300,88.34933,22.51666
301,88.34610,22.51507
302,88.34606,22.51551
303,88.34814,22.51565
304,88.34884,22.51555
305,88.35179,22.51441
306,88.35539,22.51938
307,88.35842,22.51999
308,88.35846,22.51932
309,88.36093,22.51963
310,88.36093,22.52021
311,88.36417,22.52041
312,88.36607,22.52580
313,88.36429,22.52570
314,88.33476,22.54075
315,88.33170,22.54224
316,88.33494,22.53359
317,88.33311,22.53479
318,88.33386,22.53902
319,88.34698,22.54603
320,88.34287,22.54760
321,88.34169,22.54748
322,88.34116,22.54766
323,88.34335,22.55238
324,88.33195,22.55086
325,88.33317,22.53469
326,88.33200,22.53300
327,88.33034,22.52215
328,88.33022,22.52108
329,88.39494,22.52746
330,88.39828,22.52128
331,88.33110,22.54709
332,88.34434,22.55514
333,88.34451,22.55557
334,88.34839,22.56014
335,88.32721,22.53341
336,88.26615,22.65105
337,88.28231,22.64893
338,88.29458,22.63794
339,88.29491,22.63370
340,88.29391,22.63271
341,88.29125,22.63093
342,88.29332,22.62449
343,88.30165,22.61904
344,88.33549,22.60365
345,88.33456,22.60378
346,88.30554,22.61654
347,88.31735,22.60615
348,88.32233,22.60400
349,88.33345,22.60342
350,88.27804,22.68203
351,88.27845,22.66262
352,88.27833,22.66105
353,88.30188,22.67000
354,88.43689,22.44102
355,88.43172,22.44225
356,88.41129,22.42181
357,88.41550,22.41660
358,88.39194,22.44735
359,88.37930,22.46420
360,88.37783,22.46573
361,88.37944,22.46381
362,88.38079,22.46142
363,88.38036,22.46185
364,88.29999,22.44972
365,88.30497,22.45698
366,88.29916,22.44846
367,88.30276,22.45353
368,88.30704,22.46304
369,88.30984,22.47194
370,88.31062,22.48153
371,88.30435,22.45430
372,88.30706,22.45602
373,88.30799,22.45750
374,88.31159,22.47015
375,88.31194,22.47232
376,88.30253,22.45319
377,88.30267,22.45358
378,88.27726,22.58598
379,88.27947,22.58550
380,88.28580,22.58525
381,88.31832,22.56345
382,88.31816,22.56356
383,88.30166,22.57551
384,88.28656,22.58526
385,88.29390,22.58274
