u,v,metres
0,29813,304.62
0,48745,616.03
1,21544,163.52
2,5201,112.51
2,35989,113.06
3,3436,24.51
3,4625,132.64
3,22692,159.82
4,3436,89.07
4,6231,526.02
4,19682,138.35
5,8,83.57
6,3704,94.46
6,23346,26.37
7,6230,24.45
7,22704,8.41
8,5,83.57
8,14441,56.16
9,46378,29.21
10,46407,100.13
11,23348,54.68
11,49528,7.65
11,49531,26.02
12,7641,74.93
12,23348,64.29
13,14,108.56
14,15,65.84
14,3716,109.40
15,19,52.88
15,3717,108.27
16,28,268.29
16,6217,316.52
17,21,118.08
17,4355,151.52
17,43072,89.32
18,13,106.59
18,22705,10.71
19,18,97.48
19,22583,16.05
20,12,280.79
20,14447,83.73
21,17,118.08
21,14453,110.98
21,21594,81.53
22,3717,109.37
22,37188,16.11
23,3718,102.40
23,22581,16.05
24,26,67.39
24,4342,237.14
24,4352,74.01
25,41292,42.04
26,24,67.39
26,30,66.77
26,4354,28.28
27,25,85.03
27,14459,39.91
28,3712,19.89
29,30,30.61
29,33,69.62
29,41292,66.77
30,26,66.77
30,36186,45.73
31,39,92.47
31,4349,16.05
31,24422,103.98
32,34,18.35
32,4345,29.07
32,4349,45.30
32,4354,27.54
33,14459,46.73
33,47560,35.25
34,32,18.35
34,4344,32.14
34,4347,23.71
34,4348,42.85
35,37245,154.16
36,42,41.01
37,3713,10.74
37,21595,58.27
38,22577,14.76
38,22706,14.46
38,67876,15.31
39,31,92.47
39,44,56.67
39,46,87.95
39,14457,51.00
40,52,88.54
41,68,221.38
41,41155,5.94
42,35,108.27
42,41156,43.30
43,37242,64.39
43,46200,4.59
43,47557,22.31
44,39,56.67
44,47,46.66
44,29150,23.71
44,42249,45.99
45,21593,52.34
45,77717,6.92
46,51,54.02
46,14462,34.78
47,44,46.66
47,52,46.65
47,4350,24.63
48,36,116.70
48,14463,12.25
49,50,41.98
50,41,69.93
50,57,55.95
50,41158,7.00
51,54,47.72
51,14465,32.22
52,47,46.65
52,43100,37.48
52,47556,42.80
53,42,113.63
53,48,41.68
