id,lon,lat
0,72.825554,18.918795
1,72.830495,18.919176
2,72.831566,18.919778
3,72.830945,18.920061
4,72.832658,18.919991
5,72.830313,18.920344
6,72.831837,18.920362
7,72.829164,18.919481
8,72.829420,18.919773
9,72.827502,18.920720
10,72.827876,18.920986
11,72.828565,18.921051
12,72.833190,18.921010
13,72.830640,18.920896
14,72.832299,18.921367
15,72.826383,18.921058
16,72.833321,18.922931
17,72.831204,18.921828
18,72.832562,18.921937
19,72.827873,18.921752
20,72.832803,18.922460
21,72.831453,18.922397
22,72.832205,18.922688
23,72.833080,18.923059
24,72.829423,18.922836
25,72.831645,18.922903
26,72.832826,18.923360
27,72.832622,18.923604
28,72.832446,18.923808
29,72.833476,18.923819
30,72.832127,18.924244
31,72.830821,18.923876
32,72.833094,18.924279
33,72.831874,18.924720
34,72.832397,18.925087
35,72.832176,18.925100
36,72.832581,18.925300
37,72.832034,18.925414
38,72.832580,18.925383
39,72.832093,18.925514
40,72.832324,18.925603
41,72.824823,18.924372
42,72.828034,18.926391
43,72.819926,18.924419
44,72.821118,18.925810
45,72.827059,18.926438
46,72.820521,18.926268
47,72.819646,18.926939
48,72.833110,18.927018
49,72.821705,18.927554
50,72.825513,18.927519
51,72.821634,18.927604
52,72.822774,18.927933
53,72.831743,18.928082
54,72.832084,18.928173
55,72.832478,18.928207
56,72.825608,18.928203
57,72.833013,18.928292
58,72.834156,18.928380
59,72.828119,18.928502
60,72.831454,18.928565
61,72.821787,18.929650
62,72.831963,18.928615
63,72.832271,18.928804
64,72.832574,18.928962
65,72.826603,18.928970
66,72.831433,18.929102
67,72.832371,18.929329
68,72.834621,18.929465
69,72.832243,18.929613
70,72.828158,18.929632
71,72.832071,18.930145
72,72.827352,18.929856
73,72.832679,18.930213
74,72.833833,18.929813
75,72.831400,18.930356
76,72.832011,18.930412
77,72.834748,18.930184
78,72.833882,18.930262
79,72.831928,18.930706
80,72.832680,18.930776
81,72.822844,18.931610
82,72.831408,18.930760
83,72.833994,18.930750
84,72.834875,18.930740
85,72.833100,18.931328
86,72.834088,18.931166
87,72.832603,18.931441
88,72.834956,18.931372
89,72.831312,18.931940
90,72.831704,18.931697
91,72.827394,18.931733
92,72.834372,18.932032
93,72.833265,18.932243
94,72.832630,18.932294
95,72.831840,18.932354
96,72.835110,18.932607
97,72.835678,18.932063
98,72.832740,18.932876
99,72.832081,18.933015
100,72.827988,18.932844
101,72.833450,18.932937
102,72.834565,18.933325
103,72.835254,18.933374
104,72.834581,18.933460
105,72.833575,18.933425
106,72.832978,18.933535
107,72.827118,18.934079
108,72.835855,18.933636
109,72.834677,18.933981
110,72.835346,18.933882
111,72.838933,18.934119
112,72.835829,18.934018
113,72.836327,18.934220
114,72.837098,18.934496
115,72.833767,18.934245
116,72.834723,18.934411
117,72.839037,18.934579
118,72.833222,18.934405
119,72.835523,18.934368
120,72.835806,18.934319
121,72.832693,18.934562
122,72.833839,18.934681
123,72.832398,18.934659
124,72.835217,18.934469
125,72.836975,18.935039
126,72.837180,18.935001
127,72.840235,18.934752
128,72.826988,18.934930
129,72.834791,18.934643
130,72.836350,18.934929
131,72.839075,18.935140
132,72.841529,18.933616
133,72.831902,18.934821
134,72.833865,18.934937
135,72.834043,18.934908
136,72.841478,18.934623
137,72.842090,18.933470
138,72.831395,18.934989
139,72.833564,18.934985
140,72.835377,18.935276
141,72.835750,18.935278
142,72.836352,18.935313
143,72.837021,18.935318
144,72.840351,18.935252
145,72.834937,18.935506
146,72.839202,18.935657
147,72.833358,18.935475
148,72.832796,18.935688
149,72.837287,18.935548
150,72.833964,18.935942
151,72.826841,18.935768
152,72.832328,18.935866
153,72.837471,18.936038
154,72.840520,18.935936
155,72.842093,18.934883
156,72.831851,18.936045
157,72.827520,18.935585
158,72.828681,18.935633
159,72.833742,18.936283
160,72.839401,18.936165
161,72.835407,18.936249
162,72.830868,18.935385
163,72.833118,18.936516
164,72.834648,18.936327
165,72.831258,18.936270
166,72.837589,18.936600
167,72.835432,18.936536
168,72.835783,18.936519
169,72.824163,18.937022
170,72.825486,18.936845
171,72.836448,18.936422
172,72.832170,18.936850
173,72.827437,18.936351
174,72.828670,18.936425
175,72.833971,18.936987
176,72.835350,18.937352
177,72.831609,18.937067
178,72.833379,18.937193
179,72.840672,18.936547
180,72.832438,18.937516
181,72.836388,18.937180
182,72.837735,18.937184
183,72.833600,18.937766
184,72.834172,18.937583
185,72.835812,18.937434
186,72.836393,18.937454
187,72.835279,18.937683
188,72.832674,18.938041
189,72.837842,18.937660
190,72.839760,18.937802
191,72.835219,18.937995
192,72.827394,18.937176
193,72.832158,18.938237
194,72.835755,18.938124
195,72.836373,18.938125
196,72.828661,18.937290
197,72.837974,18.938213
198,72.835076,18.938366
199,72.835722,18.938442
200,72.836006,18.938493
201,72.836336,18.938546
202,72.836981,18.938419
203,72.833990,18.938778
204,72.834630,18.938707
205,72.827315,18.937979
206,72.828635,18.938115
207,72.827175,18.939018
208,72.828284,18.939342
209,72.834402,18.940137
210,72.793917,18.941065
211,72.834573,18.942087
212,72.825737,18.942050
213,72.830751,18.942645
214,72.829533,18.941759
215,72.823407,18.942524
216,72.826027,18.942600
217,72.826995,18.942595
218,72.823358,18.943907
219,72.825353,18.943947
220,72.834257,18.944435
221,72.830792,18.945374
222,72.831958,18.946224
223,72.829096,18.946191
224,72.822014,18.945580
225,72.828919,18.946784
226,72.826225,18.947890
227,72.825794,18.948417
228,72.835340,18.948491
229,72.828752,18.947750
230,72.837735,18.949016
231,72.798356,18.948875
232,72.825326,18.949010
233,72.839196,18.948925
234,72.832414,18.948774
235,72.833723,18.949529
236,72.821232,18.949593
237,72.828913,18.948750
238,72.834285,18.949764
239,72.800049,18.949115
240,72.826318,18.949882
241,72.824391,18.950018
242,72.826813,18.950325
243,72.837034,18.949702
244,72.837651,18.949775
245,72.833061,18.949833
246,72.831385,18.950532
247,72.835839,18.949789
248,72.820273,18.950625
249,72.831734,18.950665
250,72.832188,18.950546
251,72.823772,18.950742
252,72.828906,18.950868
253,72.836018,18.949773
254,72.831055,18.951215
255,72.832090,18.950771
256,72.832799,18.950678
257,72.825910,18.951013
258,72.833411,18.950722
259,72.835994,18.950113
260,72.836519,18.950130
261,72.837035,18.950287
262,72.837647,18.950380
263,72.837911,18.950376
264,72.826896,18.951325
265,72.834003,18.950835
266,72.834463,18.950908
267,72.830807,18.951622
268,72.831754,18.951545
269,72.832711,18.951031
270,72.834888,18.950958
271,72.835089,18.950972
272,72.801876,18.950622
273,72.822767,18.951796
274,72.835939,18.951551
275,72.839299,18.952146
276,72.831712,18.951638
277,72.832569,18.951478
278,72.833391,18.951216
279,72.824073,18.951751
280,72.826782,18.952795
281,72.833859,18.951355
282,72.827581,18.952227
283,72.832419,18.951905
284,72.833261,18.951636
285,72.834481,18.951518
286,72.802317,18.952435
287,72.834833,18.951647
288,72.801317,18.952728
289,72.831664,18.952296
290,72.833127,18.952100
291,72.836300,18.952386
292,72.823685,18.952352
293,72.833625,18.952245
294,72.835849,18.952101
295,72.837457,18.952444
296,72.832263,18.952452
297,72.836953,18.952401
298,72.802851,18.951475
299,72.817453,18.952835
300,72.832980,18.952660
301,72.821709,18.952861
302,72.829762,18.952411
303,72.833472,18.952801
304,72.839453,18.952699
305,72.802479,18.952596
306,72.834094,18.952938
307,72.829626,18.952646
308,72.834480,18.953035
309,72.823150,18.953186
310,72.832115,18.952849
311,72.816105,18.952896
312,72.823825,18.953639
313,72.825289,18.953075
314,72.832892,18.953088
315,72.820902,18.953513
316,72.829336,18.952970
317,72.831445,18.953151
318,72.835272,18.953259
319,72.822257,18.953241
320,72.828910,18.953213
321,72.835841,18.953435
322,72.837897,18.953300
323,72.838697,18.953295
324,72.839586,18.953314
325,72.804810,18.952536
326,72.836494,18.953370
327,72.836945,18.953357
328,72.837474,18.953316
329,72.830919,18.953442
330,72.831990,18.953284
331,72.830828,18.953587
332,72.820555,18.953804
333,72.826578,18.953651
334,72.828551,18.953620
335,72.831654,18.953975
336,72.823140,18.954149
337,72.828069,18.953796
338,72.832843,18.953575
339,72.839245,18.953929
340,72.825142,18.954432
341,72.833270,18.953658
342,72.836719,18.954109
343,72.838452,18.954241
344,72.838961,18.954000
345,72.807417,18.954836
346,72.823489,18.954184
