u,v,w
0,102,17.423263
102,0,17.423263
0,121,16.528734
121,0,16.528734
0,107,3.723161
107,0,3.723161
121,260,17.080138
260,121,17.080138
102,391,19.991659
391,102,19.991659
0,89,1.506078
89,0,1.506078
107,341,16.467139
341,107,16.467139
107,37,11.256251
37,107,11.256251
121,79,18.843729
79,121,18.843729
89,300,19.892531
300,89,19.892531
0,337,9.460751
337,0,9.460751
391,263,30.054448
263,391,30.054448
391,393,7.260868
393,391,7.260868
337,366,17.807863
366,337,17.807863
337,103,14.244047
103,337,14.244047
107,127,9.176699
127,107,9.176699
121,265,23.557551
265,121,23.557551
341,169,35.199800
169,341,35.199800
89,7,15.502305
7,89,15.502305
102,372,16.481070
372,102,16.481070
37,192,81.550753
192,37,81.550753
7,382,14.610882
382,7,14.610882
382,384,13.034992
384,382,13.034992
260,135,19.280294
135,260,19.280294
121,11,54.058144
11,121,54.058144
337,204,21.979251
204,337,21.979251
372,19,26.998084
19,372,26.998084
7,350,12.618833
350,7,12.618833
0,246,7.247099
246,0,7.247099
135,196,20.784097
196,135,20.784097
103,60,6.581794
60,103,6.581794
382,353,2.909139
353,382,2.909139
0,197,10.088659
197,0,10.088659
384,349,11.734724
349,384,11.734724
60,207,13.025673
207,60,13.025673
102,61,1.467466
61,102,1.467466
192,82,15.723791
82,192,15.723791
350,94,30.693088
94,350,30.693088
121,137,12.967442
137,121,12.967442
103,115,36.855361
115,103,36.855361
94,179,18.634957
179,94,18.634957
94,92,18.239244
92,94,18.239244
94,257,16.769196
257,94,16.769196
135,176,25.205976
176,135,25.205976
61,162,15.105461
162,61,15.105461
137,311,9.256886
311,137,9.256886
102,227,56.013861
227,102,56.013861
60,232,25.041274
232,60,25.041274
162,339,22.197773
339,162,22.197773
339,279,26.330723
279,339,26.330723
382,235,46.230724
235,382,46.230724
19,200,9.976016
200,19,9.976016
339,381,5.396669
381,339,5.396669
89,392,26.923022
392,89,26.923022
92,83,8.606935
83,92,8.606935
341,359,30.311435
359,341,30.311435
300,188,25.959020
188,300,25.959020
7,32,5.947550
32,7,5.947550
391,334,33.958125
334,391,33.958125
359,138,11.044699
138,359,11.044699
232,13,25.268925
13,232,25.268925
279,288,20.189605
288,279,20.189605
204,91,43.551941
91,204,43.551941
366,42,17.397705
42,366,17.397705
341,318,14.632556
318,341,14.632556
318,18,41.837626
18,318,41.837626
138,226,24.390324
226,138,24.390324
382,6,38.706509
6,382,38.706509
137,228,35.183399
228,137,35.183399
135,101,31.644942
101,135,31.644942
79,231,18.123626
231,79,18.123626
232,202,27.058832
202,232,27.058832
257,190,17.241656
190,257,17.241656
393,310,45.757735
310,393,45.757735
334,365,19.335680
365,334,19.335680
235,116,27.983171
116,235,27.983171
366,325,27.477212
325,366,27.477212
7,297,27.838891
297,7,27.838891
366,216,57.104431
216,366,57.104431
19,181,21.876570
181,19,21.876570
135,261,13.386174
261,135,13.386174
115,88,15.193855
88,115,15.193855
197,230,16.133273
230,197,16.133273
359,352,49.801567
352,359,49.801567
246,81,46.945724
81,246,46.945724
6,256,4.338292
256,6,4.338292
202,124,43.317844
124,202,43.317844
393,273,44.927023
273,393,44.927023
121,208,22.666530
208,121,22.666530
188,343,4.558980
343,188,4.558980
261,187,61.220781
187,261,61.220781
232,355,10.886240
355,232,10.886240
260,360,19.874259
360,260,19.874259
263,186,46.420368
186,263,46.420368
135,117,57.020832
117,135,57.020832
121,217,21.555112
217,121,21.555112
6,338,38.883301
338,6,38.883301
202,285,23.620323
285,202,23.620323
337,314,44.932740
314,337,44.932740
217,390,11.468173
390,217,11.468173
61,55,11.956999
55,61,11.956999
390,65,16.351775
65,390,16.351775
197,183,40.874887
183,197,40.874887
360,14,16.408298
14,360,16.408298
200,142,35.979303
142,200,35.979303
92,239,11.463567
239,92,11.463567
360,159,24.688935
159,360,24.688935
124,172,0.712021
172,124,0.712021
285,3,24.297719
3,285,24.297719
91,171,10.674960
171,91,10.674960
392,211,10.328654
211,392,10.328654
350,252,18.065660
252,350,18.065660
186,17,23.729827
17,186,23.729827
273,269,40.202029
269,273,40.202029
365,335,24.122758
335,365,24.122758
127,146,23.088076
146,127,23.088076
89,221,60.036295
221,89,60.036295
94,198,9.443273
198,94,9.443273
353,177,24.330300
177,353,24.330300
198,164,5.538948
164,198,5.538948
89,128,19.943657
128,89,19.943657
116,67,18.252206
67,116,18.252206
197,222,37.099488
222,197,37.099488
42,99,46.106252
99,42,46.106252
61,282,25.054793
282,61,25.054793
124,78,12.980223
78,124,12.980223
