id,x,y
0,88.199537,25.350063
1,16.370556,67.792025
2,71.649583,56.697626
3,82.630889,9.178248
4,18.731182,12.924233
5,69.405371,79.206272
6,36.460689,9.213126
7,74.248522,25.193308
8,14.131025,27.513732
9,22.166206,43.708538
10,78.948320,67.292089
11,91.937872,61.261088
12,56.687025,16.956578
13,63.562185,59.525617
14,97.774999,0.813323
15,37.774683,67.232166
16,25.882543,98.865802
17,21.758632,46.069308
18,50.271840,33.464855
19,94.252585,47.588674
20,67.707038,60.676211
21,88.351778,87.975720
22,80.916328,66.897559
23,3.043384,82.340969
24,77.761282,76.072457
25,51.544183,57.472653
26,23.123289,82.415320
27,23.849160,89.303473
28,68.749697,44.808197
29,85.685347,97.610009
30,32.714693,22.500406
31,13.642340,73.893106
32,69.599460,28.250257
33,3.808295,24.765960
34,33.394103,63.211209
35,54.654875,81.816704
36,46.272685,88.531209
37,94.167333,16.238450
38,5.882696,51.308749
39,51.886980,94.168786
40,52.898315,88.666023
41,2.972369,37.043094
42,72.399071,36.932343
43,22.253675,90.607483
44,48.340386,10.848365
45,24.474390,59.164735
46,35.224339,85.101571
47,13.394624,61.677213
48,66.247610,83.331427
49,41.588584,73.635241
50,38.189048,18.397816
51,4.600949,1.109639
52,42.448933,8.773616
53,29.921038,80.493032
54,16.314795,34.007479
55,87.806800,16.308014
56,10.669870,27.871703
57,36.745995,85.162364
58,83.097771,96.511364
59,7.840664,88.365901
60,82.607650,29.916134
61,96.625558,11.959405
62,88.323968,0.243058
63,23.419816,82.489883
64,77.662186,42.323028
65,81.742178,55.094966
66,0.968076,71.403288
67,40.994870,41.899431
68,66.056579,90.390035
69,64.851375,24.758996
70,13.748416,95.816257
71,98.392159,33.556889
72,90.637920,81.452359
73,7.639630,79.594398
74,56.463902,74.522784
75,74.893289,98.798123
76,14.800776,14.645547
77,45.715267,73.423811
78,40.904666,54.142376
79,66.720239,3.975943
80,26.496536,32.911765
81,65.628894,60.391262
82,31.673832,55.860658
83,73.285977,67.460606
84,90.898692,59.014910
85,37.527159,93.451211
86,5.739036,92.557750
87,63.167490,42.918358
88,79.050246,16.477088
89,88.823357,26.504556
90,22.909825,89.383811
91,42.802899,37.238177
92,79.582822,65.971223
93,36.600392,95.623576
94,67.256609,58.486735
95,43.797268,27.536517
96,91.051162,83.026709
97,33.017781,27.568919
98,28.858935,74.321081
99,53.586859,69.331258
100,50.595337,11.396550
101,69.291639,27.052716
102,96.312443,13.081079
103,87.127460,33.013662
104,0.733034,3.725876
105,18.588570,48.295689
106,88.648007,69.156561
107,87.344488,22.105037
108,95.216768,8.733007
109,33.412169,99.298617
110,35.228134,64.372470
111,43.042676,6.863028
112,25.674720,81.070043
113,25.745443,41.362766
114,37.778292,68.035967
115,76.966913,3.510038
116,39.879350,27.779973
117,98.609901,68.673412
118,97.502991,43.595345
119,15.658158,50.045540
120,86.962610,82.885778
121,74.817809,18.832347
122,2.421612,95.885022
123,11.036613,48.375570
124,29.083138,52.706023
125,62.925793,52.669040
126,70.645093,37.565302
127,79.479553,18.805532
128,72.910741,25.721254
129,9.800322,14.320557
130,38.974676,50.526320
131,11.928419,54.460500
132,45.650249,98.649643
133,6.994754,83.699622
134,47.801358,76.171657
135,99.109330,26.102280
136,60.083387,77.609243
137,63.515583,15.855176
138,88.812751,26.418165
139,34.359457,38.279573
140,16.154553,93.962062
141,48.956975,5.394507
142,78.396934,71.487682
143,16.291530,60.710473
144,0.649974,2.302786
145,56.781453,88.887564
146,97.118324,10.791358
147,8.849334,10.846054
148,62.906313,14.571162
149,36.217252,71.470168
150,14.737164,15.037408
151,25.310360,99.538056
152,10.444460,82.414503
153,42.567875,98.221553
154,85.287227,99.739112
155,32.224330,85.447351
156,48.468609,25.135383
157,87.990926,54.867183
158,66.571793,20.203390
159,63.460132,2.400154
160,62.214503,74.780641
161,17.916302,64.509156
162,98.971656,0.449757
163,51.467954,25.900899
164,58.781025,58.092987
165,11.919811,65.549839
166,5.813748,96.925576
167,32.074861,57.321166
168,71.162579,80.073936
169,92.452379,4.659479
170,42.929530,65.358164
171,37.909164,44.408177
172,28.684963,53.075779
173,14.066718,2.990939
174,17.706326,3.260310
175,7.576940,55.383795
176,98.936232,49.244991
177,62.220799,8.821511
178,49.133891,29.099276
179,61.275852,44.455618
180,90.124734,17.220044
181,78.882934,59.383614
182,84.382075,89.736779
183,58.908994,32.233967
184,56.277923,52.994231
185,44.685405,5.463465
186,24.541356,26.098208
187,47.856076,46.244476
188,85.201530,61.686494
189,22.382581,87.318996
190,55.038506,66.392882
191,29.907600,89.715004
192,43.933466,58.832811
193,37.169882,52.443898
194,25.357907,60.014409
195,72.500607,12.272273
196,89.899724,11.136749
197,95.955871,22.481069
198,60.907179,54.155835
199,12.855136,7.720683
200,99.125162,54.634446
201,8.682599,53.794302
202,61.957691,39.193440
203,27.900686,73.027028
204,77.279681,27.277811
205,76.257944,60.952930
206,71.445894,92.609411
207,72.569630,31.727370
208,61.568792,30.122493
209,41.762362,0.253490
210,46.998739,90.253509
211,78.096459,34.166493
212,84.010471,91.330519
213,51.611933,68.279922
214,38.212519,93.184900
215,35.052519,60.977835
216,60.576780,67.600667
217,68.645911,38.101272
218,62.166504,92.873510
219,97.126742,48.038472
220,13.211959,11.553608
221,46.824328,54.778793
222,98.193592,54.976724
223,91.157212,83.195336
224,11.380351,40.239559
225,16.572155,47.530467
226,68.372205,16.618638
227,88.197820,56.572329
228,60.760984,45.017012
229,10.160769,47.223131
230,82.607221,23.671397
231,57.764150,14.558698
232,83.315136,52.525640
233,15.879508,55.611497
234,62.007591,82.832778
235,35.973477,48.485799
236,13.677804,67.623784
237,15.897837,0.123706
238,42.436580,70.394907
239,84.587508,75.623551
240,28.670473,26.658520
241,47.731118,65.246891
242,15.865499,78.501827
243,34.139365,33.637861
244,21.406867,15.163699
245,4.109554,77.368964
246,87.582628,31.985694
247,66.771435,14.698192
248,98.629282,92.232725
249,99.568724,20.788522
250,55.885480,73.651362
251,50.385512,81.824878
252,59.170965,41.044960
253,50.456613,73.464796
254,52.833166,21.528570
255,37.065449,88.875875
256,36.066827,13.221739
257,69.811305,73.427156
258,29.881629,6.646498
259,86.349193,82.822103
260,90.239640,14.106586
261,92.337002,34.793950
262,10.569520,70.398648
263,53.971312,7.814063
264,49.236259,35.188632
265,52.564474,16.832365
266,14.039607,43.185587
267,6.896914,6.379399
268,43.336511,64.339993
269,50.885849,70.727094
270,28.356819,65.991940
271,44.569830,48.967866
272,57.350210,60.843430
273,66.129398,42.099693
274,20.098973,31.224133
275,60.325176,60.310143
276,64.983883,93.068531
277,99.256769,50.647511
278,56.504163,76.872960
279,68.830621,4.851287
280,13.556919,39.051872
281,34.829004,47.671308
282,76.209096,3.601123
283,29.673495,94.804941
284,76.929710,68.382743
285,71.180387,23.691828
286,48.281890,20.615900
287,41.073423,60.548397
288,83.532747,7.797578
289,44.432905,63.971465
290,36.399433,67.691411
291,96.369907,47.444160
292,46.222725,8.310252
293,14.882072,88.982859
294,92.849110,61.585244
295,18.620248,22.005031
296,9.339940,37.453184
297,81.931559,45.070400
298,20.421534,3.118598
299,1.867941,70.188687
300,82.252569,42.521386
301,7.355537,66.718014
302,5.412222,25.454111
303,5.497167,49.901746
304,39.900343,66.827733
305,50.819144,95.145085
306,37.483207,73.696658
307,43.072051,26.991556
308,37.160166,7.388068
309,98.383462,72.918014
310,93.101974,42.228985
311,60.885831,7.683240
312,66.562312,49.624376
313,13.716183,55.840874
314,61.863538,38.518648
315,4.861580,56.775199
316,9.653092,72.721778
317,11.651078,79.013738
318,77.565882,16.544926
319,58.374256,57.563733
320,21.115485,44.289000
321,47.207960,33.399939
322,1.997374,51.336427
323,65.380909,58.946087
324,14.639016,73.254522
325,64.980440,41.537481
326,19.619287,4.598250
327,67.132084,91.849561
328,40.048434,39.933387
329,57.447822,73.609988
330,52.766023,59.594073
331,65.624396,69.593333
332,58.980785,74.706250
333,15.570452,25.038691
334,98.901153,28.238919
335,72.547443,14.688776
336,5.405847,84.463877
337,96.524778,23.665899
338,33.350860,43.946257
339,87.045369,13.772876
340,8.178559,48.729067
341,73.467259,28.136987
342,97.166454,87.714279
343,83.368243,64.717485
344,46.197603,29.049437
345,63.713354,45.279815
346,0.641409,56.165401
347,49.293762,31.768364
348,13.024225,74.473587
349,65.314659,5.890920
350,72.551728,35.875192
351,8.642745,81.008649
352,51.818493,4.397724
353,63.564002,28.459065
354,96.986286,14.498150
355,90.558644,56.541010
356,4.830865,69.188405
357,29.074697,3.448876
358,19.183558,92.614530
359,94.964592,19.496158
360,84.461760,0.200589
361,80.963642,77.620406
362,19.616014,13.946459
363,54.151291,85.806010
364,73.011459,76.888916
365,94.917149,14.081006
366,87.793110,34.358727
367,34.728477,27.554242
368,76.206581,6.680462
369,24.498157,17.913008
370,33.166237,43.924183
371,92.552418,3.854783
372,92.132330,27.654835
373,22.354536,92.826846
374,92.676656,26.819668
375,45.219794,56.879949
376,50.896107,11.720520
377,16.399519,84.627281
378,39.191082,35.290997
379,94.329064,3.693580
380,4.868332,87.677764
381,91.488173,13.653683
382,62.329908,26.296557
383,11.753818,30.974418
384,65.235927,16.475928
385,79.620477,81.424807
386,95.861983,98.040542
387,55.660795,97.641158
388,78.701652,78.844539
389,92.234948,95.922096
390,70.106974,47.483364
391,82.050175,4.763171
392,68.748468,37.043795
393,86.009137,8.523240
394,88.856528,55.746200
395,14.307277,91.383568
396,12.598603,82.361360
397,40.235734,7.056880
398,4.931375,45.226181
399,60.881662,34.515770
