u,v,w
0,92,28.567673
92,0,28.567673
0,60,9.640746
60,0,9.640746
92,150,12.619447
150,92,12.619447
60,189,6.928244
189,60,6.928244
0,52,4.660880
52,0,4.660880
60,25,21.763147
25,60,21.763147
60,32,29.510590
32,60,29.510590
92,134,24.945308
134,92,24.945308
0,156,16.535651
156,0,16.535651
189,75,11.821407
75,189,11.821407
60,31,23.029479
31,60,23.029479
189,176,25.755231
176,189,25.755231
150,39,5.802461
39,150,5.802461
92,62,25.534195
62,92,25.534195
39,72,7.820020
72,39,7.820020
72,115,9.096078
115,72,9.096078
150,2,16.657941
2,150,16.657941
75,185,3.394712
185,75,3.394712
115,188,16.024964
188,115,16.024964
188,135,11.906653
135,188,11.906653
176,121,15.792561
121,176,15.792561
39,196,16.494676
196,39,16.494676
121,58,11.901357
58,121,11.901357
58,65,9.538912
65,58,9.538912
2,10,20.394199
10,2,20.394199
32,114,57.892057
114,32,57.892057
150,16,40.758877
16,150,40.758877
2,9,7.887366
9,2,7.887366
9,93,5.894209
93,9,5.894209
189,69,6.413310
69,189,6.413310
65,139,32.682146
139,65,32.682146
121,182,10.492545
182,121,10.492545
31,53,8.404468
53,31,8.404468
121,6,19.825212
6,121,19.825212
121,127,2.205617
127,121,2.205617
182,119,23.038182
119,182,23.038182
119,44,23.393345
44,119,23.393345
39,166,6.655749
166,39,6.655749
44,96,8.597109
96,44,8.597109
188,63,35.164928
63,188,35.164928
60,40,10.665423
40,60,10.665423
176,167,30.550041
167,176,30.550041
127,118,28.415940
118,127,28.415940
65,41,20.698060
41,65,20.698060
115,50,10.312682
50,115,10.312682
72,194,18.331028
194,72,18.331028
32,22,30.596966
22,32,30.596966
62,38,48.908117
38,62,48.908117
96,59,8.037153
59,96,8.037153
31,20,38.780040
20,31,38.780040
6,48,20.916495
48,6,20.916495
38,80,27.205553
80,38,27.205553
185,81,18.750713
81,185,18.750713
166,74,37.950654
74,166,37.950654
53,76,34.258918
76,53,34.258918
41,49,18.533097
49,41,18.533097
196,89,22.369174
89,196,22.369174
62,23,30.728292
23,62,30.728292
167,12,23.502306
12,167,23.502306
134,177,13.809019
177,134,13.809019
139,111,10.389874
111,139,10.389874
60,143,83.030521
143,60,83.030521
49,36,39.445692
36,49,39.445692
69,100,27.104203
100,69,27.104203
93,3,26.683733
3,93,26.683733
36,87,11.972310
87,36,11.972310
72,168,36.201870
168,72,36.201870
127,56,14.704529
56,127,14.704529
62,73,37.721433
73,62,37.721433
143,66,26.785245
66,143,26.785245
0,14,65.711061
14,0,65.711061
10,130,20.756798
130,10,20.756798
166,180,16.212266
180,166,16.212266
12,15,50.580356
15,12,50.580356
69,165,65.473316
165,69,65.473316
135,70,41.980258
70,135,41.980258
50,113,26.826296
113,50,26.826296
40,191,33.693947
191,40,33.693947
23,147,59.312687
147,23,59.312687
168,126,35.965539
126,168,35.965539
176,109,18.853903
109,176,18.853903
81,198,32.544325
198,81,32.544325
115,78,18.327609
78,115,18.327609
89,71,53.879041
71,89,53.879041
23,124,28.403694
124,23,28.403694
196,173,22.305427
173,196,22.305427
156,120,9.800299
120,156,9.800299
70,149,39.264476
149,70,39.264476
167,146,19.833016
146,167,19.833016
126,122,18.405442
122,126,18.405442
130,21,26.774668
21,130,26.774668
25,153,59.283834
153,25,59.283834
130,174,42.477683
174,130,42.477683
100,123,13.653572
123,100,13.653572
20,99,16.692355
99,20,16.692355
53,162,63.172149
162,53,63.172149
53,133,62.479284
133,53,62.479284
167,128,41.986439
128,167,41.986439
2,199,48.343450
199,2,48.343450
75,42,18.927486
42,75,18.927486
59,112,12.567145
112,59,12.567145
41,90,23.712262
90,41,23.712262
130,98,25.128016
98,130,25.128016
115,88,10.199357
88,115,10.199357
162,30,10.550303
30,162,10.550303
58,117,16.444520
117,58,16.444520
76,144,51.622430
144,76,51.622430
180,175,45.033089
175,180,45.033089
58,43,56.047078
43,58,56.047078
88,141,43.661524
141,88,43.661524
80,7,31.485049
7,80,31.485049
9,28,35.989467
28,9,35.989467
48,82,27.615059
82,48,27.615059
118,104,41.673715
104,118,41.673715
112,84,7.069498
84,112,7.069498
127,64,39.469314
64,127,39.469314
74,158,16.146722
158,74,16.146722
130,163,29.481132
163,130,29.481132
10,195,25.175602
195,10,25.175602
20,159,38.507379
159,20,38.507379
71,129,11.074288
129,71,11.074288
194,192,29.519098
192,194,29.519098
129,151,30.496695
151,129,30.496695
182,179,45.234738
179,182,45.234738
174,157,15.186346
157,174,15.186346
159,108,6.430819
108,159,6.430819
191,186,42.683734
186,191,42.683734
44,46,8.728277
46,44,8.728277
100,13,46.530057
13,100,46.530057
176,169,45.463529
169,176,45.463529
128,184,30.821377
184,128,30.821377
134,26,76.215521
26,134,76.215521
53,161,67.877342
161,53,67.877342
39,138,37.278365
138,39,37.278365
174,148,81.006419
148,174,81.006419
159,160,10.919690
160,159,10.919690
166,54,36.251358
54,166,36.251358
175,4,30.859887
4,175,30.859887
52,107,11.298557
107,52,11.298557
40,35,91.799441
35,40,91.799441
123,136,60.914773
136,123,60.914773
41,45,45.258251
45,41,45.258251
42,97,73.094804
97,42,73.094804
107,94,86.007092
94,107,86.007092
100,79,77.342067
79,100,77.342067
157,105,95.482073
105,157,95.482073
49,187,48.275359
187,49,48.275359
134,131,31.403740
131,134,31.403740
141,125,14.671505
125,141,14.671505
42,37,70.517731
37,42,70.517731
167,152,59.977842
152,167,59.977842
23,178,73.310146
178,23,73.310146
84,190,15.111644
190,84,15.111644
88,5,75.801575
5,88,75.801575
15,85,19.963219
85,15,19.963219
169,19,32.396665
19,169,32.396665
13,51,9.444099
51,13,9.444099
85,77,8.911324
77,85,8.911324
165,137,21.005628
137,165,21.005628
38,67,43.228155
67,38,43.228155
118,57,50.308255
57,118,50.308255
184,154,20.669240
154,184,20.669240
16,164,10.622963
164,16,10.622963
189,183,84.494197
183,189,84.494197
189,116,87.818983
116,189,87.818983
153,29,43.902278
29,153,43.902278
75,95,92.590957
95,75,92.590957
54,172,25.460950
172,54,25.460950
9,103,55.666106
103,9,55.666106
64,47,17.569171
47,64,17.569171
5,140,26.573364
140,5,26.573364
185,8,87.801676
8,185,87.801676
60,24,95.412623
24,60,95.412623
175,68,34.802988
68,175,34.802988
198,55,47.986359
55,198,47.986359
68,142,4.734193
142,68,4.734193
84,197,36.996349
197,84,36.996349
47,34,27.417818
34,47,27.417818
126,170,43.749747
170,126,43.749747
34,106,11.505684
106,34,11.505684
79,132,21.966417
132,79,21.966417
48,11,105.470897
11,48,105.470897
41,110,57.315967
110,41,57.315967
160,18,11.188949
18,160,11.188949
65,83,72.487025
83,65,72.487025
60,91,124.864799
91,60,124.864799
8,102,70.030154
102,8,70.030154
91,181,4.882682
181,91,4.882682
138,33,28.009868
33,138,28.009868
124,193,69.063866
193,124,69.063866
175,1,34.203776
1,175,34.203776
119,27,43.124350
27,119,43.124350
48,155,134.608906
155,48,134.608906
31,101,95.099140
101,31,95.099140
36,17,118.012508
17,36,118.012508
3,86,75.420259
86,3,75.420259
17,171,13.009100
171,17,13.009100
107,145,139.223333
145,107,139.223333
87,61,114.085498
61,87,114.085498
160,152,36.648019
152,160,36.648019
67,143,17.468336
143,67,17.468336
151,83,47.182168
83,151,47.182168
82,89,21.363616
89,82,21.363616
0,132,107.390193
132,0,107.390193
137,15,4.586810
15,137,4.586810
132,105,26.878450
105,132,26.878450
148,3,84.126003
3,148,84.126003
175,21,39.048712
21,175,39.048712
48,62,14.980815
62,48,14.980815
158,0,93.310401
0,158,93.310401
166,47,51.256251
47,166,51.256251
139,184,60.097603
184,139,60.097603
74,63,41.076045
63,74,41.076045
3,58,68.743747
58,3,68.743747
169,141,86.466935
141,169,86.466935
74,119,20.259348
119,74,20.259348
43,44,2.813827
44,43,2.813827
4,143,46.421886
143,4,46.421886
54,18,53.031334
18,54,53.031334
71,196,60.335535
196,71,60.335535
72,114,26.473205
114,72,26.473205
186,128,103.052959
128,186,103.052959
176,168,39.363833
168,176,39.363833
74,119,24.658245
119,74,24.658245
183,171,59.306237
171,183,59.306237
138,79,71.101004
79,138,71.101004
15,160,21.943482
160,15,21.943482
66,94,41.759105
94,66,41.759105
164,49,82.465736
49,164,82.465736
150,168,36.770808
168,150,36.770808
147,55,52.011794
55,147,52.011794
67,69,87.531400
69,67,87.531400
130,178,42.318356
178,130,42.318356
43,36,70.106176
36,43,70.106176
182,125,72.552490
125,182,72.552490
197,142,49.251955
142,197,49.251955
7,180,48.727281
180,7,48.727281
146,51,38.332523
51,146,38.332523
194,38,11.095338
38,194,11.095338
185,87,13.507720
87,185,13.507720
117,160,67.031262
160,117,67.031262
27,154,60.298032
154,27,60.298032
3,31,51.322564
31,3,51.322564
178,182,41.667479
182,178,41.667479
184,10,42.649572
10,184,42.649572
61,168,88.062197
168,61,88.062197
19,155,63.607030
155,19,63.607030
162,199,16.900570
199,162,16.900570
118,114,26.709431
114,118,26.709431
100,90,48.581963
90,100,48.581963
52,20,55.578507
20,52,55.578507
146,114,25.551479
114,146,25.551479
1,188,90.520352
188,1,90.520352
115,32,34.978242
32,115,34.978242
35,85,37.563849
85,35,37.563849
21,166,55.568787
166,21,55.568787
103,154,74.215422
154,103,74.215422
149,11,40.944454
11,149,40.944454
171,183,56.837933
183,171,56.837933
29,191,90.585367
191,29,90.585367
88,108,76.784093
108,88,76.784093
112,147,28.077772
147,112,28.077772
31,55,87.236294
55,31,87.236294
153,199,41.290847
199,153,41.290847
87,141,90.517716
141,87,90.517716
90,104,35.323963
104,90,35.323963
163,110,43.181027
110,163,43.181027
141,14,70.458281
14,141,70.458281
152,120,86.057278
120,152,86.057278
109,98,50.504279
98,109,50.504279
6,54,62.892609
54,6,62.892609
46,133,4.867499
133,46,4.867499
58,72,34.604697
72,58,34.604697
90,129,31.946778
129,90,31.946778
130,154,54.457276
154,130,54.457276
100,29,70.254409
29,100,70.254409
37,126,112.068262
126,37,112.068262
47,44,54.455064
44,47,54.455064
25,144,80.401946
144,25,80.401946
132,92,93.426763
92,132,93.426763
134,162,70.182898
162,134,70.182898
197,119,29.676888
119,197,29.676888
186,184,101.239283
184,186,101.239283
27,100,107.601713
100,27,107.601713
162,147,38.649666
147,162,38.649666
33,129,121.097109
129,33,121.097109
137,178,16.844455
178,137,16.844455
146,104,45.247982
104,146,45.247982
9,18,86.246588
18,9,86.246588
101,37,74.330189
37,101,74.330189
89,129,51.235665
129,89,51.235665
25,194,25.554891
194,25,25.554891
193,119,53.965241
119,193,53.965241
55,72,73.965387
72,55,73.965387
68,5,22.658635
5,68,22.658635
45,180,103.228626
180,45,103.228626
143,52,65.662568
52,143,65.662568
55,94,78.341068
94,55,78.341068
98,25,57.335782
25,98,57.335782
43,88,78.018608
88,43,78.018608
171,152,40.205555
152,171,40.205555
86,48,117.180334
48,86,117.180334
139,152,59.821507
152,139,59.821507
56,52,30.491563
52,56,30.491563
127,116,63.754792
116,127,63.754792
73,49,43.888212
49,73,43.888212
53,130,35.712234
130,53,35.712234
104,47,39.437185
47,104,39.437185
24,14,41.315416
14,24,41.315416
29,57,124.744553
57,29,124.744553
198,67,46.803322
67,198,46.803322
96,16,96.418755
16,96,96.418755
59,116,19.326896
116,59,19.326896
55,163,32.891564
163,55,32.891564
180,89,32.093924
89,180,32.093924
65,110,70.236194
110,65,70.236194
197,114,65.439762
114,197,65.439762
88,32,19.988951
32,88,19.988951
52,62,12.072237
62,52,12.072237
198,9,36.977162
9,198,36.977162
28,171,87.019353
171,28,87.019353
82,104,69.985919
104,82,69.985919
57,50,90.169595
50,57,90.169595
123,36,25.858178
36,123,25.858178
143,126,21.244796
126,143,21.244796
190,157,59.615421
157,190,59.615421
106,58,86.029992
58,106,86.029992
96,124,65.090951
124,96,65.090951
191,68,78.545722
68,191,78.545722
53,25,10.727770
25,53,10.727770
82,136,89.572241
136,82,89.572241
182,77,60.932785
77,182,60.932785
150,109,32.317493
109,150,32.317493
158,102,60.793399
102,158,60.793399
15,172,69.441985
172,15,69.441985
18,107,113.085345
107,18,113.085345
7,106,32.325837
106,7,32.325837
45,174,81.401780
174,45,81.401780
192,126,10.045868
126,192,10.045868
46,82,72.079168
82,46,72.079168
137,19,48.315432
19,137,48.315432
149,179,62.012596
179,149,62.012596
15,38,80.978471
38,15,80.978471
177,0,64.822288
0,177,64.822288
55,137,5.114317
137,55,5.114317
70,176,28.751926
176,70,28.751926
88,119,62.305666
119,88,62.305666
83,175,64.061271
175,83,64.061271
126,139,77.880571
