id,x,y
0,21.0060,53.5094
1,93.2750,19.6277
2,48.2804,38.8762
3,26.0997,63.1179
4,65.9407,72.1728
5,43.0801,94.1579
6,56.9528,24.2672
7,42.3823,34.3060
8,52.5533,26.2587
9,15.5621,10.3049
10,3.1198,12.3280
11,17.0660,34.5255
12,54.2573,38.1038
13,32.6459,0.5494
14,37.4740,17.5429
15,55.9886,91.1315
16,18.8054,86.5638
17,71.8806,59.3988
18,65.1007,31.6279
19,77.8460,92.0511
20,87.7192,90.1423
21,99.5130,85.7321
22,74.0484,53.6830
23,15.9543,14.5048
24,18.4639,58.8211
25,63.9139,7.8883
26,76.7989,23.4473
27,80.4914,45.9219
28,19.7827,92.3185
29,15.3875,89.8040
30,2.9423,64.5209
31,16.0495,17.8721
32,72.0452,94.1539
33,14.1093,16.5748
34,29.3133,35.0398
35,83.4369,71.9575
36,96.0392,30.2129
37,4.2657,3.4398
38,82.3466,98.0260
39,92.2955,71.6240
40,6.2071,1.8226
41,40.0648,61.5323
42,85.3371,43.8907
43,11.7985,13.6727
44,50.0241,77.5596
45,63.5750,43.0107
46,60.0363,48.8455
47,96.1121,60.2770
48,18.8325,23.9933
49,24.4452,35.8240
50,97.4000,77.7489
51,59.9271,96.0052
52,48.9689,66.8554
53,17.1518,3.4204
54,59.2094,98.1301
55,90.7848,87.2865
56,48.4184,32.0704
57,81.1427,55.1702
58,77.2884,40.8178
59,64.0785,69.1192
60,59.0781,61.7646
61,0.4916,57.8197
62,69.2016,46.6208
63,37.3847,31.4574
64,33.5082,31.3640
65,7.4618,17.3089
66,63.7616,28.6496
67,42.2124,98.1159
68,27.8246,19.2834
69,47.4196,87.9051
70,17.7193,57.4941
71,35.9665,32.4854
72,73.5672,9.8659
73,11.5055,23.1293
74,62.0368,31.1153
75,59.8514,72.3775
76,67.6308,57.6605
77,16.7173,50.4033
78,38.2528,98.1203
79,92.6485,11.5959
80,24.2811,40.0889
81,96.8651,49.6864
82,12.1976,3.5225
83,7.8070,28.8446
84,18.2864,34.1213
85,65.4019,43.4882
86,28.2885,88.3604
87,34.4471,22.7895
88,20.1763,69.2064
89,2.9199,91.5735
90,37.4125,55.4039
91,8.7578,44.3660
92,49.4268,6.5746
93,46.0551,59.9159
94,8.1080,7.9750
95,23.8994,4.3066
96,53.0579,16.4765
97,13.4055,43.7339
98,12.0668,56.0520
99,45.3339,12.5175
100,42.1403,28.8042
101,41.0116,8.9805
102,74.3518,71.3990
103,41.8023,99.5140
104,84.5997,47.7930
105,61.3400,35.0630
106,75.1696,74.1978
107,61.0887,90.8370
108,29.7284,30.8213
109,92.7691,39.1685
110,3.3444,77.0771
111,53.9492,15.1595
112,92.4031,91.6637
113,85.6866,14.0839
114,78.5678,8.9467
115,89.3457,70.2767
116,19.1236,53.5505
117,85.0241,37.9223
118,63.7577,77.6706
119,4.2853,13.3431
120,77.4161,61.8972
121,13.0235,31.2292
122,66.7268,96.0546
123,0.5003,58.8737
124,12.4417,6.1740
125,79.9791,36.3638
126,87.6601,47.5075
127,54.8047,52.8159
128,93.3740,50.7625
129,6.5220,35.9369
130,95.4203,45.2908
131,62.9821,76.4097
132,46.2539,36.3605
133,76.4037,11.1106
134,34.5424,54.7910
135,44.0372,16.7497
136,60.3466,53.6996
137,63.9435,17.2630
138,47.5269,26.3256
139,82.7560,79.0525
140,82.8211,26.4880
141,76.9722,93.4572
142,29.4786,65.0755
143,73.4740,39.5519
144,10.5216,67.6184
145,16.6029,57.4319
146,26.2550,92.2533
147,88.2394,27.4528
148,91.3764,33.1778
149,32.7780,4.1864
150,75.5739,57.1147
151,72.2423,37.4928
152,97.9862,51.2643
153,32.1850,88.8368
154,74.5186,52.5177
155,40.7433,11.9366
156,52.0375,8.4732
157,23.5572,83.9834
158,71.2375,20.0822
159,44.5953,80.9468
160,56.8264,67.0906
161,78.3694,86.8526
162,49.0272,36.7635
163,4.2148,32.6037
164,26.9640,39.9648
165,81.0844,45.1596
166,49.2349,62.2615
167,11.1223,72.0289
168,21.9904,77.8913
169,51.3080,35.0004
170,2.3666,51.4984
171,71.9735,85.3094
172,22.2238,8.7330
173,30.2280,16.4923
174,86.8621,60.0761
175,88.7829,49.1048
176,6.2873,43.9392
177,39.8400,35.0175
178,53.4429,61.3853
179,79.8036,78.6325
180,87.6096,6.2277
181,90.4730,51.0580
182,74.1529,83.0240
183,18.5401,22.0495
184,26.7921,58.2772
185,28.2847,48.0099
186,4.7603,2.8172
187,2.4796,80.6422
188,69.4099,26.7960
189,31.7477,44.7700
190,80.4226,95.3941
191,59.1243,40.1937
192,46.1555,7.9237
193,1.0534,97.4549
194,77.7630,13.9722
195,97.5548,33.1064
196,26.6050,14.4081
197,78.7253,78.9743
198,8.5717,4.7937
199,74.9167,6.8770
