u,v,w
0,1,2.000000
1,0,2.000000
0,15,2.000000
15,0,2.000000
1,2,3.000000
2,1,3.000000
1,16,2.000000
16,1,2.000000
2,3,2.000000
3,2,2.000000
2,17,4.000000
17,2,4.000000
3,4,3.000000
4,3,3.000000
3,18,3.000000
18,3,3.000000
4,5,1.000000
5,4,1.000000
4,19,2.000000
19,4,2.000000
5,6,4.000000
6,5,4.000000
5,20,1.000000
20,5,1.000000
6,7,5.000000
7,6,5.000000
6,21,2.000000
21,6,2.000000
7,8,4.000000
8,7,4.000000
7,22,4.000000
22,7,4.000000
8,9,5.000000
9,8,5.000000
8,23,2.000000
23,8,2.000000
9,10,2.000000
10,9,2.000000
9,24,4.000000
24,9,4.000000
10,11,4.000000
11,10,4.000000
10,25,3.000000
25,10,3.000000
11,12,4.000000
12,11,4.000000
11,26,1.000000
26,11,1.000000
12,13,1.000000
13,12,1.000000
12,27,4.000000
27,12,4.000000
13,14,1.000000
14,13,1.000000
13,28,3.000000
28,13,3.000000
14,29,4.000000
29,14,4.000000
15,16,2.000000
16,15,2.000000
15,30,5.000000
30,15,5.000000
16,17,3.000000
17,16,3.000000
16,31,1.000000
31,16,1.000000
17,18,1.000000
18,17,1.000000
17,32,1.000000
32,17,1.000000
18,19,2.000000
19,18,2.000000
18,33,3.000000
33,18,3.000000
19,20,3.000000
20,19,3.000000
19,34,3.000000
34,19,3.000000
20,21,2.000000
21,20,2.000000
20,35,1.000000
35,20,1.000000
21,22,3.000000
22,21,3.000000
21,36,5.000000
36,21,5.000000
22,23,3.000000
23,22,3.000000
22,37,3.000000
37,22,3.000000
23,24,3.000000
24,23,3.000000
23,38,1.000000
38,23,1.000000
24,25,1.000000
25,24,1.000000
24,39,2.000000
39,24,2.000000
25,26,2.000000
26,25,2.000000
25,40,2.000000
40,25,2.000000
26,27,3.000000
27,26,3.000000
26,41,3.000000
41,26,3.000000
27,28,1.000000
28,27,1.000000
27,42,4.000000
42,27,4.000000
28,29,3.000000
29,28,3.000000
28,43,5.000000
43,28,5.000000
29,44,4.000000
44,29,4.000000
30,31,3.000000
31,30,3.000000
30,45,5.000000
45,30,5.000000
31,32,4.000000
32,31,4.000000
31,46,3.000000
46,31,3.000000
32,33,5.000000
33,32,5.000000
32,47,5.000000
47,32,5.000000
33,34,5.000000
34,33,5.000000
33,48,5.000000
48,33,5.000000
34,35,5.000000
35,34,5.000000
34,49,5.000000
49,34,5.000000
35,36,4.000000
36,35,4.000000
35,50,2.000000
50,35,2.000000
36,37,2.000000
37,36,2.000000
