u,v,w
0,1,5.000000
1,0,5.000000
0,15,3.000000
15,0,3.000000
1,2,1.000000
2,1,1.000000
1,16,4.000000
16,1,4.000000
2,3,1.000000
3,2,1.000000
2,17,2.000000
17,2,2.000000
3,4,5.000000
4,3,5.000000
3,18,4.000000
18,3,4.000000
4,5,3.000000
5,4,3.000000
4,19,4.000000
19,4,4.000000
5,6,3.000000
6,5,3.000000
5,20,2.000000
20,5,2.000000
6,7,5.000000
7,6,5.000000
6,21,3.000000
21,6,3.000000
7,8,5.000000
8,7,5.000000
7,22,1.000000
22,7,1.000000
8,9,4.000000
9,8,4.000000
8,23,4.000000
23,8,4.000000
9,10,1.000000
10,9,1.000000
9,24,5.000000
24,9,5.000000
10,11,5.000000
11,10,5.000000
10,25,5.000000
25,10,5.000000
11,12,4.000000
12,11,4.000000
11,26,5.000000
26,11,5.000000
12,13,5.000000
13,12,5.000000
12,27,5.000000
27,12,5.000000
13,14,3.000000
14,13,3.000000
13,28,4.000000
28,13,4.000000
14,29,1.000000
29,14,1.000000
15,16,4.000000
16,15,4.000000
15,30,2.000000
30,15,2.000000
16,17,4.000000
17,16,4.000000
16,31,2.000000
31,16,2.000000
17,18,5.000000
18,17,5.000000
17,32,4.000000
32,17,4.000000
18,19,1.000000
19,18,1.000000
18,33,3.000000
33,18,3.000000
19,20,1.000000
20,19,1.000000
19,34,5.000000
34,19,5.000000
20,21,2.000000
21,20,2.000000
20,35,5.000000
35,20,5.000000
21,22,2.000000
22,21,2.000000
21,36,2.000000
36,21,2.000000
22,23,1.000000
23,22,1.000000
22,37,5.000000
37,22,5.000000
23,24,3.000000
24,23,3.000000
23,38,1.000000
38,23,1.000000
24,25,5.000000
25,24,5.000000
24,39,2.000000
39,24,2.000000
25,26,4.000000
26,25,4.000000
25,40,2.000000
40,25,2.000000
26,27,5.000000
27,26,5.000000
26,41,5.000000
41,26,5.000000
27,28,4.000000
28,27,4.000000
27,42,2.000000
42,27,2.000000
28,29,1.000000
29,28,1.000000
28,43,3.000000
43,28,3.000000
29,44,5.000000
44,29,5.000000
30,31,3.000000
31,30,3.000000
30,45,2.000000
45,30,2.000000
31,32,2.000000
32,31,2.000000
31,46,4.000000
46,31,4.000000
32,33,5.000000
33,32,5.000000
32,47,5.000000
47,32,5.000000
33,34,3.000000
34,33,3.000000
33,48,3.000000
48,33,3.000000
34,35,2.000000
35,34,2.000000
34,49,4.000000
49,34,4.000000
35,36,3.000000
36,35,3.000000
35,50,5.000000
50,35,5.000000
36,37,1.000000
37,36,1.000000
36,51,4.000000
51,36,4.000000
37,38,1.000000
38,37,1.000000
37,52,3.000000
52,37,3.000000
38,39,2.000000
39,38,2.000000
38,53,5.000000
53,38,5.000000
39,40,2.000000
40,39,2.000000
39,54,4.000000
54,39,4.000000
40,41,1.000000
41,40,1.000000
40,55,3.000000
55,40,3.000000
41,42,5.000000
42,41,5.000000
41,56,4.000000
56,41,4.000000
42,43,5.000000
43,42,5.000000
42,57,4.000000
57,42,4.000000
43,44,3.000000
44,43,3.000000
43,58,5.000000
58,43,5.000000
44,59,3.000000
59,44,3.000000
45,46,2.000000
46,45,2.000000
45,60,1.000000
60,45,1.000000
46,47,2.000000
47,46,2.000000
46,61,5.000000
61,46,5.000000
47,48,3.000000
48,47,3.000000
47,62,3.000000
62,47,3.000000
48,49,5.000000
49,48,5.000000
48,63,1.000000
63,48,1.000000
49,50,5.000000
50,49,5.000000
49,64,2.000000
64,49,2.000000
50,51,4.000000
51,50,4.000000
50,65,3.000000
65,50,3.000000
51,52,5.000000
52,51,5.000000
