u,v,w
0,17,8.0509
17,0,8.0509
0,16,11.5578
16,0,11.5578
0,41,11.4921
41,0,11.4921
0,11,27.5245
11,0,27.5245
0,39,16.0985
39,0,16.0985
11,14,26.5359
14,11,26.5359
16,43,5.7414
43,16,5.7414
41,2,6.9276
2,41,6.9276
43,44,28.2368
44,43,28.2368
41,22,21.6583
22,41,21.6583
0,36,34.9075
36,0,34.9075
43,26,21.8685
26,43,21.8685
16,13,29.4828
13,16,29.4828
11,19,30.1852
19,11,30.1852
0,21,21.2323
21,0,21.2323
26,40,6.4426
40,26,6.4426
43,33,29.6574
33,43,29.6574
17,8,49.5809
8,17,49.5809
26,27,13.3990
27,26,13.3990
39,6,29.2331
6,39,29.2331
43,38,21.5436
38,43,21.5436
41,34,41.0770
34,41,41.0770
34,15,5.1686
15,34,5.1686
27,30,59.4945
30,27,59.4945
27,46,52.9308
46,27,52.9308
33,20,40.4914
20,33,40.4914
40,1,10.0894
1,40,10.0894
39,42,42.8580
42,39,42.8580
41,23,52.1505
23,41,52.1505
36,37,32.8912
37,36,32.8912
15,9,52.6461
9,15,52.6461
20,3,54.0290
3,20,54.0290
9,49,13.7133
49,9,13.7133
38,35,53.7026
35,38,53.7026
0,28,61.6218
28,0,61.6218
20,48,68.8950
48,20,68.8950
34,24,66.5210
24,34,66.5210
22,7,45.7607
7,22,45.7607
8,18,45.9158
18,8,45.9158
27,10,60.5384
10,27,60.5384
14,5,68.8503
5,14,68.8503
11,29,52.8751
29,11,52.8751
16,12,81.5983
12,16,81.5983
42,31,36.6561
31,42,36.6561
20,25,90.2478
25,20,90.2478
0,47,79.8420
47,0,79.8420
0,45,82.9770
45,0,82.9770
11,32,56.2801
32,11,56.2801
46,4,39.8954
4,46,39.8954
21,31,96.0537
31,21,90.1432
27,10,65.4871
10,27,57.7882
0,23,61.9589
23,0,65.6827
6,11,21.9937
11,6,23.1849
5,4,37.6858
4,5,30.1831
46,22,19.3979
22,46,18.4274
23,13,45.6519
13,23,44.4566
17,15,49.1899
15,17,53.4959
19,48,81.6547
48,19,70.2039
17,37,69.2972
37,17,55.3357
21,29,98.4837
29,21,89.1992
8,46,40.4135
46,8,39.1485
10,17,72.9661
17,10,59.6381
46,33,31.0670
33,46,36.0413
1,26,12.5853
26,1,13.4551
17,33,24.8272
33,17,25.7156
35,7,52.9604
7,35,53.2156
27,10,60.0979
10,27,57.5278
23,3,1.8045
3,23,1.7710
7,44,92.6463
44,7,75.6080
33,43,34.5863
43,33,27.8227
36,39,30.8827
39,36,35.4455
30,34,94.7488
34,30,107.2469
25,38,99.8739
38,25,104.0327
18,37,45.3387
37,18,46.1947
34,8,31.9847
8,34,30.6338
10,28,28.2726
28,10,31.0228
32,6,42.1345
6,32,47.0541
5,40,47.1327
40,5,57.5732
28,46,10.8344
46,28,11.0252
48,21,97.1935
21,48,101.7151
23,9,7.3048
9,23,6.5020
46,14,48.2353
14,46,51.4686
21,11,36.4689
11,21,35.2712
42,49,12.7970
49,42,15.1728
23,9,7.2250
9,23,6.8293
34,5,99.6876
5,34,90.9887
0,29,85.1633
29,0,92.3639
16,42,80.4916
42,16,77.7959
39,9,52.1266
9,39,52.5492
