id,x,y
0,9.6079,53.3793
1,37.1696,83.5300
2,18.2705,43.5577
3,63.3820,19.1522
4,97.4325,59.0485
5,76.6089,85.2022
6,47.5386,32.3003
7,87.8042,54.3417
8,35.9271,13.5928
9,55.9903,15.3097
10,74.0983,75.3603
11,37.1296,53.7751
12,83.3143,85.4387
13,22.3038,40.2108
14,11.8464,61.8319
15,3.8357,8.1329
16,4.6341,63.8121
17,15.5621,58.7982
18,81.5599,18.6835
19,47.7097,82.0454
20,11.8499,2.9174
21,13.0549,74.3299
22,42.2714,49.7799
23,61.9120,18.2291
24,74.5602,15.3288
25,97.7567,30.5704
26,26.3070,79.3019
27,13.5602,75.1725
28,70.7224,45.4886
29,86.0711,33.7623
30,70.8246,91.3091
31,92.5964,33.3077
32,92.5402,43.9202
33,27.5974,40.2212
34,8.1850,10.9253
35,67.1347,98.4068
36,42.7344,64.3870
37,75.4843,67.4328
38,15.0370,85.3757
39,19.5416,40.7111
40,27.3089,85.6661
41,20.6151,50.0764
42,57.8773,21.5493
43,10.3504,64.3481
44,18.0825,91.5056
45,92.5705,51.8305
46,59.0608,48.1285
47,85.7541,77.3897
48,79.1559,17.6289
49,69.6939,14.7947
