u,v,w
0,1,1.9934
1,0,1.9934
0,5,3.7754
5,0,3.7754
1,2,4.3548
2,1,4.3548
1,6,3.3707
6,1,3.3707
2,3,2.6966
3,2,2.6966
2,7,2.6573
7,2,2.6573
3,4,2.9698
4,3,2.9698
3,8,2.7443
8,3,2.7443
4,9,1.2187
9,4,1.2187
5,6,2.3820
6,5,2.3820
5,10,1.5441
10,5,1.5441
6,7,2.6049
7,6,2.6049
6,11,4.9592
11,6,4.9592
7,8,1.4995
8,7,1.4995
7,12,3.8208
12,7,3.8208
8,9,2.7267
9,8,2.7267
8,13,4.9909
13,8,4.9909
9,14,1.2914
14,9,1.2914
10,11,2.0140
11,10,2.0140
10,15,2.1827
15,10,2.1827
11,12,1.9038
12,11,1.9038
11,16,3.4303
16,11,3.4303
12,13,3.3758
13,12,3.3758
12,17,3.3519
17,12,3.3519
13,14,4.6846
14,13,4.6846
13,18,4.8008
18,13,4.8008
14,19,1.9125
19,14,1.9125
15,16,4.8162
16,15,4.8162
15,20,2.4991
20,15,2.4991
16,17,1.4486
17,16,1.4486
16,21,1.5437
21,16,1.5437
17,18,3.0063
18,17,3.0063
17,22,1.5686
22,17,1.5686
18,19,1.2829
19,18,1.2829
18,23,3.4738
23,18,3.4738
19,24,1.6841
24,19,1.6841
20,21,2.3228
21,20,2.3228
21,22,2.7458
22,21,2.7458
22,23,2.1610
23,22,2.1610
23,24,2.6495
24,23,2.6495
