u,v,w
0,155,2.9210
0,175,2.9274
0,110,13.7238
0,134,7.6660
0,40,14.0370
1,68,10.8656
1,156,8.9155
1,162,11.2468
1,35,5.2286
1,93,10.7802
2,9,2.5663
2,158,12.7792
2,60,5.0748
2,156,5.5956
2,22,11.4687
3,86,7.7066
3,34,1.1756
3,193,10.8188
3,57,2.9132
3,150,2.1200
4,38,4.0193
4,65,13.2199
4,95,5.7408
4,167,10.4888
4,182,14.9257
5,122,5.2237
5,193,10.9648
5,140,4.4543
5,135,8.0193
5,76,8.2611
6,18,9.4687
6,72,12.2027
6,58,13.2079
6,74,13.0951
6,195,1.2785
7,158,9.1269
7,127,2.5920
7,73,8.6573
7,175,13.4329
7,145,14.9087
8,142,8.3847
8,6,11.4067
8,126,5.0636
8,129,10.2846
8,198,12.7084
9,197,10.0187
9,107,14.7436
9,75,1.2908
9,20,13.3072
9,22,14.4020
10,184,9.9580
10,5,14.4146
10,104,3.4487
10,140,3.8456
10,70,12.2319
11,194,7.5703
11,52,2.9572
11,123,2.2353
11,114,6.8383
11,25,7.9907
12,5,13.9590
12,95,6.4185
12,77,5.4787
12,73,11.0813
13,119,3.8998
13,190,8.5251
13,163,2.5608
13,104,6.4521
13,18,7.7027
14,168,9.4403
14,195,10.6932
14,45,8.1877
14,163,7.7719
14,111,4.1540
15,115,4.0934
15,88,5.4248
15,97,11.2111
15,72,12.9428
15,165,10.8956
16,58,9.4277
16,120,4.1135
16,74,11.9186
16,183,6.9543
16,4,7.5436
17,187,11.9808
17,23,13.8888
17,123,5.5208
17,5,7.7304
17,96,3.4844
18,13,10.2844
18,112,7.5391
18,63,11.5295
18,77,13.4618
18,187,6.3177
19,80,13.8302
19,71,10.3926
19,26,6.2899
19,120,5.6779
19,195,8.0799
20,172,11.7736
20,134,1.5529
20,116,8.5288
20,65,3.9182
20,68,14.5110
21,123,4.5616
21,11,12.7641
21,35,7.4188
21,51,9.1183
21,92,12.3204
22,42,10.7062
22,173,11.3948
22,108,9.8169
22,186,7.0501
22,91,5.2090
23,141,11.1335
23,140,3.5457
23,118,14.6023
23,32,1.3839
24,99,6.5179
24,133,10.6906
24,31,3.0982
24,13,3.7975
24,136,9.7051
25,30,4.8660
25,178,1.8119
25,186,2.5875
25,78,5.6641
25,100,13.4774
26,125,5.5043
26,126,8.7209
26,142,14.3403
26,80,1.4968
26,176,13.0778
27,60,10.9187
27,98,13.9813
27,2,7.8425
27,144,11.2419
27,17,9.4517
28,27,7.5547
28,38,1.1960
28,178,4.8873
28,44,8.3340
28,186,3.4189
29,60,11.1567
29,35,7.7665
29,179,1.4075
29,99,13.2444
29,120,9.7391
30,120,10.5347
30,195,2.7072
30,183,12.5744
30,54,8.0091
30,159,1.2936
31,163,12.9516
31,59,5.2636
31,89,4.8994
31,108,11.2149
31,121,9.3451
32,165,12.9249
32,175,13.4599
32,5,2.0870
32,172,1.9213
32,162,2.0150
33,142,1.0598
33,39,11.0804
33,178,13.3389
33,82,4.8522
33,127,3.9426
34,145,10.9463
34,4,4.7415
34,37,2.1592
34,116,5.6620
34,137,13.8133
35,173,7.5368
35,188,7.9704
35,199,3.8547
35,6,3.3557
35,64,9.4067
36,93,8.2080
36,27,3.3043
36,133,7.8239
36,188,4.8201
36,9,11.2149
37,17,2.7493
37,63,7.1948
37,160,8.6807
37,131,2.7960
37,135,4.3108
38,75,3.9061
38,74,12.2759
38,18,10.8883
38,169,12.3689
38,1,12.9305
39,177,12.8309
39,127,8.2745
39,153,7.1539
39,130,3.1364
39,94,5.9932
40,5,13.4945
40,190,12.3537
40,48,12.6192
40,149,4.4108
40,185,9.1478
41,194,11.2030
41,129,5.3067
41,134,5.8177
41,156,3.2652
41,56,6.4530
42,91,8.5561
42,1,10.5452
42,56,3.7917
42,160,9.4543
42,109,11.8565
43,119,9.5217
43,52,8.8217
43,37,6.1975
43,100,14.9909
43,67,14.2743
44,190,8.0715
44,191,14.0915
44,194,3.4716
44,133,10.8661
44,87,7.7060
45,140,1.7014
45,186,11.9163
45,136,6.2593
45,35,6.9712
45,74,6.5355
46,73,5.2859
46,118,2.2075
46,25,5.8097
46,19,12.2488
46,7,11.1574
47,70,8.4580
47,84,2.5201
47,118,9.8246
47,158,10.4638
47,134,11.4048
48,97,13.5880
48,166,7.7097
48,93,7.2058
48,116,6.5033
48,121,1.8041
49,68,2.0742
49,95,13.9365
49,145,14.2408
49,146,7.1027
49,138,7.9865
50,53,2.9124
50,119,9.5920
50,34,8.5270
50,39,2.0701
50,88,11.6067
51,117,7.7913
51,167,10.9883
51,81,1.2937
51,53,4.3928
51,142,12.7906
52,20,6.5280
52,192,5.1425
52,134,9.9987
52,130,6.5359
52,28,11.9033
53,184,7.3680
53,70,10.2571
53,95,2.4450
53,66,9.0354
53,35,6.5892
54,107,2.8834
54,30,13.6644
54,77,11.1288
54,196,1.1078
54,19,9.5506
55,196,3.4581
55,124,5.0694
55,158,9.9362
55,34,11.5651
55,107,8.7717
56,189,13.3848
56,153,8.5728
56,181,14.3880
56,183,10.3420
56,120,10.6572
57,164,14.3095
57,36,14.9862
57,166,12.8475
57,6,5.1436
57,180,3.9845
58,36,1.3946
58,189,12.8704
58,192,8.4136
58,15,1.0789
58,9,8.3287
59,31,2.1850
59,164,10.0426
59,189,2.6601
59,98,3.0621
59,86,3.7144
60,111,6.1285
60,97,7.8130
60,86,10.2306
60,104,13.4116
60,6,1.0647
61,6,5.0037
61,69,5.9326
61,128,2.8643
