id,x,y
0,18.0797,52.9198
1,3.6031,20.4923
2,92.3134,11.7911
3,93.9919,77.1921
4,42.5951,25.8839
5,59.7142,0.6736
6,31.5822,59.0250
7,33.5357,66.7667
8,27.1833,95.3682
9,73.7954,62.0443
10,2.0075,51.2844
11,65.7630,33.9065
12,14.6470,65.6540
13,10.6888,53.9739
14,49.4725,32.5196
15,52.2164,3.3850
16,61.5190,21.8232
17,54.5543,82.7565
18,11.5191,31.0112
19,33.3015,64.2694
20,81.7503,35.5688
21,28.7550,49.1821
22,63.5496,45.7385
23,68.5855,73.0845
24,18.3862,48.4661
25,83.6539,57.4365
26,5.4085,35.5344
27,70.0189,67.9591
28,53.0153,53.8585
29,36.6308,36.6274
30,41.1609,35.4059
31,36.3371,68.2658
32,27.1827,94.1239
33,18.0624,52.1104
34,62.4048,1.3483
35,26.7891,67.1095
36,3.5095,70.1393
37,39.1035,7.4366
38,21.2116,78.0817
39,69.7989,30.5816
40,95.3598,25.2722
41,76.4121,52.0892
42,51.0178,86.2317
43,9.2224,47.2700
44,49.7804,82.0831
45,7.6716,89.5545
46,80.2385,0.1249
47,45.1150,74.8085
48,85.0844,49.0456
49,25.8781,50.0661
50,3.6242,87.0706
51,71.6289,20.3180
52,32.8675,10.9485
53,89.7157,25.4468
54,75.0035,81.7076
55,68.2997,53.8224
56,83.4357,83.0097
57,37.9118,12.8400
58,66.2467,0.5186
59,93.9907,43.6376
60,39.1522,92.7493
61,29.6017,73.0617
62,27.0800,84.5506
63,87.3135,49.8844
64,52.2557,25.0303
65,82.6630,31.1887
66,29.0537,79.4793
67,23.9745,50.6655
68,87.1867,97.9100
69,37.3430,32.2336
70,37.0358,52.4725
71,91.5469,10.3596
72,6.5248,83.7381
73,27.7263,79.6897
74,14.3190,78.3222
75,76.1232,27.3428
76,54.4147,49.5305
77,93.6382,31.7616
78,61.9222,1.1203
79,88.0939,43.9447
80,75.6804,61.0942
81,61.2420,80.2007
82,41.1121,29.2112
83,7.6338,76.6472
84,84.6373,2.1905
85,90.9891,32.4813
86,73.6369,18.5017
87,17.4495,88.7415
88,59.2117,1.2588
89,66.8531,83.4729
90,25.0376,36.3785
91,58.9812,9.9701
92,84.1159,38.0168
93,34.5211,6.2991
94,12.9671,21.9822
95,57.8338,14.7883
96,22.2027,24.2750
97,61.0104,45.7663
98,97.4725,53.1865
99,55.9759,88.5706
100,0.8556,71.0055
101,96.0990,71.8516
102,92.8004,20.0464
103,25.5644,70.6025
104,69.2548,91.4809
105,22.8782,96.0477
106,33.9756,16.8712
107,33.9781,92.0174
108,49.6371,61.1917
109,74.3867,41.0908
110,93.7553,38.9198
111,15.0704,52.3650
112,23.7965,67.0400
113,80.3405,26.6060
114,20.7357,12.6482
115,11.5060,67.1249
116,40.4716,41.7299
117,46.0059,34.9184
118,26.8606,13.2120
119,86.6767,41.6684
120,96.0108,0.0565
121,20.0793,35.6640
122,97.4250,68.3444
123,14.5846,65.3030
124,67.9306,78.9580
125,30.1217,84.1407
126,6.7410,93.3227
127,84.1470,90.7543
128,32.9687,69.5532
129,55.1004,45.6046
130,43.4906,70.1490
131,41.9014,5.9823
132,8.6875,43.5669
133,15.7610,62.3483
134,51.9418,74.6831
135,49.9498,73.2337
136,51.4803,85.2801
137,89.9614,27.8499
138,21.7239,15.0152
139,79.8623,62.3636
140,27.3520,5.4349
141,0.6074,62.3388
142,8.0782,7.4257
143,42.0689,71.7798
144,45.1304,97.4979
145,98.6845,23.8796
146,5.4698,84.1601
147,12.5857,7.1157
148,57.9826,82.1965
149,45.9448,46.8906
150,18.0625,19.3988
151,50.0402,91.7918
152,68.7191,62.9311
153,41.0960,81.7323
154,29.0511,14.4833
155,60.6765,65.6223
156,48.8247,54.8178
157,9.0147,65.5090
158,28.2696,19.4412
159,21.0856,92.1519
160,31.7378,15.1817
161,94.7039,22.2182
162,94.3501,5.3568
163,32.9958,49.4125
164,83.8001,19.0683
165,5.3740,68.3819
166,76.6166,85.3933
167,32.1130,44.7618
168,70.8395,94.4335
169,41.8438,15.7973
170,78.8759,17.8732
171,60.5719,80.6529
172,39.6243,63.3624
173,50.4765,97.5074
174,68.7920,73.2737
175,56.6192,13.6667
176,88.2336,75.2365
177,81.0830,51.9118
178,93.4880,36.3378
179,35.0226,26.9284
180,80.5372,52.6786
181,29.0418,15.7972
182,1.9233,88.8414
183,73.3188,91.2249
184,56.7156,17.8383
185,20.6795,22.2400
186,46.4984,90.8047
187,38.4454,9.5703
188,67.7399,30.1097
189,79.0055,1.1401
190,21.5782,25.7057
191,75.8259,96.1424
192,81.2084,0.6371
193,6.2896,9.6550
194,10.2410,76.6347
195,6.8215,14.0333
196,87.9576,76.3604
197,93.1625,91.6663
198,75.1235,37.1686
199,2.8876,91.0484
