u,v,w
0,1,2.5761
1,0,2.5761
0,10,4.2045
10,0,4.2045
1,2,4.2740
2,1,4.2740
1,11,1.3895
11,1,1.3895
2,3,4.9864
3,2,4.9864
2,12,2.8717
12,2,2.8717
3,4,4.8117
4,3,4.8117
3,13,2.6339
13,3,2.6339
4,5,3.5494
5,4,3.5494
4,14,1.3031
14,4,1.3031
5,6,4.9461
6,5,4.9461
5,15,1.8045
15,5,1.8045
6,7,1.8596
7,6,1.8596
6,16,3.5241
16,6,3.5241
7,8,1.0348
8,7,1.0348
7,17,2.5714
17,7,2.5714
8,9,3.2778
9,8,3.2778
8,18,1.7972
18,8,1.7972
9,19,4.4375
19,9,4.4375
10,11,3.2113
11,10,3.2113
10,20,1.7528
20,10,1.7528
11,12,3.7773
12,11,3.7773
11,21,1.3398
21,11,1.3398
12,13,1.4842
13,12,1.4842
12,22,4.4007
22,12,4.4007
13,14,1.9190
14,13,1.9190
13,23,4.8441
23,13,4.8441
14,15,2.7754
15,14,2.7754
14,24,3.0614
24,14,3.0614
15,16,3.1598
16,15,3.1598
15,25,2.0878
25,15,2.0878
16,17,3.6435
17,16,3.6435
16,26,3.8926
26,16,3.8926
17,18,3.5107
18,17,3.5107
17,27,3.6236
27,17,3.6236
18,19,1.2602
19,18,1.2602
18,28,3.6396
28,18,3.6396
19,29,3.1132
29,19,3.1132
20,21,1.5091
21,20,1.5091
20,30,4.3928
30,20,4.3928
21,22,3.6446
22,21,3.6446
21,31,4.5005
31,21,4.5005
22,23,2.9114
23,22,2.9114
22,32,1.0295
32,22,1.0295
23,24,4.6108
24,23,4.6108
23,33,3.4239
33,23,3.4239
24,25,1.8645
25,24,1.8645
24,34,1.1311
34,24,1.1311
25,26,1.8967
26,25,1.8967
25,35,2.7012
35,25,2.7012
26,27,4.7277
27,26,4.7277
26,36,2.7667
36,26,2.7667
27,28,1.6738
28,27,1.6738
27,37,3.7351
37,27,3.7351
28,29,2.6354
29,28,2.6354
28,38,4.4502
38,28,4.4502
29,39,4.4274
39,29,4.4274
30,31,2.8455
31,30,2.8455
30,40,1.9350
40,30,1.9350
31,32,2.7677
32,31,2.7677
31,41,1.0566
41,31,1.0566
32,33,4.6568
33,32,4.6568
32,42,3.2449
42,32,3.2449
33,34,2.2036
34,33,2.2036
33,43,4.8310
43,33,4.8310
34,35,2.5289
35,34,2.5289
34,44,2.0699
44,34,2.0699
35,36,3.3646
36,35,3.3646
35,45,3.2590
45,35,3.2590
36,37,3.7926
37,36,3.7926
36,46,2.2609
46,36,2.2609
37,38,1.5198
38,37,1.5198
37,47,4.1117
47,37,4.1117
38,39,3.8786
39,38,3.8786
38,48,4.9184
48,38,4.9184
39,49,1.4683
49,39,1.4683
40,41,2.7224
41,40,2.7224
40,50,3.9769
50,40,3.9769
41,42,1.6974
42,41,1.6974
41,51,1.8376
51,41,1.8376
42,43,2.8882
43,42,2.8882
42,52,3.2719
52,42,3.2719
43,44,3.6252
44,43,3.6252
43,53,2.8077
53,43,2.8077
44,45,1.4962
45,44,1.4962
44,54,4.1052
54,44,4.1052
45,46,3.0024
46,45,3.0024
45,55,3.7710
55,45,3.7710
46,47,3.8352
47,46,3.8352
46,56,3.0483
56,46,3.0483
47,48,3.5025
48,47,3.5025
47,57,2.4648
57,47,2.4648
48,49,1.5982
49,48,1.5982
48,58,1.6643
58,48,1.6643
49,59,1.9684
59,49,1.9684
50,51,4.7859
51,50,4.7859
50,60,2.7717
60,50,2.7717
51,52,4.3670
52,51,4.3670
51,61,3.8776
61,51,3.8776
52,53,1.9657
53,52,1.9657
52,62,3.4360
62,52,3.4360
53,54,3.7348
54,53,3.7348
53,63,3.0462
63,53,3.0462
54,55,4.2679
55,54,4.2679
54,64,3.3460
64,54,3.3460
55,56,3.2679
56,55,3.2679
55,65,2.7693
65,55,2.7693
56,57,3.6993
57,56,3.6993
56,66,4.4292
66,56,4.4292
57,58,1.3295
58,57,1.3295
57,67,1.6684
67,57,1.6684
58,59,3.6447
59,58,3.6447
58,68,4.3971
68,58,4.3971
59,69,2.3662
69,59,2.3662
60,61,2.2230
61,60,2.2230
60,70,1.2855
70,60,1.2855
61,62,4.3193
62,61,4.3193
61,71,2.4445
71,61,2.4445
62,63,2.1078
63,62,2.1078
62,72,3.9001
72,62,3.9001
63,64,2.8189
64,63,2.8189
63,73,3.4541
73,63,3.4541
64,65,1.8839
65,64,1.8839
64,74,1.9659
74,64,1.9659
65,66,1.4471
66,65,1.4471
65,75,4.5229
75,65,4.5229
66,67,3.7037
67,66,3.7037
66,76,3.8043
76,66,3.8043
