u,v,w
0,25,4.4923
0,31,10.4621
0,23,10.6394
0,29,6.8767
1,6,2.5033
1,34,11.1552
1,24,7.6043
1,40,1.7385
2,48,7.2261
2,36,12.9846
2,34,6.0644
2,32,4.4386
3,0,8.0506
3,17,14.2603
3,47,5.1960
3,36,12.7373
4,37,14.0276
4,46,4.6602
4,14,4.9538
4,45,6.2046
5,9,14.4678
5,20,10.3256
5,4,11.5892
5,41,6.6214
6,24,3.6870
6,27,13.3692
6,39,14.3176
6,10,5.0546
7,37,5.9268
7,43,8.1735
7,26,9.6651
7,13,11.9591
8,15,6.0814
8,32,2.0229
8,0,9.3563
8,16,3.5566
9,16,7.6043
9,30,6.8628
9,4,12.6170
9,26,14.9546
10,3,14.0200
10,4,6.8568
10,19,14.8339
10,22,13.0728
11,27,1.1256
11,44,12.8237
11,17,8.8049
11,10,5.0519
12,37,8.6282
12,49,7.0365
12,29,8.1585
12,41,10.9087
13,10,12.2754
13,22,7.7786
13,17,3.1794
13,45,2.8956
14,26,4.3211
14,17,10.3902
14,4,3.9865
14,43,4.9374
15,6,14.1327
15,49,6.6516
15,39,7.0791
15,34,8.7655
16,30,9.3543
16,25,9.4038
16,17,6.2461
16,48,12.0948
17,39,7.4071
17,32,1.9731
17,27,4.7952
17,44,12.7046
18,19,12.7828
18,46,1.5143
18,49,8.1764
18,20,5.7646
19,2,8.3561
19,1,4.4098
19,44,3.6871
19,34,4.4404
20,38,7.0950
20,43,11.5872
20,22,9.0729
20,42,3.8982
21,12,9.1658
21,15,12.3438
21,42,6.6115
21,5,13.4703
22,0,12.7859
22,19,9.8178
22,23,12.0973
22,46,11.9045
23,16,4.4886
23,8,12.9280
23,32,12.5630
23,36,13.6004
24,26,1.8467
24,47,9.4369
24,16,9.1786
24,21,14.7583
25,30,8.5983
25,1,2.3301
25,2,2.9895
25,15,4.6764
26,37,5.9959
26,49,13.1245
26,40,14.4213
26,1,5.9562
27,14,10.7280
27,9,5.4701
27,33,7.2557
27,7,5.0505
28,40,3.3442
28,38,2.7425
28,34,1.8862
29,8,13.2399
29,15,2.4462
29,41,12.0409
29,35,12.9281
30,46,3.2570
30,18,1.8008
30,45,3.4532
30,25,3.4368
31,3,13.0423
31,30,14.6258
31,20,14.7159
31,49,8.7595
32,9,1.7477
32,21,8.3946
32,17,6.9368
32,11,13.1231
33,39,11.9085
33,36,6.2765
33,31,5.6153
33,43,3.8381
34,4,10.5346
34,31,10.2822
34,45,2.1334
34,26,2.5830
35,3,4.8675
35,29,7.3035
35,23,13.1813
35,36,3.2676
36,39,14.1776
36,26,2.5250
36,31,13.3568
36,40,10.6992
37,28,4.8016
37,41,10.5064
37,49,9.4296
38,15,1.7801
38,8,5.4178
38,47,1.9907
38,22,3.6015
39,34,1.8567
39,45,12.0566
39,5,9.4164
39,44,8.9746
40,43,14.3798
40,44,7.2251
40,32,13.9132
40,48,5.1973
41,10,12.8962
41,40,12.3093
41,6,6.5491
42,17,9.5490
42,40,6.6622
42,0,14.8817
42,45,12.1840
43,39,8.3802
43,9,7.0473
43,45,3.7536
43,11,1.1074
44,31,14.9239
44,15,2.4241
44,11,9.2314
44,3,8.7984
45,39,14.9241
45,10,10.4516
45,33,9.1833
45,7,5.6453
46,37,14.6963
46,25,6.2280
46,24,8.3725
46,41,7.6781
47,22,4.3488
47,0,6.3956
47,1,14.5169
48,18,2.7311
48,39,14.9076
48,8,1.9788
48,21,9.5878
49,44,14.5998
49,38,5.1485
49,19,9.0268
49,1,4.4763
