id,x,y
0,16.1017,22.5036
1,88.4903,90.7425
2,91.3838,28.7885
3,20.1510,9.3278
4,95.8713,14.3135
5,35.5078,41.3359
6,41.8769,76.0276
7,31.1072,78.9435
8,51.5468,31.6783
9,15.1185,72.7535
10,20.3472,61.8345
11,54.3014,81.9361
12,71.5021,34.8921
13,71.5515,77.0529
14,7.2998,21.5289
15,85.4130,29.7066
16,55.1387,20.1627
17,57.4541,43.3101
18,35.5881,48.9943
19,22.6737,4.4096
20,9.1885,14.4272
21,45.3728,27.1010
22,33.2856,79.6526
23,90.7075,24.5449
24,9.2205,81.6573
25,53.5640,26.9697
26,40.0135,24.4765
27,16.7598,33.7670
28,76.2495,60.7695
29,28.1846,50.4069
30,82.7427,23.9750
31,94.4753,34.0092
32,84.4796,3.8787
33,70.6749,68.9576
34,92.2002,58.3294
35,52.0968,75.2248
36,50.0664,5.9055
37,28.7670,54.1725
38,72.7249,98.0055
39,22.6775,19.6602
40,57.4916,60.7236
41,71.0340,46.7138
42,37.9547,90.9137
43,56.7134,51.6870
44,0.8751,34.5813
45,97.5253,65.2925
46,4.3544,80.7285
47,44.1309,13.1533
48,76.7602,88.0315
49,92.1377,71.0456
