u,v,metres
0,1,207.389
1,89827,17.920
2,106634,743.622
3,51415,2174.357
4,20946,465.886
5,124595,77.279
6,43780,34.099
7,43711,178.757
8,79291,1303.939
8,85429,10.172
9,141328,290.600
10,82651,523.320
11,26467,106.976
12,11,177.151
12,2524,270.810
13,82652,66.226
14,13,629.693
15,135002,82.276
16,188929,96.660
17,59113,58.829
17,92327,912.505
18,19,1198.946
18,92905,136.667
19,18,1198.946
19,37,195.718
20,24824,3558.632
20,153718,573.591
21,68163,803.109
21,68164,189.575
22,68165,450.996
22,121429,5504.700
23,24,406.768
23,26,1413.520
24,23,406.768
24,25,241.797
25,24,241.797
25,24824,29.816
26,23,1413.520
26,129799,457.089
27,68163,564.461
27,129799,2650.914
28,51453,284.527
28,121427,28.320
29,121427,922.867
29,121428,3876.093
30,39,61.535
30,129811,812.415
31,34,3137.246
31,92038,113.464
32,27281,303.733
32,91887,1124.751
33,38,4043.178
33,51989,5.098
34,31,3137.246
34,38,76.947
35,36,235.052
35,129798,7352.226
36,35,235.107
36,129750,5889.061
37,19,193.765
37,92328,917.012
38,33,4043.178
38,34,76.947
39,30,61.535
39,121425,2673.694
40,54267,687.990
40,113226,1527.197
41,156175,572.411
42,121447,62.372
42,133806,316.474
43,44,1801.513
43,100916,20.067
44,47632,1039.114
45,99117,70.389
45,99118,1565.521
46,112221,36.569
46,188976,928.583
48,100088,3403.696
48,188973,218.240
49,54,3095.218
49,78259,3269.686
50,51,147.588
50,49005,369.398
51,50,147.588
51,89219,1320.532
52,49005,18.602
52,88980,1114.395
53,52429,1574.463
53,95428,1943.341
54,49,3095.218
54,55,65.742
55,54,65.742
55,61429,4073.198
56,132940,2507.868
56,133332,58.360
57,58,273.116
57,184557,128.045
58,57,273.116
58,60,3678.333
59,52422,66.644
59,192122,14.975
60,58,3678.333
60,55222,1284.742
61,19713,1085.289
61,78302,28.524
62,63,40.459
62,68367,881.394
63,62,40.459
63,28628,83.609
64,1957,187.772
64,16711,248.358
65,39422,770.000
65,53548,117.285
66,99412,35.484
66,99690,2443.252
67,5772,2233.309
68,82441,335.668
69,57208,23.295
69,81388,1335.311
70,49145,80.530
70,55821,7159.109
71,49178,292.855
71,79316,9309.728
72,197380,11.507
72,198873,853.079
73,165268,1057.903
74,49714,41.091
75,130875,367.839
76,93860,80.602
77,1065,3.290
77,130210,33.218
78,2582,12003.201
78,34990,389.873
79,75360,54.104
79,119840,32930.594
80,90159,28.217
81,169736,641.553
81,169737,879.225
82,12224,153.245
83,75739,263.306
84,136074,537.242
85,137086,1004.627
86,101780,1783.055
86,109818,908.438
87,3388,590.865
87,17359,16.234
88,16648,21.363
88,143651,107.768
89,5068,313.514
90,81036,1055.348
91,149604,16.386
92,43579,247.184
93,94,2981.097
94,92178,1854.307
95,130375,19.304
96,10655,1733.071
97,92127,30.345
98,92817,42.842
99,111895,45.626
99,187763,28.554
100,62380,163.169
101,10838,112.739
101,116360,113.348
102,70254,79.236
103,36820,870.316
104,2471,114.417
105,117301,2980.612
106,1159,320.159
106,136410,1485.891
107,66776,11961.087
107,73085,6198.894
108,26283,40.086
109,11434,13380.339
109,66775,3985.288
110,67483,48.780
110,173249,11136.826
111,67484,130.038
112,10777,6096.159
112,137559,8220.573
113,59074,63.900
113,203896,3055.963
114,63438,982.621
115,63440,442.529
116,85781,77.564
116,85899,1212.791
117,85774,190.982
117,85784,10.659
118,22067,14837.235
118,84437,14122.696
119,73071,1019.617
119,81869,3382.925
120,19663,39.972
120,84436,546.808
121,19647,1165.387
121,84147,924.615
122,70795,43.728
122,70797,2280.712
123,27517,658.569
124,81696,2528.833
124,186527,833.922
125,175024,155.334
125,175025,18.864
126,58716,652.064
126,162979,1820.123
127,89349,1612.270
127,91381,240.791
128,28220,2925.783
129,15954,160.072
130,26576,2054.866
130,90009,5500.653
131,5983,1815.022
131,28980,13196.957
132,8074,275.480
132,19896,619.072
133,47576,36.505
133,191061,77.951
134,47578,164.133
134,191060,419.671
136,10458,88.109
137,165362,38.792
138,81713,12.662
138,191723,1111.078
139,17754,2250.659
139,46683,18619.109
140,191464,25.196
141,91162,123.196
142,141,371.956
142,63880,90.814
143,32261,66.241
144,16716,33.438
144,16717,1972.297
145,76861,272.331
146,12107,725.764
146,95295,83.014
147,196565,137.585
148,1729,915.273
149,1436,828.049
151,20584,1141.451
151,36454,5.536
151,36455,14667.430
152,88807,2364.914
152,186111,6162.240
153,58695,26.678
153,147769,30.501
154,39124,121.291
155,154,1523.577
156,155,119.517
157,139556,35.888
158,162167,105.398
159,119943,483.076
160,119814,766.492
161,17975,767.535
162,17106,280.944
162,122010,10.574
163,193534,3367.664
164,19462,69.321
164,19463,79.986
164,187233,9.899
165,9234,848.679
165,10447,246.007
166,189813,35.349
166,189814,36.379
167,75990,3931.532
168,77269,1385.317
168,123844,1724.776
169,147864,41.601
170,12986,4956.494
170,187786,1593.476
171,201302,9.445
172,194127,62.439
173,89936,68.968
173,89937,8.930
174,33753,12.972
174,152955,30.907
174,152956,30.394
175,176,7869.725
175,57220,612.009
176,175,7869.725
176,146429,2973.856
177,5426,5298.497
177,14758,1046.241
178,199688,2282.846
179,48710,10080.051
179,66552,1413.355
179,85046,1688.678
180,30022,3047.523
180,30045,10.590
181,197078,33.915
182,58253,6987.428
182,193447,1789.970
183,184,278.936
183,55688,1189.641
184,183,278.936
184,61331,81.909
185,55687,3148.885
186,185,541.679
187,186,442.230
187,61333,12.038
188,24682,7.460
189,190,386.505
189,61333,1199.850
190,189,386.505
190,53554,2342.317
191,61326,14.642
191,186191,2563.318
192,90829,9872.756
192,197768,8370.524
193,78303,1749.531
194,53359,1146.670
194,91150,3819.316
195,58881,1911.349
195,90725,93.374
196,53361,1703.375
196,90832,5.368
197,8649,14764.541
197,19074,7801.370
198,56091,238.777
198,201873,6.029
199,43202,1924.588
