u,v,metres
0,55459,326.45
0,55460,7.27
1,55461,548.34
1,55468,6.62
2,16822,2224.63
2,16823,6565.20
3,55486,16.55
3,55487,9.93
4,55471,8.53
4,55473,91.52
5,43339,197.60
6,7,171.53
6,42733,4943.62
7,6,171.53
7,15574,1774.81
8,16816,45.74
8,55541,1263.38
9,42117,45.80
9,42118,4163.22
10,25133,775.75
10,34164,237.56
10,67340,77.08
11,12,1397.79
11,25119,538.38
12,11,1397.79
12,13,725.71
13,12,725.71
13,14,550.01
14,13,550.01
14,43233,1001.81
15,62,1320.15
15,2795,734.18
16,71,139.75
16,24514,5234.71
17,26590,21.02
17,35950,573.82
18,67853,215.42
18,69697,192.69
19,2767,3665.14
19,40296,539.22
20,60660,11936.21
20,64381,9.98
21,22,2785.88
21,42742,14362.73
22,21,2785.88
22,42743,1266.51
23,61004,119.52
23,61008,1021.77
23,65064,7720.75
24,15654,566.34
24,40544,6179.21
24,69797,3171.63
25,17862,54.34
25,17864,2134.07
26,2817,3024.99
26,6289,489.90
27,17768,2026.74
27,42737,452.28
28,42478,408.91
28,42484,102.39
29,2558,77.29
29,38035,968.48
29,38037,38.20
30,2559,93.23
30,38040,19.89
31,26723,290.44
31,46731,1160.27
32,34,2662.24
32,49753,1523.38
33,17343,253.21
33,17344,213.59
34,32,2662.24
34,42735,364.32
35,17754,500.91
35,17755,1947.69
36,40545,821.86
36,65822,15.75
37,6940,3155.42
37,6947,1287.90
38,23765,2894.35
38,43999,3677.31
39,6375,570.31
39,16774,537.73
40,22820,814.35
40,35911,9086.52
41,6317,1373.31
41,6330,185.17
42,15654,7886.54
42,69655,1085.99
43,2007,1171.64
43,6332,467.78
44,24653,2945.53
44,27693,2271.66
45,22397,512.45
45,33903,485.01
46,47,102.91
46,36233,41.37
47,46,102.91
47,36236,3748.81
48,6296,59.91
48,6347,2477.26
49,17879,905.04
49,17880,12235.50
50,17875,149.08
50,17876,1849.87
51,17699,1047.18
51,62454,976.24
51,69792,3281.75
52,21643,46.48
52,60459,24.19
53,21645,80.07
53,41560,554.67
54,6765,710.58
54,21655,1619.92
55,21650,5641.70
55,21653,19.00
56,57,1006.67
56,21650,54.83
57,56,1006.67
57,22439,39.51
58,56822,946.90
58,57219,8.01
59,60,6047.76
59,38021,108.29
59,57213,3823.43
60,59,6047.76
60,22109,901.87
61,41556,10610.83
61,68384,8919.89
62,15,1320.15
62,64,489.27
63,64,74.47
63,65138,1268.12
64,62,489.27
64,63,74.47
65,27701,35.36
65,27703,550.72
65,27711,2352.83
66,27703,40.91
66,27704,529.95
67,24441,70.42
67,42476,956.46
68,42476,295.79
68,42477,609.49
69,2566,70.49
69,47516,2593.04
70,24514,20.43
70,35960,148.74
71,16,139.75
71,66513,982.73
72,60647,34.94
72,60648,913.10
73,4463,41.66
73,60644,1159.11
74,26592,2220.04
74,60641,15.70
75,26585,77.18
75,67340,3575.54
76,26534,49.83
76,26580,2724.93
77,78,348.86
77,26584,41.79
78,77,348.86
78,47366,1976.47
79,80,968.76
79,47367,452.24
80,79,968.76
80,8184,41.16
81,82,878.99
81,2448,1417.44
82,81,878.99
82,2411,633.06
83,85,1883.94
83,38772,1886.43
84,26634,53.95
84,67805,1718.22
85,83,1883.94
85,8093,2517.88
86,87,54.34
86,57099,512.67
87,86,54.34
87,17371,426.18
88,89,1583.83
88,17371,240.40
89,88,1583.83
89,90,59.18
90,89,59.18
90,114,755.54
91,112,1177.13
91,61756,835.02
92,143,922.52
92,61754,71.57
93,94,1074.59
93,143,119.10
94,93,1074.59
94,61759,149.99
95,144,1863.15
95,35579,263.39
96,69117,4246.27
96,69917,188.56
97,25899,55.21
97,38377,1564.88
98,31457,3077.66
98,31458,192.24
99,2453,335.02
99,38892,321.42
100,101,40.28
100,26067,130.63
101,100,40.28
101,102,215.89
102,101,215.89
102,103,19.00
103,102,19.00
103,67866,505.35
104,2454,28.78
104,67867,208.04
105,106,27.11
105,318,511.95
106,105,27.11
106,8870,678.94
107,1878,31.17
107,8870,48.71
108,9219,46.42
108,9261,104.88
109,5934,192.38
109,9261,304.64
110,111,245.50
110,3077,604.24
111,110,245.50
111,65489,636.09
112,91,1177.13
112,113,1078.71
113,112,1078.71
113,14827,755.97
114,90,755.54
114,115,1238.96
115,114,1238.96
115,14827,950.53
116,49022,509.04
117,15335,30.20
117,15338,94.89
118,2734,734.23
119,3051,2453.52
120,15078,1200.09
120,17521,35.37
121,500,178.67
121,1350,74.18
122,499,1645.22
122,712,2620.47
123,708,807.38
123,63052,372.96
124,15066,421.62
125,38877,11.97
125,38879,1144.36
126,127,56.36
126,17536,5688.90
127,126,56.36
127,38875,2282.65
128,10153,5427.42
128,25071,5951.78
129,10153,51.12
129,17214,2966.76
130,38867,10604.55
130,38868,12690.96
131,30479,5412.69
131,38867,8151.47
132,5144,5594.26
132,38292,4129.30
133,134,325.51
133,38292,1285.27
134,133,325.51
134,52307,2228.14
135,5254,5153.45
135,52307,3039.83
136,52437,2530.18
136,61823,4881.74
137,25924,5379.01
137,38287,3276.67
138,139,1685.74
138,1424,1090.00
139,138,1685.74
139,49761,1212.73
140,17393,110.48
140,17530,16.40
141,142,41.10
141,2735,1156.39
142,141,41.10
142,49046,1232.59
143,92,922.52
143,93,119.10
144,95,1863.15
144,61760,635.77
145,4600,19.53
145,61953,12.74
146,41072,494.07
146,41135,42.12
147,1341,73.28
147,10635,43.09
147,35315,124.71
148,1343,507.73
148,10634,52.31
149,150,46.88
149,48535,19.32
150,149,46.88
150,48532,24.64
151,4655,1900.78
151,65597,8.81
152,4512,907.50
152,4656,792.31
153,4493,765.86
154,4479,75.73
154,65643,803.54
155,156,113.50
155,4479,232.26
155,4508,47.69
156,155,113.50
156,157,582.37
157,156,582.37
157,43154,2056.75
158,2585,202.63
158,33543,3534.41
159,160,5260.46
159,25765,2423.46
160,159,5260.46
160,26472,4207.10
161,3531,6873.84
161,27175,4730.39
162,167,2982.32
162,26364,5540.92
163,10262,503.33
163,26317,3439.15
164,26165,135.52
164,60314,36.18
165,26165,166.05
165,60318,186.34
166,167,38.34
166,60328,433.55
167,162,2982.32
167,166,38.34
168,6626,26.01
168,38889,873.60
169,6668,841.79
169,62071,957.85
170,1871,47.55
