id,lon,lat
0,73.27314,20.84350
1,73.32424,20.85645
2,73.15169,20.81568
3,73.47967,20.79428
4,73.48685,20.79512
5,73.50072,20.77088
6,74.62039,18.56093
7,74.62152,18.56204
8,72.99068,20.79957
9,74.51779,20.27462
10,72.85293,19.30654
11,72.85265,19.31834
12,72.85124,19.33084
13,72.85051,19.33733
14,72.84997,19.34225
15,73.00816,19.19016
16,73.00274,19.29087
17,72.97514,19.30345
18,72.98611,19.18914
19,72.90145,19.08226
20,74.74124,19.96017
21,74.60793,19.65834
22,74.61647,19.68206
23,75.33078,18.13091
24,75.00349,20.46736
25,75.29764,19.86321
26,73.07558,19.23694
27,74.64726,18.93502
28,73.09351,19.06656
29,73.11865,18.99359
30,73.12643,18.98620
31,73.12909,18.98383
32,74.62470,18.68546
33,73.79254,18.63834
34,74.62170,18.70794
35,74.63127,18.75498
36,74.93905,20.64806
37,74.91774,20.67853
38,74.77868,20.86450
39,72.90621,20.97057
40,72.81019,20.17828
41,72.91511,20.42323
42,74.93664,20.42441
43,72.85127,19.53680
44,72.81867,19.41836
45,72.81234,19.45276
46,72.75154,19.96342
47,72.75127,19.96431
48,72.75776,19.94182
49,74.86347,19.95486
50,74.98493,19.93704
51,74.88292,19.95331
52,75.82144,30.88701
53,75.85132,30.90760
54,75.79376,30.99185
55,75.80009,30.96692
56,75.83781,30.92738
57,75.84406,30.92014
58,75.83807,30.81464
59,75.85273,30.90588
60,75.90583,30.87648
61,76.12906,30.75899
62,73.02022,19.18681
63,73.02537,19.18538
64,73.02469,19.18557
65,73.07517,19.20087
66,73.07385,19.20563
67,73.08282,19.14375
68,73.08042,19.15456
69,73.06735,18.97225
70,73.03969,19.27101
71,73.00141,19.29081
72,72.96355,19.31026
73,72.94750,19.31542
74,72.92729,19.33210
75,72.85665,19.27388
76,72.85821,19.23739
77,72.84919,19.18992
78,72.84876,19.18681
79,72.84941,19.16486
80,72.84989,19.15616
81,85.88530,20.43930
82,85.89145,20.44471
83,72.97851,19.06230
84,73.00327,19.06439
85,72.96112,19.05819
86,80.27602,13.07948
87,80.27552,13.07944
88,80.27382,13.07443
89,80.28070,13.06257
90,80.28065,13.06204
91,80.25260,13.02148
92,80.24844,13.01457
93,80.24778,13.00523
94,80.24981,12.99581
95,80.24106,12.97861
96,80.21576,12.96879
97,79.39171,13.62378
98,79.20884,28.12926
99,77.56927,12.97831
100,77.57255,12.98333
101,77.57286,12.98353
102,77.57470,12.98425
103,77.57486,12.98432
104,77.57899,12.98942
105,77.58956,12.99531
106,77.58981,12.99532
107,77.59631,12.99452
108,72.98063,19.18754
109,72.98438,19.18855
110,73.83576,18.57360
111,73.83495,18.57567
112,80.26058,13.02789
113,80.26698,13.03477
114,80.28060,13.05527
115,80.27673,13.04493
116,80.27592,13.08308
117,80.27438,13.09045
118,80.27556,13.08274
119,80.27413,13.08347
120,80.27496,13.08002
121,80.23313,13.06779
122,80.23056,13.05131
123,80.22382,13.02339
124,80.26021,13.07757
125,77.92777,12.99361
126,77.99760,13.00362
127,77.99811,13.00352
128,78.12488,12.98716
129,78.17358,12.98617
130,78.40903,12.65822
131,78.54255,12.57474
132,79.76344,13.09027
133,79.81268,13.09522
134,79.81563,13.09466
135,79.86355,13.10014
136,80.02053,13.12401
137,80.10148,13.11842
138,80.13719,13.11523
139,80.15271,13.11415
140,80.25982,13.10935
141,80.27054,13.10534
142,80.27073,13.10502
143,80.24783,13.00630
144,80.25158,12.98883
145,77.23617,28.57891
146,77.22250,28.57921
147,80.11595,12.92371
148,80.12929,12.93482
149,77.22219,28.63669
150,77.22244,28.63633
151,77.22390,28.63478
152,77.24599,28.62036
153,77.24647,28.61916
154,77.25041,28.61357
155,77.25352,28.61340
156,77.25467,28.61355
157,77.26048,28.61474
158,77.40127,28.66649
159,86.97575,23.69113
160,87.01626,23.66485
161,87.11937,23.60302
162,87.24665,23.53826
163,87.76952,23.32123
164,87.21612,23.56396
165,87.21835,23.56218
166,87.22486,23.55667
167,87.22513,23.55643
168,77.60537,12.99393
169,77.65230,12.99118
170,77.66384,12.99506
171,77.69316,12.97613
172,77.69898,12.97283
173,80.28069,13.08045
174,80.29242,13.09355
175,80.27375,13.11034
176,80.26999,13.11046
177,80.26380,13.10993
178,80.26610,13.11050
179,80.27165,13.10460
180,80.27225,13.10630
181,80.27247,13.10676
182,77.69847,12.97311
183,80.21271,13.00834
184,80.11440,12.92234
185,80.12487,12.93063
186,80.12396,12.92974
187,80.11761,12.92469
188,80.11915,12.92593
189,80.27427,13.08348
190,80.27407,13.11030
191,80.26584,13.11044
192,80.26603,13.11020
193,80.26637,13.11025
194,80.02006,12.79681
195,80.07646,12.87445
196,79.98093,12.69335
197,79.97001,12.70686
198,79.96950,12.70741
199,79.74122,12.82779
200,80.07106,13.11876
201,80.28891,13.08505
202,80.28934,13.08518
203,80.28692,13.10714
204,79.12672,12.84393
205,76.96383,28.45374
206,77.10857,28.60386
207,77.19505,28.58133
208,80.28181,13.12745
209,80.31920,13.22334
210,80.19881,13.33311
211,80.19374,13.33854
212,73.15074,19.24012
213,73.15023,19.24012
214,73.15625,19.24182
215,73.15770,19.24330
216,73.16460,19.25673
217,73.16366,19.25551
218,73.20740,19.30183
219,73.20845,19.30236
220,73.21565,19.35533
221,73.24773,19.38318
222,73.24878,19.38432
223,73.26294,19.40317
224,73.13757,19.23675
225,73.16298,19.21815
226,73.17369,19.21374
227,73.17333,19.21377
228,73.25470,19.14427
229,73.25484,19.14408
230,73.25761,19.13981
231,73.25780,19.13949
232,73.29096,19.09937
233,73.29104,19.09933
234,73.36120,18.85119
235,73.35493,18.85347
236,73.32926,18.84952
237,73.32198,18.86169
238,73.32230,18.86673
239,73.32341,18.86924
240,73.63667,18.74260
241,80.20702,13.11032
242,80.07445,13.11855
243,80.06002,13.14235
244,80.06906,13.14606
245,80.07274,13.14657
246,76.68900,11.39743
247,76.68949,11.39634
248,76.71799,11.38513
249,76.71887,11.38516
250,76.78875,11.33302
251,76.78811,11.33308
252,76.80716,11.32861
253,76.80792,11.32937
254,76.81679,11.33558
255,76.81731,11.33619
256,76.83167,11.34187
257,76.83196,11.34155
258,76.83304,11.34062
259,76.83386,11.34072
260,76.69579,11.40454
261,76.92774,11.30908
262,76.88252,11.34040
263,76.88169,11.34530
264,76.88148,11.34542
265,76.87915,11.34669
266,76.87826,11.34686
267,76.87516,11.35555
268,76.87028,11.35298
269,76.86980,11.34848
270,76.87061,11.34430
271,76.87033,11.34426
272,76.86586,11.34282
273,76.86525,11.34323
274,76.86500,11.34373
275,76.86429,11.34410
276,76.86375,11.34393
277,76.86353,11.34387
278,76.86309,11.34394
