node,name
2,Rankuva
33,Chinchwad
37,Mordad Tanda
38,Mohadi Pragane Laling
42,Hirapur
44,Nalla Sopara
61,Chawapail
68,Nilaje
78,Malad
90,Chepauk
91,Greenways Road
92,Kotturpuram
93,Kasturiba Nagar
94,Indira Nagar
95,Taramani
99,Krantivira Sangolli Rayanna (Bengaluru)
115,Lighthouse Metro
122,Kodambakkam
123,Saidapet
128,Maralahalli
131,Somanayakkanpatti
132,Tiruvalangadu
135,Kadambattur
138,Thirumullaivoyal
139,Ambattur
144,Tiruvanmiyur
160,Kalipahari
161,Raniganj
163,Khana Junction
169,Baiyappanahalli
194,Maraimalai Nagar Kamarajar
195,Kilambakkam
196,Chengalpatttu Junction
206,Nasirpur
208,Tondiarpet
210,Ponneri
215,Shahad
225,Ulhasnagar
240,Vadgaon
242,Hindu College
244,Pattabiram E Depot
296,Hill Grove
310,Kateri
316,Lovedale
317,Attippattu
326,Banaras (Manduadih)
344,Karaimadai
364,Somanur
376,Ingur
387,Anangur
419,Tirupattur
421,Jolarpettai Junction
439,Tiruvalam
442,Marudalam
453,Lakdi-ka-pul
478,Kannur South
480,Chirakkal
485,Chamarajapuram
491,Birapatti
492,Babatpur
498,Kashi
549,Gaddi Godam Square
561,Town Hall
596,Agra Cantonment
607,Chandera
616,Kumbala
647,Angamali (Kaladi)
648,Chovvara
652,Ambattukavu
654,Koratti Angadi
663,Sonma Pranpur halt
665,Tikkotti
666,Vellarakkad
677,Huppuguda
694,Kottayam
721,Mettuguda
723,Secunderabad East
730,Belagula
734,Nasrala
735,Ashram
742,Mansarovar Park
746,Safilguda
755,Agarpara
756,Titagarh
761,Shyamnagar
763,Kankinara
764,Naihati Junction
768,Kanchrapara Workshop Gate
770,Chakdaha
776,Bansh Baria
780,Tribeni
782,Kuntighat
787,Pundooah
790,Magra
796,Nasibpur
800,Maliya Halt
801,Uttarpara
807,Gobra
821,Kazipara
822,Bahira Kalibari
843,Suriawan
847,Trilochan Mahadeo
865,Prayagraj Junction
874,Daraganj
899,Manauri
916,Koelwar
921,Banahi
924,Parsa Bazar
943,Meenambakkam
944,Saint Thomas Mount
946,கிண்டி
960,"Regional Transport Office,Meenambakkam"
976,Tiruparankundram
978,Vadapalanji
990,Palia
997,Dakchya
998,Barlai
1009,Haranyakheri
1016,Patalpani Waterfall
1037,Phanda
1059,Raibha
1066,Chhatrapati Shivaji Maharaj Terminus
1092,Allahabad City
1102,Prayagraj Sangam
1107,Bais Godam
1111,Kanauta
1119,Mandawariya
1123,Chomun Samod
1125,Isarda
1128,Sikroda Mina
1138,Tarana Road
1143,Khajuri
1145,Panihar
1147,Rayser Jagir
1167,Piprai Gaon
1174,Alindra Road
1181,Ranu Pipri
1182,Bhoj Padra
1183,Bhilupur
1203,Karchiya
1215,Itola
1216,Bhetasi
1218,Davol
1224,Villiyanur
1225,Puducherry
1232,Nenpur
1240,Medra
1243,Sahijpur
1249,Sarkhej
1250,Sanathal
1251,Moraiya
1261,Chandlodiya 'B'
1263,Gora Ghuma
1277,Sillakkudi
1283,Polur
1287,AEC
1317,Munroe Thuruttu
1328,Papinayaknahalli
1333,Chromepet
1334,Pallavaram
1354,Nungambakkam
1361,Walayar
1363,CBD Belapur
1375,Surajpur
1386,Taksal
1399,Gumman
1412,Koti
1415,Jabli
1424,Annanur
1431,Dagru
1434,Ferozeshah
1435,Maheshari Sandhuan
1438,Fatehgarh Sahib
1439,Noganwan
1442,Mianpur
1459,Tarakeswar
1462,RBI Colony
1464,Alwal
1480,Sengottai
1486,Aryankavu
1489,Vellore Cantonment
1500,Sion
1506,Dhelana
1507,Mandiyal Kalan
1508,Manaklao
1509,Mahamandir
1512,Kolayat
1514,Darbari
1522,Umed
1523,Banar
1524,Bhagat Ki Kothi
1529,Kavas
1530,Tamlor
1532,Palani
1534,Gachhipura
