from,to,line,seconds
1,227,Train Rajdhani Express 12957: Ahmedabad → New Delhi,6863.7
1,517,Unnamed Line,3561.2
2,68,Train Rajdhani Express 22812: New Delhi → Bhubaneswar (via Adra),3661.7
2,503,Train Rajdhani Express 22811: Bhubaneswar → New Delhi (via Adra),4865.1
3,23,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal,4403.3
4,625,Train Passenger 55110 Chhapra Kacheri → Thawe Junction,219.8
5,204,Shatabdi Express 12002: New Delhi → Rani Kamlapati,3740.8
5,270,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT,7670.2
5,270,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru,7670.2
5,281,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin,12567.7
5,281,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin,12567.7
5,293,Dakshin Superfast Express: Delhi => Hyderabad,78201.6
5,454,Shatabdi Express 12001: Rani Kamlapati → New Delhi,3419.2
6,743,Agra Fort - Lucknow Junction InterCity Semifast Express,166.5
7,206,Trans-Harbour Line (Vashi => Thane),181.2
7,206,Trans-Harbour Line: Panvel => Thane,181.2
7,561,Trans-Harbour Line (Thane => Vashi),175.0
7,561,Trans-Harbour Line: Thane => Panvel,175.0
8,227,Unnamed Line,14052.1
8,301,Train Rajdhani Express 12957: Ahmedabad → New Delhi,9010.9
9,48,Varanasi - Gonda Intercity Express,3757.3
9,719,Gonda - Varanasi Intercity Express,9378.1
10,157,Pune Suburban Railway: Lonavala → Pune,220.0
10,190,Pune Suburban Railway: Pune → Lonavala,341.8
11,223,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin,3896.7
11,383,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central,5246.8
11,449,Daily Express 16604: Thiruvananthapuram Central → Mangaluru Central,910.3
12,355,Train Passenger 55110 Chhapra Kacheri → Thawe Junction,198.6
13,241,Shatabdi Express 12003: Lucknow → New Delhi,7627.3
13,697,Shatabdi Express 12004: New Delhi → Lucknow,5561.2
14,161,Train Rajdhani Express 12454: New Delhi → Ranchi (via Chopan),11439.3
14,188,Train Rajdhani Express 12306: New Delhi → Howrah (via Patna),9419.4
14,188,Train Rajdhani Express 12302: New Delhi → Howrah (via Gaya),9418.1
14,188,Train Rajdhani Express 20408: New Delhi → Ranchi (via Japla),9418.1
14,188,Train Rajdhani Express 22824: New Delhi → Bhubaneswar (via Tatanagar),9419.6
14,188,Train Rajdhani Express 22812: New Delhi → Bhubaneswar (via Adra),9419.6
14,188,Train Rajdhani Express 20818: New Delhi → Bhubaneswar (via Sambalpur City),9419.6
14,343,Varanasi - Kanpur line,13359.9
14,343,Train Rajdhani Express 12301: Howrah → New Delhi (via Gaya),13328.2
14,343,Train Rajdhani Express 22811: Bhubaneswar → New Delhi (via Adra),13329.4
14,343,Train Rajdhani Express 22823: Bhubaneswar → New Delhi (via Tatanagar),13329.4
14,343,Train Rajdhani Express 20817: Bhubaneswar → New Delhi (via Sambalpur City),13329.4
14,343,Train Rajdhani Express 12453: Ranchi → New Delhi (via Chopan),13328.5
14,343,Train Rajdhani Express 12305: Howrah → New Delhi (via Patna),13328.2
14,343,Train Rajdhani Express 20407: Ranchi → New Delhi (via Japla),13328.5
14,487,Train Express 15018: Gorakhpur → Mumbai LTT,472.3
14,555,Train Express 15017: Mumbai LTT → Gorakhpur,321.4
15,683,Daily Express 16604: Thiruvananthapuram Central → Mangaluru Central,3458.7
16,117,Hyderabad MMTS: Lingampalli → Medchal,100.7
16,117,Hyderabad MMTS: Secunderabad → Medchal,100.7
16,117,Hyderabad MMTS: Hyderabad → Medchal,100.7
16,128,Hyderabad MMTS: Medchal → Secunderabad,86.5
16,128,Hyderabad MMTS: Medchal → Hyderabad,86.5
16,128,Hyderabad MMTS: Medchal → Lingampalli,86.5
17,267,Double Decker Express 12985: Jaipur → Delhi Sarai Rohilla,7913.4
18,426,Passenger 51973: Mathura → Jaipur,794.1
18,513,Passenger 51974: Jaipur → Mathura,938.3
19,183,Double Decker Express 12986: Delhi Sarai Rohilla → Jaipur,5680.7
20,73,Train Express 14522: Ambala Cantonment → Delhi,1766.2
20,133,Kalka Shatabdi Express: New Delhi -> Kalka,2911.7
20,398,Kalka Shatabdi Express: Kalka -> New Delhi,2951.2
21,11,Daily Express 16604: Thiruvananthapuram Central → Mangaluru Central,844.3
22,52,Central Line: Mumbai CSMT → Khopoli (Fast),537.9
22,702,Central Line: Khopoli → Mumbai CSMT (Fast),171.7
23,3,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala,4403.3
23,199,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal,4171.9
24,679,Chennai Central - Thiruvallur suburban line,115.1
24,691,Saptagiri Express: MAS -> TPTY,4230.0
