id,name,system,city,lat,lon
1,Abu Road,Indian Railways,Indian Railways,24.481131,72.785438
2,Adra Junction,Indian Railways,Indian Railways,23.495795,86.674401
3,Agartala,Indian Railways,Indian Railways,23.792859,91.278568
4,Agauthar Halt,Indian Railways,Indian Railways,26.008522,84.844046
5,Agra Cantonment Junction,Indian Railways,Indian Railways,27.158942,77.990230
6,Agra Fort,Indian Railways,Indian Railways,27.183059,78.018711
7,Airoli,Indian Railways,Indian Railways,19.158569,72.999402
8,Ajmer Junction,Indian Railways,Indian Railways,26.457381,74.637587
9,Akbarpur Junction,Indian Railways,Indian Railways,26.429202,82.540022
10,Akurdi,Indian Railways,Indian Railways,18.648514,73.764493
11,Alappuzha,Indian Railways,Indian Railways,9.484070,76.322344
12,Alehpur Halt,Indian Railways,Indian Railways,26.209465,84.788986
13,Aligarh Junction,Indian Railways,Indian Railways,27.888778,78.074684
14,Allahabad Junction,Indian Railways,Indian Railways,25.445763,81.829703
15,Aluva,Indian Railways,Indian Railways,10.108623,76.356590
16,Alwal,Indian Railways,Indian Railways,17.505154,78.514523
17,Alwar Junction 1,Indian Railways,Indian Railways,27.561587,76.621628
18,Alwar Junction 2,Indian Railways,Indian Railways,27.561542,76.621732
19,Alwar Junction 3,Indian Railways,Indian Railways,27.561535,76.621886
20,Ambala Cantonment Junction,Indian Railways,Indian Railways,30.338325,76.828367
21,Ambalappuzha,Indian Railways,Indian Railways,9.386398,76.362898
22,Ambarnath,Indian Railways,Indian Railways,19.210111,73.184547
23,Ambassa,Indian Railways,Indian Railways,23.931118,91.861163
24,Ambattur,Indian Railways,Indian Railways,13.114306,80.151596
25,Ambivli,Indian Railways,Indian Railways,19.268272,73.172114
26,Amguri Junction,Indian Railways,Indian Railways,26.812939,94.524155
27,Amika Bhawani Halt,Indian Railways,Indian Railways,25.751916,84.969500
28,Ammuguda,Indian Railways,Indian Railways,17.487523,78.525374
29,Anand Vihar Terminal,Indian Railways,Indian Railways,28.649209,77.315081
30,Anantapur,Indian Railways,Indian Railways,14.686397,77.594859
31,Anara,Indian Railways,Indian Railways,23.481738,86.560711
32,Andheri,Indian Railways,Indian Railways,19.119313,72.846692
33,Anekal Road,Indian Railways,Indian Railways,12.723487,77.710690
34,Angul,Indian Railways,Indian Railways,20.860509,85.101951
35,Annanur,Indian Railways,Indian Railways,13.116401,80.127198
36,Apta,Indian Railways,Indian Railways,18.863836,73.152909
37,Arakkonam Junction,Indian Railways,Indian Railways,13.082339,79.668525
38,Arniya,Indian Railways,Indian Railways,27.010642,76.518089
39,Arts College,Indian Railways,Indian Railways,17.418730,78.520024
40,Asangaon,Indian Railways,Indian Railways,19.439890,73.308047
41,Asansol Junction,Indian Railways,Indian Railways,23.691153,86.975752
42,Atgaon,Indian Railways,Indian Railways,19.503650,73.328152
43,Aunrihar Junction,Indian Railways,Indian Railways,25.545279,83.187289
44,Avadi,Indian Railways,Indian Railways,13.118138,80.101521
45,Avatihalli,Indian Railways,Indian Railways,13.298891,77.726540
46,Awatar Nagar,Indian Railways,Indian Railways,25.764952,84.956480
47,Ayodhya Cantt,Indian Railways,Indian Railways,26.768611,82.134757
48,Ayodhya Junction,Indian Railways,Indian Railways,26.788223,82.201318
49,B.G Nagar,Indian Railways,Indian Railways,12.968599,76.733083
50,BHEL,Indian Railways,Indian Railways,17.502184,78.282121
51,Badarpur Junction,Indian Railways,Indian Railways,24.865702,92.556658
52,Badlapur,Indian Railways,Indian Railways,19.166799,73.238982
53,Badshahnagar,Indian Railways,Indian Railways,26.868837,80.961368
54,Bahadurpur,Indian Railways,Indian Railways,23.438834,88.464062
55,Bahuara Halt,Indian Railways,Indian Railways,25.899113,84.785530
56,Baiyyappanahalli Junction,Indian Railways,Indian Railways,12.991152,77.651825
57,Baleshwar,Indian Railways,Indian Railways,21.501111,86.920246
58,Balharshah,Indian Railways,Indian Railways,19.849341,79.347758
59,Baman-Dongri,Indian Railways,Indian Railways,18.975173,73.024410
60,Bamangachi,Indian Railways,Indian Railways,22.749056,88.509946
61,Banapura,Indian Railways,Indian Railways,22.470386,77.481251
62,Banaswadi,Indian Railways,Indian Railways,13.005961,77.628310
63,Bandikui Junction,Indian Railways,Indian Railways,27.039650,76.566627
64,Bandra,Indian Railways,Indian Railways,19.054748,72.840719
65,Bandra Terminus,Indian Railways,Indian Railways,19.060545,72.840909
66,Bangalore Cantonment,Indian Railways,Indian Railways,12.992949,77.600591
67,Bangalore City Junction,Indian Railways,Indian Railways,12.978373,77.568149
68,Bankura Junction,Indian Railways,Indian Railways,23.224047,87.075432
69,Banni Mahamman Patti,Indian Railways,Indian Railways,25.889971,84.777651
70,Banskho,Indian Railways,Indian Railways,26.857466,76.168423
71,Bantawal,Indian Railways,Indian Railways,12.878060,75.033944
72,Baragopal,Indian Railways,Indian Railways,25.765268,84.908272
73,Barara,Indian Railways,Indian Railways,30.212751,77.038449
74,Barasat Junction,Indian Railways,Indian Railways,22.724750,88.484333
75,Barddhaman Junction,Indian Railways,Indian Railways,23.249675,87.870064
76,Bareilly Junction,Indian Railways,Indian Railways,28.338120,79.410446
77,Barpeta Road,Indian Railways,Indian Railways,26.502323,90.964182
78,Barrackpore,Indian Railways,Indian Railways,22.760335,88.371096
79,Basin Bridge Junction,Indian Railways,Indian Railways,13.102460,80.271119
80,Bassi,Indian Railways,Indian Railways,26.841282,76.047907
