from,to,line,seconds
1,3,Metro 1: Taj East Gate → Mankameshwar Mandir,65.3
1,6,Metro 1: Mankameshwar Mandir → Taj East Gate,161.3
2,4,Metro 1: Mankameshwar Mandir → Taj East Gate,88.6
2,6,Metro 1: Taj East Gate → Mankameshwar Mandir,118.8
3,1,Metro 1: Mankameshwar Mandir → Taj East Gate,66.4
4,2,Metro 1: Taj East Gate → Mankameshwar Mandir,88.2
4,5,Metro 1: Mankameshwar Mandir → Taj East Gate,75.0
5,4,Metro 1: Taj East Gate → Mankameshwar Mandir,74.9
6,1,Metro 1: Taj East Gate → Mankameshwar Mandir,162.3
6,2,Metro 1: Mankameshwar Mandir → Taj East Gate,118.8
7,40,Red Line: Motera Stadium → APMC,223.9
7,42,Red Line: APMC → Motera Stadium,123.5
8,22,Red Line: APMC → Motera Stadium,98.6
9,24,Yellow Line: Motera Stadium → Mahatma Mandir,79.8
9,43,Yellow Line: Mahatma Mandir → Motera Stadium,116.4
10,11,Blue Line: Vastral Gam → Thaltej Gam,114.3
10,37,Blue Line: Thaltej Gam → Vastral Gam,82.8
11,10,Blue Line: Thaltej Gam → Vastral Gam,114.1
11,26,Blue Line: Vastral Gam → Thaltej Gam,132.7
12,19,Blue Line: Vastral Gam → Thaltej Gam,113.9
12,50,Blue Line: Thaltej Gam → Vastral Gam,92.9
13,21,Yellow Line: Motera Stadium → Mahatma Mandir,83.7
13,39,Yellow Line: Mahatma Mandir → Motera Stadium,91.5
14,20,Blue Line: Thaltej Gam → Vastral Gam,114.8
14,52,Blue Line: Vastral Gam → Thaltej Gam,93.4
15,35,Violet Line,262.7
16,28,Yellow Line: Mahatma Mandir → Motera Stadium,89.1
16,41,Yellow Line: Motera Stadium → Mahatma Mandir,139.8
17,34,Red Line: APMC → Motera Stadium,122.3
17,36,Red Line: Motera Stadium → APMC,123.9
18,25,Blue Line: Thaltej Gam → Vastral Gam,182.4
18,48,Blue Line: Vastral Gam → Thaltej Gam,137.2
19,12,Blue Line: Thaltej Gam → Vastral Gam,113.8
19,20,Blue Line: Vastral Gam → Thaltej Gam,94.0
20,14,Blue Line: Vastral Gam → Thaltej Gam,114.7
20,19,Blue Line: Thaltej Gam → Vastral Gam,93.8
21,13,Yellow Line: Mahatma Mandir → Motera Stadium,83.0
21,44,Yellow Line: Motera Stadium → Mahatma Mandir,152.6
22,8,Red Line: Motera Stadium → APMC,98.6
22,38,Red Line: APMC → Motera Stadium,60.9
23,27,Yellow Line: Mahatma Mandir → Motera Stadium,140.0
23,28,Yellow Line: Motera Stadium → Mahatma Mandir,87.1
24,9,Yellow Line: Mahatma Mandir → Motera Stadium,80.2
24,46,Yellow Line: Motera Stadium → Mahatma Mandir,115.2
25,18,Blue Line: Vastral Gam → Thaltej Gam,183.1
25,26,Blue Line: Thaltej Gam → Vastral Gam,115.8
26,11,Blue Line: Thaltej Gam → Vastral Gam,134.1
