id,name,system,city,lat,lon
1,Dr. Ambedkar Chowk Station,Agra Metro,Agra,27.174969,78.022202
2,Fatehabad Road,Agra Metro,Agra,27.160159,78.042660
3,Mankameshwar Mandir,Agra Metro,Agra,27.178299,78.017104
4,Shaheed Captain Shubham Gupta,Agra Metro,Agra,27.157835,78.050735
5,Taj East Gate,Agra Metro,Agra,27.158413,78.057904
6,Taj Mahal,Agra Metro,Agra,27.168252,78.035779
7,AEC,Ahmedabad Metro,Ahmedabad,23.075108,72.593293
8,APMC,Ahmedabad Metro,Ahmedabad,22.997808,72.537115
9,Akshardham,Ahmedabad Metro,Ahmedabad,23.223677,72.664182
10,Amraiwadi,Ahmedabad Metro,Ahmedabad,23.007870,72.628387
11,Apparel Park,Ahmedabad Metro,Ahmedabad,23.010679,72.618237
12,Commerce Six Roads,Ahmedabad Metro,Ahmedabad,23.040702,72.553074
13,Dholakuva Circle,Ahmedabad Metro,Ahmedabad,23.185954,72.643310
14,Doordarshan Kendra,Ahmedabad Metro,Ahmedabad,23.048162,72.524507
15,GIFT City,Ahmedabad Metro,Ahmedabad,23.153356,72.685552
16,GNLU,Ahmedabad Metro,Ahmedabad,23.154473,72.647467
17,Gandhigram,Ahmedabad Metro,Ahmedabad,23.027174,72.568859
18,Gheekanta,Ahmedabad Metro,Ahmedabad,23.028788,72.586777
19,Gujarat University Station,Ahmedabad Metro,Ahmedabad,23.044863,72.543520
20,Gurukul Road,Ahmedabad Metro,Ahmedabad,23.045898,72.534877
21,Infocity,Ahmedabad Metro,Ahmedabad,23.192258,72.639712
22,Jivraj Park,Ahmedabad Metro,Ahmedabad,23.005543,72.533489
23,Juna Koba,Ahmedabad Metro,Ahmedabad,23.141981,72.638608
24,Juna Sachivalaya,Ahmedabad Metro,Ahmedabad,23.228925,72.659415
25,Kalupur Railway Station,Ahmedabad Metro,Ahmedabad,23.024697,72.603152
26,Kankaria East,Ahmedabad Metro,Ahmedabad,23.015456,72.606996
27,Koba Circle,Ahmedabad Metro,Ahmedabad,23.132251,72.631043
28,Koba Gam,Ahmedabad Metro,Ahmedabad,23.147607,72.643905
29,Koteshwar Road,Ahmedabad Metro,Ahmedabad,23.103112,72.602132
30,Mahatma Mandir,Ahmedabad Metro,Ahmedabad,23.233939,72.633873
31,Motera Stadium,Ahmedabad Metro,Ahmedabad,23.096774,72.596695
32,Narmada Canal,Ahmedabad Metro,Ahmedabad,23.125144,72.622099
33,Nirant Cross Roads,Ahmedabad Metro,Ahmedabad,22.999938,72.658529
34,Old High Court,Ahmedabad Metro,Ahmedabad,23.037522,72.567013
35,PDPU,Ahmedabad Metro,Ahmedabad,23.154937,72.661240
36,Paldi,Ahmedabad Metro,Ahmedabad,23.018501,72.562354
37,Rabari Colony,Ahmedabad Metro,Ahmedabad,23.005434,72.635610
38,Rajiv Nagar,Ahmedabad Metro,Ahmedabad,23.009752,72.536760
39,Randesan,Ahmedabad Metro,Ahmedabad,23.179086,72.647290
40,Ranip,Ahmedabad Metro,Ahmedabad,23.067692,72.574152
41,Raysan,Ahmedabad Metro,Ahmedabad,23.166394,72.648325
42,Sabarmati,Ahmedabad Metro,Ahmedabad,23.085628,72.592203
43,Sachivalaya,Ahmedabad Metro,Ahmedabad,23.215069,72.658752
44,Sector-1,Ahmedabad Metro,Ahmedabad,23.204903,72.643146
45,Sector-10A,Ahmedabad Metro,Ahmedabad,23.211482,72.650192
46,Sector-16,Ahmedabad Metro,Ahmedabad,23.233883,72.650167
47,Sector-24,Ahmedabad Metro,Ahmedabad,23.238506,72.641479
48,Shahpur Station,Ahmedabad Metro,Ahmedabad,23.039204,72.581031
49,Shreyas,Ahmedabad Metro,Ahmedabad,23.013626,72.549254
